"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"1","VDD","Power","","","","","","","","",""
"2","PC13","I/O","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","",""
"5","PF0-OSC_IN","I/O","","","","","","","","",""
"6","PF1-OSC_OUT","I/O","","","","","","","","",""
"7","NRST","Reset","","","","","","","","",""
"8","PC0","I/O","","","","","","","","",""
"9","PC1","I/O","","","","","","","","",""
"10","PC2","I/O","","","","","","","","",""
"11","PC3","I/O","","","","","","","","",""
"12","VSSA","Power","","","","","","","","",""
"13","VDDA","Power","","","","","","","","",""
"14","PA0","I/O","","","RTC_TAMP2/SYS_WKUP1","USART2_CTS","","","","",""
"15","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","","","","",""
"16","PA2","I/O","","","TIM15_CH1","USART2_TX","","","","",""
"17","PA3","I/O","","","TIM15_CH2","USART2_RX","","","","",""
"18","PF4","I/O","","","","","","","","",""
"19","PF5","I/O","","","","","","","","",""
"20","PA4","I/O","","","SPI1_NSS","USART2_CK","","","TIM14_CH1","",""
"21","PA5","I/O","","","SPI1_SCK","","","","","",""
"22","PA6","I/O","","","SPI1_MISO","TIM3_CH1","TIM1_BKIN","","","TIM16_CH1","EVENTOUT"
"23","PA7","I/O","","","SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","EVENTOUT"
"24","PC4","I/O","","","","","","","","",""
"25","PC5","I/O","","","","","","","","",""
"26","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","","","",""
"27","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","",""
"28","PB2","I/O","","","","","","","","",""
"29","PB10","I/O","","","","I2C2_SCL","","","","",""
"30","PB11","I/O","","","EVENTOUT","I2C2_SDA","","","","",""
"31","VSS","Power","","","","","","","","",""
"32","VDD","Power","","","","","","","","",""
"33","PB12","I/O","","","SPI2_NSS","EVENTOUT","TIM1_BKIN","","","",""
"34","PB13","I/O","","","SPI2_SCK","","TIM1_CH1N","","","",""
"35","PB14","I/O","","","SPI2_MISO","TIM15_CH1","TIM1_CH2N","","","",""
"36","PB15","I/O","","","RTC_REFIN/SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","","",""
"37","PC6","I/O","","","TIM3_CH1","","","","","",""
"38","PC7","I/O","","","TIM3_CH2","","","","","",""
"39","PC8","I/O","","","","TIM3_CH3","","","","",""
"40","PC9","I/O","","","TIM3_CH4","","","","","",""
"41","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","",""
"42","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","","","",""
"43","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","","","",""
"44","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","","","",""
"45","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","","","",""
"46","PA13","I/O","","","","IR_OUT","","","","",""
"47","PF6","I/O","","","","","","","","",""
"48","PF7","I/O","","","","","","","","",""
"49","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","",""
"50","PA15","I/O","","","SPI1_NSS","USART2_RX","","EVENTOUT","","",""
"51","PC10","I/O","","","","","","","","",""
"52","PC11","I/O","","","","","","","","",""
"53","PC12","I/O","","","","","","","","",""
"54","PD2","I/O","","","TIM3_ETR","","","","","",""
"55","PB3","I/O","","","SPI1_SCK","EVENTOUT","","","","",""
"56","PB4","I/O","","","SPI1_MISO","TIM3_CH1","EVENTOUT","","","",""
"57","PB5","I/O","","","SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","",""
"58","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","","","",""
"59","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","","","",""
"60","BOOT0","Boot","","","","","","","","",""
"61","PB8","I/O","","","","I2C1_SCL","TIM16_CH1","","","",""
"62","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","","",""
"63","VSS","Power","","","","","","","","",""
"64","VDD","Power","","","","","","","","",""
