"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"1","VDD","Power","","","","","","","","",""
"2","PC13","I/O","","","","","","","","",""
"3","PC14OSC32_IN","I/O","","","","","","","","",""
"4","PC15OSC32_OUT","I/O","","","","","","","","",""
"5","PF0-OSC_IN","I/O","","","","I2C1_SDA","","","","",""
"6","PF1-OSC_OUT","I/O","","","","I2C1_SCL","","","","",""
"7","NRST","Reset","","","","","","","","",""
"8","PC0","I/O","","","EVENTOUT","","USART6_TX","","","",""
"9","PC1","I/O","","","EVENTOUT","","USART6_RX","","","",""
"10","PC2","I/O","","","EVENTOUT","SPI2_MISO","","","","",""
"11","PC3","I/O","","","EVENTOUT","SPI2_MOSI","","","","",""
"12","VSSA","Power","","","","","","","","",""
"13","VDDA","Power","","","","","","","","",""
"14","PA0","I/O","","","","USART2_CTS","","","USART4_TX","",""
"15","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","","","USART4_RX","TIM15_CH1N",""
"16","PA2","I/O","","","TIM15_CH1","USART2_TX","","","","",""
"17","PA3","I/O","","","TIM15_CH2","USART2_RX","","","","",""
"18","VSS","Power","","","","","","","","",""
"19","VDD","Power","","","","","","","","",""
"20","PA4","I/O","","","SPI1_NSS","USART2_CK","","","TIM14_CH1","USART6_TX",""
"21","PA5","I/O","","","SPI1_SCK","","","","","USART6_RX",""
"22","PA6","I/O","","","SPI1_MISO","TIM3_CH1","TIM1_BKIN","","USART3_CTS","TIM16_CH1","EVENTOUT"
"23","PA7","I/O","","","SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","EVENTOUT"
"24","PC4","I/O","","","EVENTOUT","USART3_TX","","","","",""
"25","PC5","I/O","","","","USART3_RX","","","","",""
"26","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","","USART3_CK","",""
"27","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","USART3_DE/USART3_RTS","",""
"28","PB2","I/O","","","","","","","","",""
"29","PB10","I/O","","","","I2C2_SCL","","","USART3_TX","SPI2_SCK",""
"30","PB11","I/O","","","EVENTOUT","I2C2_SDA","","","USART3_RX","",""
"31","VSS","Power","","","","","","","","",""
"32","VDD","Power","","","","","","","","",""
"33","PB12","I/O","","","SPI2_NSS","EVENTOUT","TIM1_BKIN","","USART3_CK","TIM15_BKIN",""
"34","PB13","I/O","","","SPI2_SCK","","TIM1_CH1N","","USART3_CTS","I2C2_SCL",""
"35","PB14","I/O","","","SPI2_MISO","TIM15_CH1","TIM1_CH2N","","USART3_DE/USART3_RTS","I2C2_SDA",""
"36","PB15","I/O","","","SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","","",""
"37","PC6","I/O","","","TIM3_CH1","","","","","",""
"38","PC7","I/O","","","TIM3_CH2","","","","","",""
"39","PC8","I/O","","","TIM3_CH3","","","","","",""
"40","PC9","I/O","","","TIM3_CH4","","","","","",""
"41","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","",""
"42","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","","I2C1_SCL","RCC_MCO",""
"43","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","","I2C1_SDA","",""
"44","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","","","I2C2_SCL",""
"45","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","","","I2C2_SDA",""
"46","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","",""
"47","VSS","Power","","","","","","","","",""
"48","VDD","Power","","","","","","","","",""
"49","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","",""
"50","PA15","I/O","","","SPI1_NSS","USART2_RX","","EVENTOUT","USART4_DE/USART4_RTS","",""
"51","PC10","I/O","","","USART4_TX","USART3_TX","","","","",""
"52","PC11","I/O","","","USART4_RX","USART3_RX","","","","",""
"53","PC12","I/O","","","USART4_CK","USART3_CK","USART5_TX","","","",""
"54","PD2","I/O","","","TIM3_ETR","USART3_DE/USART3_RTS","USART5_RX","","","",""
"55","PB3","I/O","","","SPI1_SCK","EVENTOUT","","","USART5_TX","",""
"56","PB4","I/O","","","SPI1_MISO","TIM3_CH1","EVENTOUT","","USART5_RX","TIM17_BKIN",""
"57","PB5","I/O","","","SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","USART5_CK/USART5_DE/USART5_RTS","",""
"58","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","","","",""
"59","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","","USART4_CTS","",""
"60","BOOT0","Boot","","","","","","","","",""
"61","PB8","I/O","","","","I2C1_SCL","TIM16_CH1","","","",""
"62","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","","SPI2_NSS",""
"63","VSS","Power","","","","","","","","",""
"64","VDD","Power","","","","","","","","",""
