"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"1","BOOT0","Boot","","","","","","","","",""
"2","PF0-OSC_IN","I/O","","","","","","","","",""
"3","PF1-OSC_OUT","I/O","","","","","","","","",""
"4","NRST","Reset","","","","","","","","",""
"5","VDDA","Power","","","","","","","","",""
"6","PA0","I/O","","","RTC_TAMP2/SYS_WKUP1","USART1_CTS","TIM2_CH1/TIM2_ETR","","","",""
"7","PA1","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM2_CH2","","","",""
"8","PA2","I/O","","","","USART1_TX","TIM2_CH3","","","",""
"9","PA3","I/O","","","","USART1_RX","TIM2_CH4","","","",""
"10","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART1_CK","","","TIM14_CH1","",""
"11","PA5","I/O","","","I2S1_CK/SPI1_SCK","","TIM2_CH1/TIM2_ETR","","","",""
"12","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","","","TIM16_CH1","EVENTOUT"
"13","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","EVENTOUT"
"14","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","",""
"15","VSS","Power","","","","","","","","",""
"16","VDD","Power","","","","","","","","",""
"17","PA9","I/O","","","","USART1_TX","TIM1_CH2","","I2C1_SCL","",""
"18","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","","I2C1_SDA","",""
"19","PA13","I/O","","","","IR_OUT","","","","",""
"20","PA14","I/O","","","SYS_SWCLK","USART1_TX","","","","",""
