"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"1","VDD","Power","","","","","","","","",""
"2","PF0-OSC_IN","I/O","","","","","","","","",""
"3","PF1-OSC_OUT","I/O","","","","","","","","",""
"4","NRST","Reset","","","","","","","","",""
"5","VDDA","Power","","","","","","","","",""
"6","PA0","I/O","","","RTC_TAMP2/SYS_WKUP1","USART1_CTS","TIM2_CH1/TIM2_ETR","","","",""
"7","PA1","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM2_CH2","","","",""
"8","PA2","I/O","","","","USART1_TX","TIM2_CH3","","","",""
"9","PA3","I/O","","","","USART1_RX","TIM2_CH4","","","",""
"10","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART1_CK","","","TIM14_CH1","",""
"11","PA5","I/O","","","I2S1_CK/SPI1_SCK","","TIM2_CH1/TIM2_ETR","","","",""
"12","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","","","TIM16_CH1","EVENTOUT"
"13","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","EVENTOUT"
"14","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","","","",""
"15","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","",""
"16","PB2","I/O","","","","","","","","",""
"17","VDD","Power","","","","","","","","",""
"18","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","",""
"19","PA9","I/O","","","","USART1_TX","TIM1_CH2","","I2C1_SCL","",""
"20","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","","I2C1_SDA","",""
"21","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","","","",""
"22","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","","","",""
"23","PA13","I/O","","","","IR_OUT","","","","",""
"24","PA14","I/O","","","SYS_SWCLK","USART1_TX","","","","",""
"25","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART1_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","","",""
"26","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","","","",""
"27","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","","","",""
"28","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","",""
"29","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","","","",""
"30","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","","","",""
"31","BOOT0","Boot","","","","","","","","",""
"32","PB8","I/O","","","","I2C1_SCL","TIM16_CH1","","","",""
