"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"A1","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","","I2C1_SDA",""
"A2","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","","USB_NOE",""
"A3","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","","TIM17_BKIN",""
"A4","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","","",""
"A5","VDD","Power","","","","","","","","",""
"A6","PC13","I/O","","","","","","","","",""
"B1","PA13","I/O","","","SYS_SWDIO","IR_OUT","USB_NOE","","","",""
"B2","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","",""
"B3","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","","",""
"B4","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","","",""
"B5","PF0-OSC_IN","I/O","","","CRS_SYNC","I2C1_SDA","","","","",""
"B6","PC14OSC32_IN","I/O","","","","","","","","",""
"C1","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","I2C1_SDA","",""
"C2","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","","I2C1_SCL",""
"C3","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART2_CK","USB_NOE","TSC_G2_IO1","TIM14_CH1","",""
"C4","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","",""
"C5","PF1-OSC_OUT","I/O","","","","I2C1_SCL","","","","",""
"C6","PC15OSC32_OUT","I/O","","","","","","","","",""
"D1","PA9","I/O","","","","USART1_TX","TIM1_CH2","TSC_G4_IO1","I2C1_SCL","",""
"D2","NPOR","Power","","","","","","","","",""
"D3","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","TSC_G2_IO2","","",""
"D4","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","TIM2_CH2","TSC_G1_IO2","","",""
"D5","NRST","Reset","","","","","","","","",""
"D6","VSS","Power","","","","","","","","",""
"E1","VDDIO2","Power","","","","","","","","",""
"E2","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","CRS_SYNC","",""
"E3","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","TSC_G2_IO3","","TIM16_CH1","EVENTOUT"
"E4","PA2","I/O","","","","USART2_TX","TIM2_CH3","TSC_G1_IO3","","",""
"E5","VDDA","Power","","","","","","","","",""
"E6","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","",""
"F1","VSS","Power","","","","","","","","",""
"F2","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","TSC_G3_IO3","","",""
"F3","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","","",""
"F4","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","TSC_G2_IO4","TIM14_CH1","TIM17_CH1","EVENTOUT"
"F5","PA3","I/O","","","","USART2_RX","TIM2_CH4","TSC_G1_IO4","","",""
"F6","PA0","I/O","","","","USART2_CTS","TIM2_CH1/TIM2_ETR","TSC_G1_IO1","","",""
