"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","VBAT","Power","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"5","PF0-OSC_IN","I/O","","","","","","","","","",""
"6","PF1-OSC_OUT","I/O","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","",""
"8","VSSA","Power","","","","","","","","","",""
"9","VDDA","Power","","","","","","","","","",""
"10","PA0","I/O","","","RTC_TAMP2/SYS_WKUP1","USART2_CTS","TIM2_CH1/TIM2_ETR","TSC_G1_IO1","","","","COMP1_INM/COMP1_OUT"
"11","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","TIM2_CH2","TSC_G1_IO2","","","","COMP1_INP"
"12","PA2","I/O","","","TIM15_CH1","USART2_TX","TIM2_CH3","TSC_G1_IO3","","","","COMP2_INM/COMP2_OUT"
"13","PA3","I/O","","","TIM15_CH2","USART2_RX","TIM2_CH4","TSC_G1_IO4","","","","COMP2_INP"
"14","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART2_CK","","TSC_G2_IO1","TIM14_CH1","","","COMP1_INM/COMP2_INM"
"15","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","TSC_G2_IO2","","","","COMP1_INM/COMP2_INM"
"16","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","TSC_G2_IO3","","TIM16_CH1","EVENTOUT","COMP1_OUT"
"17","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","TSC_G2_IO4","TIM14_CH1","TIM17_CH1","EVENTOUT","COMP2_OUT"
"18","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","","","",""
"19","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","TSC_G3_IO3","","","",""
"20","NPOR","Power","","","","","","","","","",""
"21","PB10","I/O","","","CEC","I2C2_SCL","TIM2_CH3","TSC_SYNC","","","",""
"22","PB11","I/O","","","EVENTOUT","I2C2_SDA","TIM2_CH4","TSC_G6_IO1","","","",""
"23","VSS","Power","","","","","","","","","",""
"24","VDD","Power","","","","","","","","","",""
"25","PB12","I/O","","","SPI2_NSS","EVENTOUT","TIM1_BKIN","TSC_G6_IO2","","","",""
"26","PB13","I/O","","","SPI2_SCK","","TIM1_CH1N","TSC_G6_IO3","","","",""
"27","PB14","I/O","","","SPI2_MISO","TIM15_CH1","TIM1_CH2N","TSC_G6_IO4","","","",""
"28","PB15","I/O","","","RTC_REFIN/SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","","","",""
"29","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","","",""
"30","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","TSC_G4_IO1","","","",""
"31","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","","","",""
"32","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","","","","COMP1_OUT"
"33","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","","","","COMP2_OUT"
"34","PA13","I/O","","","","IR_OUT","","","","","",""
"35","PF6","I/O","","","","","","","","","",""
"36","PF7","I/O","","","","","","","","","",""
"37","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","","",""
"38","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","","","",""
"39","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","","","",""
"40","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","","","",""
"41","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","","",""
"42","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","","",""
"43","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","","","",""
"44","BOOT0","Boot","","","","","","","","","",""
"45","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","","","",""
"46","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","","","",""
"47","VSS","Power","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","",""
