"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PC14-OSC32_IN","I/O","","","","","","","","","",""
"A2","PC13","I/O","","","","","","","","","",""
"A3","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","","","",""
"A4","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","","","",""
"A5","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","","","",""
"A6","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","","","",""
"A7","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","","",""
"A8","PA13","I/O","","","","IR_OUT","","","","","",""
"B1","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"B2","VBAT","Power","","","","","","","","","",""
"B3","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","","","",""
"B4","BOOT0","Boot","","","","","","","","","",""
"B5","PD2","I/O","","","TIM3_ETR","","","","","","",""
"B6","PC11","I/O","","","","","","","","","",""
"B7","PC10","I/O","","","","","","","","","",""
"B8","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","","","","COMP2_OUT"
"C1","PF0-OSC_IN","I/O","","","","","","","","","",""
"C2","PF4","I/O","","","","","","","","","",""
"C3","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","","","",""
"C4","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","","",""
"C5","PC12","I/O","","","","","","","","","",""
"C6","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","","","",""
"C7","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","TSC_G4_IO1","","","",""
"C8","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","","","","COMP1_OUT"
"D1","PF1-OSC_OUT","I/O","","","","","","","","","",""
"D2","PF5","I/O","","","","","","","","","",""
"D3","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","","",""
"D4","VSS","Power","","","","","","","","","",""
"D5","VSS","Power","","","","","","","","","",""
"D6","PF6","I/O","","","","","","","","","",""
"D7","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","","",""
"D8","PC9","I/O","","","TIM3_CH4","","","","","","",""
"E1","NRST","Reset","","","","","","","","","",""
"E2","PC1","I/O","","","","","","","","","",""
"E3","PC0","I/O","","","","","","","","","",""
"E4","VDD","Power","","","","","","","","","",""
"E5","VDD","Power","","","","","","","","","",""
"E6","PF7","I/O","","","","","","","","","",""
"E7","PC7","I/O","","","TIM3_CH2","","","","","","",""
"E8","PC8","I/O","","","","TIM3_CH3","","","","","",""
"F1","VSSA","Power","","","","","","","","","",""
"F2","PC2","I/O","","","","","","","","","",""
"F3","PA2","I/O","","","TIM15_CH1","USART2_TX","TIM2_CH3","TSC_G1_IO3","","","","COMP2_INM/COMP2_OUT"
"F4","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","TSC_G2_IO2","","","","COMP1_INM/COMP2_INM"
"F5","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","","","",""
