"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PE2","I/O","","","TIM3_ETR","TSC_G7_IO1","","","","","",""
"2","PE3","I/O","","","TIM3_CH1","TSC_G7_IO2","","","","","",""
"3","PE4","I/O","","","TIM3_CH2","TSC_G7_IO3","","","","","",""
"4","PE5","I/O","","","TIM3_CH3","TSC_G7_IO4","","","","","",""
"5","PE6","I/O","","","TIM3_CH4","","","","","","",""
"6","VBAT","Power","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"10","PF9","I/O","","","TIM15_CH1","","","","","","",""
"11","PF10","I/O","","","TIM15_CH2","","","","","","",""
"12","PF0-OSC_IN","I/O","","","CRS_SYNC","","","","","","",""
"13","PF1-OSC_OUT","I/O","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","",""
"15","PC0","I/O","","","EVENTOUT","","","","","","",""
"16","PC1","I/O","","","EVENTOUT","","","","","","",""
"17","PC2","I/O","","","EVENTOUT","I2S2_MCK/SPI2_MISO","","","","","",""
"18","PC3","I/O","","","EVENTOUT","I2S2_SD/SPI2_MOSI","","","","","",""
"19","PF2","I/O","","","EVENTOUT","","","","","","",""
"20","VSSA","Power","","","","","","","","","",""
"21","VDDA","Power","","","","","","","","","",""
"22","PF3","I/O","","","EVENTOUT","","","","","","",""
"23","PA0","I/O","","","","USART2_CTS","TIM2_CH1/TIM2_ETR","TSC_G1_IO1","USART4_TX","","","COMP1_OUT"
"24","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","TIM2_CH2","TSC_G1_IO2","USART4_RX","TIM15_CH1N","",""
"25","PA2","I/O","","","TIM15_CH1","USART2_TX","TIM2_CH3","TSC_G1_IO3","","","","COMP2_OUT"
"26","PA3","I/O","","","TIM15_CH2","USART2_RX","TIM2_CH4","TSC_G1_IO4","","","",""
"27","VSS","Power","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","",""
"29","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART2_CK","","TSC_G2_IO1","TIM14_CH1","","",""
"30","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","TSC_G2_IO2","","","",""
"31","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","TSC_G2_IO3","USART3_CTS","TIM16_CH1","EVENTOUT","COMP1_OUT"
"32","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","TSC_G2_IO4","TIM14_CH1","TIM17_CH1","EVENTOUT","COMP2_OUT"
"33","PC4","I/O","","","EVENTOUT","USART3_TX","","","","","",""
"34","PC5","I/O","","","TSC_G3_IO1","USART3_RX","","","","","",""
"35","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","USART3_CK","","",""
"36","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","TSC_G3_IO3","USART3_DE/USART3_RTS","","",""
"37","PB2","I/O","","","","","","TSC_G3_IO4","","","",""
"38","PE7","I/O","","","TIM1_ETR","","","","","","",""
"39","PE8","I/O","","","TIM1_CH1N","","","","","","",""
"40","PE9","I/O","","","TIM1_CH1","","","","","","",""
"41","PE10","I/O","","","TIM1_CH2N","","","","","","",""
"42","PE11","I/O","","","TIM1_CH2","","","","","","",""
"43","PE12","I/O","","","TIM1_CH3N","I2S1_WS/SPI1_NSS","","","","","",""
"44","PE13","I/O","","","TIM1_CH3","I2S1_CK/SPI1_SCK","","","","","",""
