"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","","",""
"A2","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","USART4_DE/USART4_RTS","","",""
"A3","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","","","",""
"A4","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","","TIM17_BKIN","",""
"A5","BOOT0","Boot","","","","","","","","","",""
"A6","VSS","Power","","","","","","","","","",""
"A7","VDD","Power","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","",""
"B2","VDDIO2","Power","","","","","","","","","",""
"B3","PA13","I/O","","","SYS_SWDIO","IR_OUT","USB_NOE","","","","",""
"B4","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","","",""
"B5","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","","","",""
"B6","NC","Power","","","","","","","","","",""
"B7","VBAT","Power","","","","","","","","","",""
"C1","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","","","","COMP1_OUT"
"C2","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","","","",""
"C3","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","","","","COMP2_OUT"
"C4","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","","",""
"C5","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","","I2S2_WS/SPI2_NSS","",""
"C6","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"C7","PC14-OSC32_IN","I/O","","","","","","","","","",""
"D1","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","CRS_SYNC","","",""
"D2","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","TSC_G4_IO1","","","",""
"D3","VSS","Power","","","","","","","","","",""
"D4","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","USART4_CTS","","",""
"D5","PC13","I/O","","","","","","","","","",""
"D6","PF1-OSC_OUT","I/O","","","","","","","","","",""
"D7","PF0-OSC_IN","I/O","","","CRS_SYNC","","","","","","",""
"E1","PB15","I/O","","","I2S2_SD/SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","","","",""
"E2","PB12","I/O","","","I2S2_WS/SPI2_NSS","EVENTOUT","TIM1_BKIN","TSC_G6_IO2","USART3_CK","TIM15_BKIN","",""
"E3","PB10","I/O","","","CEC","I2C2_SCL","TIM2_CH3","TSC_SYNC","USART3_TX","I2S2_CK/SPI2_SCK","",""
"E4","PA3","I/O","","","TIM15_CH2","USART2_RX","TIM2_CH4","TSC_G1_IO4","","","",""
"E5","PA2","I/O","","","TIM15_CH1","USART2_TX","TIM2_CH3","TSC_G1_IO3","","","","COMP2_OUT"
"E6","VSSA","Power","","","","","","","","","",""
"E7","NRST","Reset","","","","","","","","","",""
"F1","PB14","I/O","","","I2S2_MCK/SPI2_MISO","TIM15_CH1","TIM1_CH2N","TSC_G6_IO4","USART3_DE/USART3_RTS","I2C2_SDA","",""
"F2","VDD","Power","","","","","","","","","",""
"F3","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","TSC_G2_IO4","TIM14_CH1","TIM17_CH1","EVENTOUT","COMP2_OUT"
"F4","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","TSC_G2_IO3","USART3_CTS","TIM16_CH1","EVENTOUT","COMP1_OUT"
"F5","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","TSC_G2_IO2","","","",""
"F6","PA0","I/O","","","","USART2_CTS","TIM2_CH1/TIM2_ETR","TSC_G1_IO1","USART4_TX","","","COMP1_OUT"
"F7","VDDA","Power","","","","","","","","","",""
"G1","PB13","I/O","","","I2S2_CK/SPI2_SCK","","TIM1_CH1N","TSC_G6_IO3","USART3_CTS","I2C2_SCL","",""
"G2","PB11","I/O","","","EVENTOUT","I2C2_SDA","TIM2_CH4","TSC_G6_IO1","USART3_RX","","",""
"G3","NPOR","Power","","","","","","","","","",""
"G4","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","TSC_G3_IO3","USART3_DE/USART3_RTS","","",""
"G5","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","USART3_CK","","",""
"G6","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART2_CK","","TSC_G2_IO1","TIM14_CH1","","",""
"G7","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","TIM2_CH2","TSC_G1_IO2","USART4_RX","TIM15_CH1N","",""
