"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PC14OSC32_IN","I/O","","","","","","","","","",""
"A2","PC13","I/O","","","","","","","","","",""
"A3","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","CAN_TX","I2S2_WS/SPI2_NSS","",""
"A4","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","USART5_RX","TIM17_BKIN","",""
"A5","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","USART5_TX","","",""
"A6","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","USART4_DE/USART4_RTS","","",""
"A7","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","","",""
"A8","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","",""
"B1","PC15OSC32_OUT","I/O","","","","","","","","","",""
"B2","VBAT","Power","","","","","","","","","",""
"B3","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","CAN_RX","","",""
"B4","PF11BOOT0","I/O","","","","","","","","","",""
"B5","PD2","I/O","","","TIM3_ETR","USART3_DE/USART3_RTS","USART5_RX","","","","",""
"B6","PC11","I/O","","","USART4_RX","USART3_RX","","","","","",""
"B7","PC10","I/O","","","USART4_TX","USART3_TX","","","","","",""
"B8","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","CAN_TX","I2C2_SDA","","COMP2_OUT"
"C1","PF0-OSC_IN","I/O","","","CRS_SYNC","I2C1_SDA","","","","","",""
"C2","VSS","Power","","","","","","","","","",""
"C3","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","USART4_CTS","","",""
"C4","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","USART5_CK/USART5_DE/USART5_RTS","","",""
"C5","PC12","I/O","","","USART4_CK","USART3_CK","USART5_TX","","","","",""
"C6","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","I2C1_SDA","","",""
"C7","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","TSC_G4_IO1","I2C1_SCL","RCC_MCO","",""
"C8","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","CAN_RX","I2C2_SCL","","COMP1_OUT"
"D1","PF1-OSC_OUT","I/O","","","","I2C1_SCL","","","","","",""
"D2","VDD","Power","","","","","","","","","",""
"D3","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","","",""
"D4","VSS","Power","","","","","","","","","",""
"D5","VSS","Power","","","","","","","","","",""
"D6","VSS","Power","","","","","","","","","",""
"D7","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","CRS_SYNC","","",""
"D8","PC9","I/O","","","TIM3_CH4","USART8_RX","","","","","",""
"E1","NRST","Reset","","","","","","","","","",""
"E2","PC1","I/O","","","EVENTOUT","USART7_RX","USART6_RX","","","","",""
"E3","PC0","I/O","","","EVENTOUT","USART7_TX","USART6_TX","","","","",""
"E4","VDD","Power","","","","","","","","","",""
"E5","VDD","Power","","","","","","","","","",""
"E6","VDDIO2","Power","","","","","","","","","",""
"E7","PC7","I/O","","","TIM3_CH2","USART7_RX","","","","","",""
