"Position","Name","Type","Signal","Label","TIM2_REMAP2","TIM2_REMAP1","TIM3_REMAP1","TIM2_REMAP3","USART3_REMAP1","USART3_REMAP2","TIM4_REMAP1","TIM3_REMAP2","SPI1_REMAP1","USART2_REMAP1","USART1_REMAP1","I2C1_REMAP1"
"1","PE2","I/O","","","","","","","","","","","","","",""
"2","PE3","I/O","","","","","","","","","","","","","",""
"3","PE4","I/O","","","","","","","","","","","","","",""
"4","PE5","I/O","","","","","","","","","","","","","",""
"5","PE6","I/O","","","","","","","","","","","","","",""
"6","VBAT","Power","","","","","","","","","","","","","",""
"7","PC13-TAMPER-RTC","I/O","","","","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","",""
"10","PF0","I/O","","","","","","","","","","","","","",""
"11","PF1","I/O","","","","","","","","","","","","","",""
"12","PF2","I/O","","","","","","","","","","","","","",""
"13","PF3","I/O","","","","","","","","","","","","","",""
"14","PF4","I/O","","","","","","","","","","","","","",""
"15","PF5","I/O","","","","","","","","","","","","","",""
"16","VSS","Power","","","","","","","","","","","","","",""
"17","VDD","Power","","","","","","","","","","","","","",""
"18","PF6","I/O","","","","","","","","","","","","","",""
"19","PF7","I/O","","","","","","","","","","","","","",""
"20","PF8","I/O","","","","","","","","","","","","","",""
"21","PF9","I/O","","","","","","","","","","","","","",""
"22","PF10","I/O","","","","","","","","","","","","","",""
"23","OSC_IN","I/O","","","","","","","","","","","","","",""
"24","OSC_OUT","I/O","","","","","","","","","","","","","",""
"25","NRST","Reset","","","","","","","","","","","","","",""
"26","PC0","I/O","","","","","","","","","","","","","",""
"27","PC1","I/O","","","","","","","","","","","","","",""
"28","PC2","I/O","","","","","","","","","","","","","",""
"29","PC3","I/O","","","","","","","","","","","","","",""
"30","VSSA","Power","","","","","","","","","","","","","",""
"31","VREF-","Power","","","","","","","","","","","","","",""
"32","VREF+","Power","","","","","","","","","","","","","",""
"33","VDDA","Power","","","","","","","","","","","","","",""
"34","PA0-WKUP","I/O","","","TIM2_CH1/TIM2_ETR","","","","","","","","","","",""
"35","PA1","I/O","","","TIM2_CH2","","","","","","","","","","",""
"36","PA2","I/O","","","","TIM2_CH3","","","","","","","","","",""
"37","PA3","I/O","","","","TIM2_CH4","","","","","","","","","",""
"38","VSS","Power","","","","","","","","","","","","","",""
"39","VDD","Power","","","","","","","","","","","","","",""
"40","PA4","I/O","","","","","","","","","","","","","",""
"41","PA5","I/O","","","","","","","","","","","","","",""
"42","PA6","I/O","","","","","","","","","","","","","",""
"43","PA7","I/O","","","","","","","","","","","","","",""
"44","PC4","I/O","","","","","","","","","","","","","",""
"45","PC5","I/O","","","","","","","","","","","","","",""
"46","PB0","I/O","","","","","TIM3_CH3","","","","","","","","",""
"47","PB1","I/O","","","","","TIM3_CH4","","","","","","","","",""
"48","PB2","I/O","","","","","","","","","","","","","",""
