"Position","Name","Type","Signal","Label","CAN_REMAP1","I2C1_REMAP1","SPI1_REMAP1","TIM3_REMAP1","TIM2_REMAP1","TIM2_REMAP3","TIM1_REMAP1","USART1_REMAP1","TIM3_REMAP2","TIM2_REMAP2"
"A1","PC14-OSC32_IN","I/O","","","","","","","","","","","",""
"A2","PC13-TAMPER-RTC","I/O","","","","","","","","","","","",""
"A3","PB9","I/O","","","CAN_TX","I2C1_SDA","","","","","","","",""
"A4","PB4","I/O","","","","","SPI1_MISO","TIM3_CH1","","","","","",""
"A5","PB3","I/O","","","","","SPI1_SCK","","TIM2_CH2","TIM2_CH2","","","",""
"A6","PA15","I/O","","","","","SPI1_NSS","","TIM2_CH1/TIM2_ETR","TIM2_CH1/TIM2_ETR","","","",""
"A7","PA14","I/O","","","","","","","","","","","",""
"A8","PA13","I/O","","","","","","","","","","","",""
"B1","PC15-OSC32_OUT","I/O","","","","","","","","","","","",""
"B2","VBAT","Power","","","","","","","","","","","",""
"B3","PB8","I/O","","","CAN_RX","I2C1_SCL","","","","","","","",""
"B4","BOOT0","Boot","","","","","","","","","","","",""
"B5","PD2","I/O","","","","","","","","","","","",""
"B6","PC11","I/O","","","","","","","","","","","",""
"B7","PC10","I/O","","","","","","","","","","","",""
"B8","PA12","I/O","","","","","","","","","TIM1_ETR","","",""
"C1","PD0-OSC_IN","I/O","","","","","","","","","","","",""
"C2","VSS","Power","","","","","","","","","","","",""
"C3","PB7","I/O","","","","","","","","","","USART1_RX","",""
"C4","PB5","I/O","","","","","SPI1_MOSI","TIM3_CH2","","","","","",""
"C5","PC12","I/O","","","","","","","","","","","",""
"C6","PA10","I/O","","","","","","","","","TIM1_CH3","","",""
"C7","PA9","I/O","","","","","","","","","TIM1_CH2","","",""
"C8","PA11","I/O","","","","","","","","","TIM1_CH4","","",""
"D1","PD1-OSC_OUT","I/O","","","","","","","","","","","",""
"D2","VDD","Power","","","","","","","","","","","",""
"D3","PB6","I/O","","","","","","","","","","USART1_TX","",""
"D4","VSS","Power","","","","","","","","","","","",""
"D5","VSS","Power","","","","","","","","","","","",""
"D6","VSS","Power","","","","","","","","","","","",""
"D7","PA8","I/O","","","","","","","","","TIM1_CH1","","",""
"D8","PC9","I/O","","","","","","","","","","","TIM3_CH4",""
"E1","NRST","Reset","","","","","","","","","","","",""
"E2","PC1","I/O","","","","","","","","","","","",""
"E3","PC0","I/O","","","","","","","","","","","",""
"E4","VDD","Power","","","","","","","","","","","",""
"E5","VDD","Power","","","","","","","","","","","",""
"E6","VDD","Power","","","","","","","","","","","",""
"E7","PC7","I/O","","","","","","","","","","","TIM3_CH2",""
"E8","PC8","I/O","","","","","","","","","","","TIM3_CH3",""
"F1","VSSA","Power","","","","","","","","","","","",""
"F2","PC2","I/O","","","","","","","","","","","",""
"F3","PA2","I/O","","","","","","","TIM2_CH3","","","","",""
"F4","PA5","I/O","","","","","","","","","","","",""
"F5","PB0","I/O","","","","","","TIM3_CH3","","","TIM1_CH2N","","",""
"F6","PC6","I/O","","","","","","","","","","","TIM3_CH1",""
"F7","PB15","I/O","","","","","","","","","","","",""
"F8","PB14","I/O","","","","","","","","","","","",""
"G1","VREF+","Power","","","","","","","","","","","",""
"G2","PA0-WKUP","I/O","","","","","","","","","","","","TIM2_CH1/TIM2_ETR"
"G3","PA3","I/O","","","","","","","TIM2_CH4","","","","",""
"G4","PA6","I/O","","","","","","","","","TIM1_BKIN","","",""
"G5","PB1","I/O","","","","","","TIM3_CH4","","","TIM1_CH3N","","",""
"G6","PB2","I/O","","","","","","","","","","","",""
"G7","PB10","I/O","","","","","","","","TIM2_CH3","","","","TIM2_CH3"
"G8","PB13","I/O","","","","","","","","","","","",""
"H1","VDDA","Power","","","","","","","","","","","",""
"H2","PA1","I/O","","","","","","","","","","","","TIM2_CH2"
"H3","PA4","I/O","","","","","","","","","","","",""
"H4","PA7","I/O","","","","","","","","","TIM1_CH1N","","",""
"H5","PC4","I/O","","","","","","","","","","","",""
"H6","PC5","I/O","","","","","","","","","","","",""
"H7","PB11","I/O","","","","","","","","TIM2_CH4","","","","TIM2_CH4"
"H8","PB12","I/O","","","","","","","","","","","",""
