"Position","Name","Type","Signal","Label","USART3_REMAP1","SPI1_REMAP1","TIM2_REMAP1","TIM2_REMAP3","TIM3_REMAP1","USART1_REMAP1","CAN_REMAP1","I2C1_REMAP1","TIM1_REMAP1","TIM3_REMAP2","TIM2_REMAP2"
"A1","VDD","Power","","","","","","","","","","","","",""
"A2","PC10","I/O","","","USART3_TX","","","","","","","","","",""
"A3","PD2","I/O","","","","","","","","","","","","",""
"A4","PB3","I/O","","","","SPI1_SCK","TIM2_CH2","TIM2_CH2","","","","","","",""
"A5","PB5","I/O","","","","SPI1_MOSI","","","TIM3_CH2","","","","","",""
"A6","BOOT0","Boot","","","","","","","","","","","","",""
"A7","VSS","Power","","","","","","","","","","","","",""
"A8","VDD","Power","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","",""
"B2","PA14","I/O","","","","","","","","","","","","",""
"B3","PC11","I/O","","","USART3_RX","","","","","","","","","",""
"B4","PB4","I/O","","","","SPI1_MISO","","","TIM3_CH1","","","","","",""
"B5","PB6","I/O","","","","","","","","USART1_TX","","","","",""
"B6","PB9","I/O","","","","","","","","","CAN_TX","I2C1_SDA","","",""
"B7","PC15-OSC32_OUT","I/O","","","","","","","","","","","","",""
"B8","PC14-OSC32_IN","I/O","","","","","","","","","","","","",""
"C1","PA11","I/O","","","","","","","","","","","TIM1_CH4","",""
"C2","PA12","I/O","","","","","","","","","","","TIM1_ETR","",""
"C3","PA15","I/O","","","","SPI1_NSS","TIM2_CH1/TIM2_ETR","TIM2_CH1/TIM2_ETR","","","","","","",""
"C4","PC12","I/O","","","USART3_CK","","","","","","","","","",""
"C5","PB7","I/O","","","","","","","","USART1_RX","","","","",""
"C6","VBAT","Power","","","","","","","","","","","","",""
"C7","NRST","Reset","","","","","","","","","","","","",""
"C8","PC13-TAMPER-RTC","I/O","","","","","","","","","","","","",""
"D1","PC9","I/O","","","","","","","","","","","","TIM3_CH4",""
"D2","PA9","I/O","","","","","","","","","","","TIM1_CH2","",""
"D3","PA10","I/O","","","","","","","","","","","TIM1_CH3","",""
"D4","PA13","I/O","","","","","","","","","","","","",""
"D5","PB8","I/O","","","","","","","","","CAN_RX","I2C1_SCL","","",""
"D6","PC2","I/O","","","","","","","","","","","","",""
"D7","PD1-OSC_OUT","I/O","","","","","","","","","","","","",""
"D8","PD0-OSC_IN","I/O","","","","","","","","","","","","",""
"E1","PC6","I/O","","","","","","","","","","","","TIM3_CH1",""
"E2","PC7","I/O","","","","","","","","","","","","TIM3_CH2",""
"E3","PC8","I/O","","","","","","","","","","","","TIM3_CH3",""
"E4","PA8","I/O","","","","","","","","","","","TIM1_CH1","",""
"E5","PA5","I/O","","","","","","","","","","","","",""
"E6","PA1","I/O","","","","","","","","","","","","","TIM2_CH2"
"E7","VSSA","Power","","","","","","","","","","","","",""
"E8","PC0","I/O","","","","","","","","","","","","",""
"F1","PB15","I/O","","","","","","","","","","","","",""
"F2","PB14","I/O","","","USART3_RTS","","","","","","","","","",""
"F3","PB11","I/O","","","","","","TIM2_CH4","","","","","","","TIM2_CH4"
"F4","PB1","I/O","","","","","","","TIM3_CH4","","","","TIM1_CH3N","",""
"F5","VSS","Power","","","","","","","","","","","","",""
"F6","PA0-WKUP","I/O","","","","","","","","","","","","","TIM2_CH1/TIM2_ETR"
"F7","VREF+","Power","","","","","","","","","","","","",""
"F8","PC1","I/O","","","","","","","","","","","","",""
"G1","PB13","I/O","","","USART3_CTS","","","","","","","","","",""
"G2","PB12","I/O","","","","","","","","","","","","",""
"G3","PB10","I/O","","","","","","TIM2_CH3","","","","","","","TIM2_CH3"
"G4","PA7","I/O","","","","","","","","","","","TIM1_CH1N","",""
"G5","PA6","I/O","","","","","","","","","","","TIM1_BKIN","",""
"G6","VDD","Power","","","","","","","","","","","","",""
"G7","PA3","I/O","","","","","TIM2_CH4","","","","","","","",""
"G8","VDDA","Power","","","","","","","","","","","","",""
"H1","VDD","Power","","","","","","","","","","","","",""
"H2","VSS","Power","","","","","","","","","","","","",""
"H3","PB2","I/O","","","","","","","","","","","","",""
"H4","PB0","I/O","","","","","","","TIM3_CH3","","","","TIM1_CH2N","",""
"H5","PC5","I/O","","","","","","","","","","","","",""
"H6","PC4","I/O","","","","","","","","","","","","",""
"H7","PA4","I/O","","","","","","","","","","","","",""
"H8","PA2","I/O","","","","","TIM2_CH3","","","","","","","",""
