"Position","Name","Type","Signal","Label","CAN_REMAP1","I2C1_REMAP1","USART2_REMAP1","SPI1_REMAP1","TIM3_REMAP1","TIM2_REMAP1","TIM2_REMAP3","TIM1_REMAP1","USART1_REMAP1","CAN_REMAP2","USART3_REMAP1","TIM3_REMAP2","TIM4_REMAP1","USART3_REMAP2","TIM2_REMAP2","TIM1_REMAP2"
"A1","PE3","I/O","","","","","","","","","","","","","","","","","",""
"A2","PE1","I/O","","","","","","","","","","","","","","","","","",""
"A3","PB8","I/O","","","CAN_RX","I2C1_SCL","","","","","","","","","","","","","",""
"A4","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A5","PD7","I/O","","","","","USART2_CK","","","","","","","","","","","","",""
"A6","PD5","I/O","","","","","USART2_TX","","","","","","","","","","","","",""
"A7","PB4","I/O","","","","","","SPI1_MISO","TIM3_CH1","","","","","","","","","","",""
"A8","PB3","I/O","","","","","","SPI1_SCK","","TIM2_CH2","TIM2_CH2","","","","","","","","",""
"A9","PA15","I/O","","","","","","SPI1_NSS","","TIM2_CH1/TIM2_ETR","TIM2_CH1/TIM2_ETR","","","","","","","","",""
"A10","PA14","I/O","","","","","","","","","","","","","","","","","",""
"A11","PA13","I/O","","","","","","","","","","","","","","","","","",""
"A12","PA12","I/O","","","","","","","","","","TIM1_ETR","","","","","","","",""
"B1","PE4","I/O","","","","","","","","","","","","","","","","","",""
"B2","PE2","I/O","","","","","","","","","","","","","","","","","",""
"B3","PB9","I/O","","","CAN_TX","I2C1_SDA","","","","","","","","","","","","","",""
"B4","PB7","I/O","","","","","","","","","","","USART1_RX","","","","","","",""
"B5","PB6","I/O","","","","","","","","","","","USART1_TX","","","","","","",""
"B6","PD6","I/O","","","","","USART2_RX","","","","","","","","","","","","",""
"B7","PD4","I/O","","","","","USART2_RTS","","","","","","","","","","","","",""
"B8","PD3","I/O","","","","","USART2_CTS","","","","","","","","","","","","",""
"B9","PD1","I/O","","","","","","","","","","","","CAN_TX","","","","","",""
"B10","PC12","I/O","","","","","","","","","","","","","USART3_CK","","","","",""
"B11","PC10","I/O","","","","","","","","","","","","","USART3_TX","","","","",""
"B12","PA11","I/O","","","","","","","","","","TIM1_CH4","","","","","","","",""
"C1","PC13-TAMPER-RTC","I/O","","","","","","","","","","","","","","","","","",""
"C2","PE5","I/O","","","","","","","","","","","","","","","","","",""
"C3","PE0","I/O","","","","","","","","","","","","","","","","","",""
"C4","VDD","Power","","","","","","","","","","","","","","","","","",""
"C5","PB5","I/O","","","","","","SPI1_MOSI","TIM3_CH2","","","","","","","","","","",""
"C8","PD2","I/O","","","","","","","","","","","","","","","","","",""
"C9","PD0","I/O","","","","","","","","","","","","CAN_RX","","","","","",""
"C10","PC11","I/O","","","","","","","","","","","","","USART3_RX","","","","",""
"C11","NC","NC","","","","","","","","","","","","","","","","","",""
"C12","PA10","I/O","","","","","","","","","","TIM1_CH3","","","","","","","",""
"D1","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","",""
"D2","PE6","I/O","","","","","","","","","","","","","","","","","",""
"D3","VSS","Power","","","","","","","","","","","","","","","","","",""
"D10","PA9","I/O","","","","","","","","","","TIM1_CH2","","","","","","","",""
"D11","PA8","I/O","","","","","","","","","","TIM1_CH1","","","","","","","",""
"D12","PC9","I/O","","","","","","","","","","","","","","TIM3_CH4","","","",""
"E1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","",""
"E2","VBAT","Power","","","","","","","","","","","","","","","","","",""
