"Position","Name","Type","Signal","Label","TIM9_REMAP1","TIM2_REMAP2","TIM2_REMAP1","TIM1_REMAP1","TIM3_REMAP1","TIM1_REMAP2","TIM2_REMAP3","USART3_REMAP1","USART3_REMAP2","TIM4_REMAP1","TIM3_REMAP2","SPI1_REMAP1","CAN_REMAP2","USART2_REMAP1","USART1_REMAP1","CAN_REMAP1","I2C1_REMAP1"
"1","PE2","I/O","","","","","","","","","","","","","","","","","","",""
"2","PE3","I/O","","","","","","","","","","","","","","","","","","",""
"3","PE4","I/O","","","","","","","","","","","","","","","","","","",""
"4","PE5","I/O","","","TIM9_CH1","","","","","","","","","","","","","","","",""
"5","PE6","I/O","","","TIM9_CH2","","","","","","","","","","","","","","","",""
"6","VBAT","Power","","","","","","","","","","","","","","","","","","",""
"7","PC13-TAMPER-RTC","I/O","","","","","","","","","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","",""
"10","VSS","Power","","","","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","","","","",""
"12","OSC_IN","I/O","","","","","","","","","","","","","","","","","","",""
"13","OSC_OUT","I/O","","","","","","","","","","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","","","","","","","","","","",""
"16","PC1","I/O","","","","","","","","","","","","","","","","","","",""
"17","PC2","I/O","","","","","","","","","","","","","","","","","","",""
"18","PC3","I/O","","","","","","","","","","","","","","","","","","",""
"19","VSSA","Power","","","","","","","","","","","","","","","","","","",""
"20","VREF-","Power","","","","","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","","","","","",""
"23","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","","","","","","","","","","","","","","",""
"24","PA1","I/O","","","","TIM2_CH2","","","","","","","","","","","","","","",""
"25","PA2","I/O","","","","","TIM2_CH3","","","","","","","","","","","","","",""
"26","PA3","I/O","","","","","TIM2_CH4","","","","","","","","","","","","","",""
"27","VSS","Power","","","","","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","","","","","",""
"29","PA4","I/O","","","","","","","","","","","","","","","","","","",""
"30","PA5","I/O","","","","","","","","","","","","","","","","","","",""
"31","PA6","I/O","","","","","","TIM1_BKIN","","","","","","","","","","","","",""
"32","PA7","I/O","","","","","","TIM1_CH1N","","","","","","","","","","","","",""
"33","PC4","I/O","","","","","","","","","","","","","","","","","","",""
"34","PC5","I/O","","","","","","","","","","","","","","","","","","",""
"35","PB0","I/O","","","","","","TIM1_CH2N","TIM3_CH3","","","","","","","","","","","",""
"36","PB1","I/O","","","","","","TIM1_CH3N","TIM3_CH4","","","","","","","","","","","",""
"37","PB2","I/O","","","","","","","","","","","","","","","","","","",""
