"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","","","","","","","ETH_TXD3","FSMC_A23",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","","","","","","","FSMC_A19",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","","","","","","","","FSMC_A20","DCMI_D4"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","","","","","","","","FSMC_A21","DCMI_D6"
"5","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","","","","","","","","FSMC_A22","DCMI_D7"
"6","VBAT","Power","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","RTC_AF1","","","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","","",""
"10","VSS","Power","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","",""
"12","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","","",""
"13","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_STP","","",""
"16","PC1","I/O","","","","","","","","","","","","","","ETH_MDC","",""
"17","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","ETH_TXD2","",""
"18","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","ETH_TX_CLK","",""
"19","VDD","Power","","","","","","","","","","","","","","","",""
"20","VSSA","Power","","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","","",""
"23","PA0-WKUP","I/O","","","SYS_WKUP","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","ETH_CRS","",""
"24","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","","","ETH_REF_CLK/ETH_RX_CLK","",""
"25","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","ETH_MDIO","",""
"26","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","USB_OTG_HS_ULPI_D0","ETH_COL","",""
"27","VSS","Power","","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","","",""
