"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","","","","","","","ETH_TXD3","FSMC_A23",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","","","","","","","FSMC_A19",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","","","","","","","","FSMC_A20","DCMI_D4"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","","","","","","","","FSMC_A21","DCMI_D6"
"5","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","","","","","","","","FSMC_A22","DCMI_D7"
"6","VBAT","Power","","","","","","","","","","","","","","","",""
"7","PI8-RTC_AF2","I/O","","","RTC_AF2","","","","","","","","","","","","",""
"8","PC13","I/O","","","RTC_AF1","","","","","","","","","","","","",""
"9","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","","",""
"10","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","","",""
"11","PI9","I/O","","","","","","","","","","","","CAN1_RX","","","",""
"12","PI10","I/O","","","","","","","","","","","","","","ETH_RX_ER","",""
"13","PI11","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_DIR","","",""
"14","VSS","Power","","","","","","","","","","","","","","","",""
"15","VDD","Power","","","","","","","","","","","","","","","",""
"16","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FSMC_A0",""
"17","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FSMC_A1",""
"18","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FSMC_A2",""
"19","PF3","I/O","","","","","","","","","","","","","","","FSMC_A3",""
"20","PF4","I/O","","","","","","","","","","","","","","","FSMC_A4",""
"21","PF5","I/O","","","","","","","","","","","","","","","FSMC_A5",""
"22","VSS","Power","","","","","","","","","","","","","","","",""
"23","VDD","Power","","","","","","","","","","","","","","","",""
"24","PF6","I/O","","","","","","TIM10_CH1","","","","","","","","","FSMC_NIORD",""
"25","PF7","I/O","","","","","","TIM11_CH1","","","","","","","","","FSMC_NREG",""
"26","PF8","I/O","","","","","","","","","","","","TIM13_CH1","","","FSMC_NIOWR",""
"27","PF9","I/O","","","","","","","","","","","","TIM14_CH1","","","FSMC_CD",""
"28","PF10","I/O","","","","","","","","","","","","","","","FSMC_INTR",""
"29","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","","",""
"30","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","","",""
"31","NRST","Reset","","","","","","","","","","","","","","","",""
"32","PC0","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_STP","","",""
