"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VDD","Power","","","","","","","","","","","","","","","","","",""
"2","PF0-OSC_IN","I/O","","","","","","","I2C2_SDA","I2S2_WS/SPI2_NSS","TIM1_CH3N","","","","","","","","",""
"3","PF1-OSC_OUT","I/O","","","","","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","","","","","","","","",""
"4","NRST","Reset","","","","","","","","","","","","","","","","","",""
"5","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"6","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"7","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G1_IO1","","","","USART2_CTS","","","","","","","","EVENTOUT"
"8","PA1","I/O","","","RTC_REFIN","TIM2_CH2","","TSC_G1_IO2","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"9","PA2","I/O","","","","TIM2_CH3","","TSC_G1_IO3","","","","USART2_TX","COMP2_OUT","TIM15_CH1","","","","","","EVENTOUT"
"10","PA3","I/O","","","","TIM2_CH4","","TSC_G1_IO4","","","","USART2_RX","","TIM15_CH2","","","","","","EVENTOUT"
"11","PA4","I/O","","","","","","TSC_G2_IO1","","","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","","","EVENTOUT"
"12","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G2_IO2","","","","","","","","","","","","EVENTOUT"
"13","PA6","I/O","","","","TIM16_CH1","","TSC_G2_IO3","","","TIM1_BKIN","","","","","","","","","EVENTOUT"
"14","PA7","I/O","","","","TIM17_CH1","","TSC_G2_IO4","","","TIM1_CH1N","","","","","","","","","EVENTOUT"
"15","PB0","I/O","","","","","","TSC_G3_IO2","","","TIM1_CH2N","","","","","","","","","EVENTOUT"
"16","VSS","Power","","","","","","","","","","","","","","","","","",""
"17","VDD","Power","","","","","","","","","","","","","","","","","",""
"18","PA8","I/O","","","RCC_MCO","","","I2C3_SCL","I2C2_SMBA","I2S2_MCK","TIM1_CH1","USART1_CK","","","","","","","","EVENTOUT"
"19","PA9","I/O","","","","","I2C3_SMBA","TSC_G4_IO1","I2C2_SCL","I2S3_MCK","TIM1_CH2","USART1_TX","","TIM15_BKIN","TIM2_CH3","","","","","EVENTOUT"
"20","PA10","I/O","","","","TIM17_BKIN","","TSC_G4_IO2","I2C2_SDA","I2S2_ext_SD/SPI2_MISO","TIM1_CH3","USART1_RX","","","TIM2_CH4","","","","","EVENTOUT"
"21","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS","","CAN_RX","","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
"22","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","CAN_TX","","TIM1_ETR","","","","EVENTOUT"
"23","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","TSC_G4_IO3","","IR_OUT","","","","","","","","","","EVENTOUT"
"24","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","","TIM1_BKIN","USART2_TX","","","","","","","","EVENTOUT"
"25","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","TSC_SYNC","I2C1_SCL","","I2S3_WS/SPI3_NSS","USART2_RX","","TIM1_BKIN","","","","","","EVENTOUT"
"26","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","","TSC_G5_IO1","","","I2S3_CK/SPI3_SCK","USART2_TX","","","","","","","","EVENTOUT"
"27","PB4","I/O","","","SYS_NJTRST","TIM16_CH1","","TSC_G5_IO2","","","I2S3_ext_SD/SPI3_MISO","USART2_RX","","","TIM17_BKIN","","","","","EVENTOUT"
"28","PB5","I/O","","","","TIM16_BKIN","","","I2C1_SMBA","","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","","TIM17_CH1","","","","","EVENTOUT"
"29","PB6","I/O","","","","TIM16_CH1N","","TSC_G5_IO3","I2C1_SCL","","","USART1_TX","","","","","","","","EVENTOUT"
"30","PB7","I/O","","","","TIM17_CH1N","","TSC_G5_IO4","I2C1_SDA","","","USART1_RX","","","","","","","","EVENTOUT"
"31","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"32","VSS","Power","","","","","","","","","","","","","","","","","",""
