"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PE3","I/O","","","SYS_TRACED0","EVENTOUT","TIM3_CH2","TSC_G7_IO2","","SPI4_NSS","","","","","","","FMC_A19","","",""
"A2","PE1","I/O","","","","EVENTOUT","","","TIM17_CH1","","","USART1_RX","","","","","FMC_NBL1","","",""
"A3","PB8","I/O","","","","TIM16_CH1","TIM4_CH3","TSC_SYNC","I2C1_SCL","","","USART3_RX","COMP1_OUT","CAN_RX","","","TIM1_BKIN","","","EVENTOUT"
"A4","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A5","PD7","I/O","","","","EVENTOUT","TIM2_CH3","","","","","USART2_CK","","","","","FMC_NCE2/FMC_NE1","","",""
"A6","PD5","I/O","","","","EVENTOUT","","","","","","USART2_TX","","","","","FMC_NWE","","",""
"A7","PB4","I/O","","","SYS_NJTRST","TIM16_CH1","TIM3_CH1","TSC_G5_IO2","","SPI1_MISO","I2S3_ext_SD/SPI3_MISO","USART2_RX","","","TIM17_BKIN","","","","","EVENTOUT"
"A8","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","TIM4_ETR","TSC_G5_IO1","","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","","","","","EVENTOUT"
"A9","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","TSC_SYNC","I2C1_SCL","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_RX","","TIM1_BKIN","","","","","","EVENTOUT"
"A10","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","","TIM1_BKIN","USART2_TX","","","","","","","","EVENTOUT"
"A11","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","TSC_G4_IO3","","IR_OUT","","USART3_CTS","","","TIM4_CH3","","","","","EVENTOUT"
"A12","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","CAN_TX","TIM4_CH2","TIM1_ETR","","","","EVENTOUT"
"B1","PE4","I/O","","","SYS_TRACED1","EVENTOUT","TIM3_CH3","TSC_G7_IO3","","SPI4_NSS","","","","","","","FMC_A20","","",""
"B2","PE2","I/O","","","SYS_TRACECK","EVENTOUT","TIM3_CH1","TSC_G7_IO1","","SPI4_SCK","","","","","","","FMC_A23","","",""
"B3","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","","I2C1_SDA","","IR_OUT","USART3_TX","COMP2_OUT","CAN_TX","","","","","","EVENTOUT"
"B4","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","TSC_G5_IO4","I2C1_SDA","","","USART1_RX","","","TIM3_CH4","","FMC_NL","","","EVENTOUT"
"B5","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","TSC_G5_IO3","I2C1_SCL","","","USART1_TX","","","","","","","","EVENTOUT"
"B6","PD6","I/O","","","","EVENTOUT","TIM2_CH4","","","","","USART2_RX","","","","","FMC_NWAIT","","",""
"B7","PD4","I/O","","","","EVENTOUT","TIM2_CH2","","","","","USART2_DE/USART2_RTS","","","","","FMC_NOE","","",""
"B8","PD3","I/O","","","","EVENTOUT","TIM2_CH1/TIM2_ETR","","","","","USART2_CTS","","","","","FMC_CLK","","",""
"B9","PD1","I/O","","","","EVENTOUT","","","","","","CAN_TX","","","","","FMC_D3","","",""
"B10","PC12","I/O","","","","EVENTOUT","","","","UART5_TX","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","",""
"B11","PC10","I/O","","","","EVENTOUT","","","","UART4_TX","I2S3_CK/SPI3_SCK","USART3_TX","","","","","","","",""
"B12","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS","COMP1_OUT","CAN_RX","TIM4_CH1","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
"C1","PC13","I/O","","","","EVENTOUT","","","TIM1_CH1N","","","","","","","","","","",""
"C2","PE5","I/O","","","SYS_TRACED2","EVENTOUT","TIM3_CH4","TSC_G7_IO4","","SPI4_MISO","","","","","","","FMC_A21","","",""
"C3","PE0","I/O","","","","EVENTOUT","TIM4_ETR","","TIM16_CH1","","","USART1_TX","","","","","FMC_NBL0","","",""
"C4","VDD","Power","","","","","","","","","","","","","","","","","",""
"C5","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","","TIM17_CH1","","","","","EVENTOUT"
"C8","PD2","I/O","","","","EVENTOUT","TIM3_ETR","","","UART5_RX","","","","","","","","","",""
"C9","PD0","I/O","","","","EVENTOUT","","","","","","CAN_RX","","","","","FMC_D2","","",""
"C10","PC11","I/O","","","","EVENTOUT","","","","UART4_RX","I2S3_ext_SD/SPI3_MISO","USART3_RX","","","","","","","",""
"C11","PF6","I/O","","","","EVENTOUT","TIM4_CH4","","I2C2_SCL","","","USART3_DE/USART3_RTS","","","","","FMC_NIORD","","",""
