"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","PE2","I/O","","","SYS_TRACECK","EVENTOUT","TIM3_CH1","TSC_G7_IO1","","SPI4_SCK","","","","","","","FMC_A23","","",""
"2","PE3","I/O","","","SYS_TRACED0","EVENTOUT","TIM3_CH2","TSC_G7_IO2","","SPI4_NSS","","","","","","","FMC_A19","","",""
"3","PE4","I/O","","","SYS_TRACED1","EVENTOUT","TIM3_CH3","TSC_G7_IO3","","SPI4_NSS","","","","","","","FMC_A20","","",""
"4","PE5","I/O","","","SYS_TRACED2","EVENTOUT","TIM3_CH4","TSC_G7_IO4","","SPI4_MISO","","","","","","","FMC_A21","","",""
"5","PE6","I/O","","","SYS_TRACED3","EVENTOUT","","","","SPI4_MOSI","","","","","","","FMC_A22","","",""
"6","VBAT","Power","","","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","EVENTOUT","","","TIM1_CH1N","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
"10","PF9","I/O","","","","EVENTOUT","","TIM15_CH1","","SPI2_SCK","","","","","","","FMC_CD","","",""
"11","PF10","I/O","","","","EVENTOUT","","TIM15_CH2","","SPI2_SCK","","","","","","","FMC_INTR","","",""
"12","PF0-OSC_IN","I/O","","","","EVENTOUT","","","I2C2_SDA","I2S2_WS/SPI2_NSS","TIM1_CH3N","","","","","","","","",""
"13","PF1-OSC_OUT","I/O","","","","EVENTOUT","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","EVENTOUT","TIM1_CH1","","","","","","","","","","","","",""
"16","PC1","I/O","","","","EVENTOUT","TIM1_CH2","","","","","","","","","","","","",""
"17","PC2","I/O","","","","EVENTOUT","TIM1_CH3","","","","","","","","","","","","",""
"18","PC3","I/O","","","","EVENTOUT","TIM1_CH4","","","","TIM1_BKIN2","","","","","","","","",""
"19","PF2","I/O","","","","EVENTOUT","","","","","","","","","","","FMC_A2","","",""
"20","VSSA","Power","","","","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","","","","",""
"23","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G1_IO1","","","","USART2_CTS","COMP1_OUT","","","","","","","EVENTOUT"
"24","PA1","I/O","","","RTC_REFIN","TIM2_CH2","","TSC_G1_IO2","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"25","PA2","I/O","","","","TIM2_CH3","","TSC_G1_IO3","","","","USART2_TX","COMP2_OUT","TIM15_CH1","","","","","","EVENTOUT"
"26","PA3","I/O","","","","TIM2_CH4","","TSC_G1_IO4","","","","USART2_RX","","TIM15_CH2","","","","","","EVENTOUT"
"27","VSS","Power","","","","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","","","","",""
"29","PA4","I/O","","","","","TIM3_CH2","TSC_G2_IO1","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","","","EVENTOUT"
"30","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G2_IO2","","SPI1_SCK","","","","","","","","","","EVENTOUT"
"31","PA6","I/O","","","","TIM16_CH1","TIM3_CH1","TSC_G2_IO3","","SPI1_MISO","TIM1_BKIN","","COMP1_OUT","","","","","","","EVENTOUT"
"32","PA7","I/O","","","","TIM17_CH1","TIM3_CH2","TSC_G2_IO4","","SPI1_MOSI","TIM1_CH1N","","","","","","","","","EVENTOUT"
"33","PC4","I/O","","","","EVENTOUT","TIM1_ETR","","","","","USART1_TX","","","","","","","",""
"34","PC5","I/O","","","","EVENTOUT","TIM15_BKIN","TSC_G3_IO1","","","","USART1_RX","","","","","","","",""
"35","PB0","I/O","","","","","TIM3_CH3","TSC_G3_IO2","","","TIM1_CH2N","","","","","","","","","EVENTOUT"
"36","PB1","I/O","","","","","TIM3_CH4","TSC_G3_IO3","","","TIM1_CH3N","","COMP4_OUT","","","","","","","EVENTOUT"
"37","PB2","I/O","","","","","","TSC_G3_IO4","","","","","","","","","","","","EVENTOUT"
"38","PE7","I/O","","","","EVENTOUT","TIM1_ETR","","","","","","","","","","FMC_D4","","",""
"39","PE8","I/O","","","","EVENTOUT","TIM1_CH1N","","","","","","","","","","FMC_D5","","",""
"40","PE9","I/O","","","","EVENTOUT","TIM1_CH1","","","","","","","","","","FMC_D6","","",""
"41","PE10","I/O","","","","EVENTOUT","TIM1_CH2N","","","","","","","","","","FMC_D7","","",""
"42","PE11","I/O","","","","EVENTOUT","TIM1_CH2","","","SPI4_NSS","","","","","","","FMC_D8","","",""
"43","PE12","I/O","","","","EVENTOUT","TIM1_CH3N","","","SPI4_SCK","","","","","","","FMC_D9","","",""
"44","PE13","I/O","","","","EVENTOUT","TIM1_CH3","","","SPI4_MISO","","","","","","","FMC_D10","","",""
"45","PE14","I/O","","","","EVENTOUT","TIM1_CH4","","","SPI4_MOSI","TIM1_BKIN2","","","","","","FMC_D11","","",""
"46","PE15","I/O","","","","EVENTOUT","TIM1_BKIN","","","","","USART3_RX","","","","","FMC_D12","","",""
"47","PB10","I/O","","","","TIM2_CH3","","TSC_SYNC","","","","USART3_TX","","","","","","","","EVENTOUT"
"48","PB11","I/O","","","","TIM2_CH4","","TSC_G6_IO1","","","","USART3_RX","","","","","","","","EVENTOUT"
"49","VSS","Power","","","","","","","","","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","","","","","","","","","",""
"51","PB12","I/O","","","","","","TSC_G6_IO2","I2C2_SMBA","I2S2_WS/SPI2_NSS","TIM1_BKIN","USART3_CK","","","","","","","","EVENTOUT"
"52","PB13","I/O","","","","","","TSC_G6_IO3","","I2S2_CK/SPI2_SCK","TIM1_CH1N","USART3_CTS","","","","","","","","EVENTOUT"
"53","PB14","I/O","","","","TIM15_CH1","","TSC_G6_IO4","","I2S2_ext_SD/SPI2_MISO","TIM1_CH2N","USART3_DE/USART3_RTS","","","","","","","","EVENTOUT"
"54","PB15","I/O","","","RTC_REFIN","TIM15_CH2","TIM15_CH1N","","TIM1_CH3N","I2S2_SD/SPI2_MOSI","","","","","","","","","","EVENTOUT"
"55","PD8","I/O","","","","EVENTOUT","","","","","","USART3_TX","","","","","FMC_D13","","",""
"56","PD9","I/O","","","","EVENTOUT","","","","","","USART3_RX","","","","","FMC_D14","","",""
"57","PD10","I/O","","","","EVENTOUT","","","","","","USART3_CK","","","","","FMC_D15","","",""
"58","PD11","I/O","","","","EVENTOUT","","","","","","USART3_CTS","","","","","FMC_A16","","",""
