"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VSS","Power","","","","","","","","","","","","","","","","","",""
"A2","VSS","Power","","","","","","","","","","","","","","","","","",""
"A3","PC12","I/O","","","","EVENTOUT","","","TIM8_CH3N","UART5_TX","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","",""
"A4","PD2","I/O","","","","EVENTOUT","TIM3_ETR","","TIM8_BKIN","UART5_RX","","","","","","","","","",""
"A5","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","TIM4_ETR","TSC_G5_IO1","TIM8_CH1N","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","","","","","EVENTOUT"
"A6","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","TIM8_CH3N","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","","TIM17_CH1","","","","","EVENTOUT"
"A7","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A8","PE1","I/O","","","","EVENTOUT","","","TIM17_CH1","","TIM20_CH4","USART1_RX","","","","","","","",""
"A9","VDD","Power","","","","","","","","","","","","","","","","","",""
"A10","VDD","Power","","","","","","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","","","","","","",""
"B2","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","TIM8_CH1","TSC_SYNC","I2C1_SCL","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_RX","","TIM1_BKIN","","","","","","EVENTOUT"
"B3","PD0","I/O","","","","EVENTOUT","","","","","","CAN_RX","","","","","","","",""
"B4","PD3","I/O","","","","EVENTOUT","TIM2_CH1/TIM2_ETR","","","","","USART2_CTS","","","","","","","",""
"B5","PB4","I/O","","","SYS_NJTRST","TIM16_CH1","TIM3_CH1","TSC_G5_IO2","TIM8_CH2N","SPI1_MISO","I2S3_ext_SD/SPI3_MISO","USART2_RX","","","TIM17_BKIN","","","","","EVENTOUT"
"B6","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","TSC_G5_IO3","I2C1_SCL","TIM8_CH1","TIM8_ETR","USART1_TX","","","TIM8_BKIN2","","","","","EVENTOUT"
"B7","PE0","I/O","","","","EVENTOUT","TIM4_ETR","","TIM16_CH1","","TIM20_ETR","USART1_TX","","","","","","","",""
"B8","VDD","Power","","","","","","","","","","","","","","","","","",""
"B9","PE5","I/O","","","SYS_TRACED2","EVENTOUT","TIM3_CH4","TSC_G7_IO4","","SPI4_MISO","TIM20_CH2N","","","","","","","","",""
"B10","VDD","Power","","","","","","","","","","","","","","","","","",""
"C1","PF6","I/O","","","","EVENTOUT","TIM4_CH4","","I2C2_SCL","","","USART3_DE/USART3_RTS","","","","","","","",""
"C2","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","TIM8_CH2","TIM1_BKIN","USART2_TX","","","","","","","","EVENTOUT"
"C3","PD1","I/O","","","","EVENTOUT","","","TIM8_CH4","","TIM8_BKIN2","CAN_TX","","","","","","","",""
"C4","PD4","I/O","","","","EVENTOUT","TIM2_CH2","","","","","USART2_DE/USART2_RTS","","","","","","","",""
"C5","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","TSC_G5_IO4","I2C1_SDA","TIM8_BKIN","","USART1_RX","","","TIM3_CH4","","","","","EVENTOUT"
"C6","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","","I2C1_SDA","","IR_OUT","USART3_TX","COMP2_OUT","CAN_TX","TIM8_CH3","","","","","EVENTOUT"
"C7","VSS","Power","","","","","","","","","","","","","","","","","",""
"C8","PE4","I/O","","","SYS_TRACED1","EVENTOUT","TIM3_CH3","TSC_G7_IO3","","SPI4_NSS","TIM20_CH1N","","","","","","","","",""
"C9","PC13","I/O","","","","EVENTOUT","","","TIM1_CH1N","","","","","","","","","","",""
"C10","PC14-OSC32_IN","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
