"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","PE2","I/O","","","SYS_TRACECK","EVENTOUT","TIM3_CH1","TSC_G7_IO1","","SPI4_SCK","TIM20_CH1","","","","","","FMC_A23","","",""
"2","PE3","I/O","","","SYS_TRACED0","EVENTOUT","TIM3_CH2","TSC_G7_IO2","","SPI4_NSS","TIM20_CH2","","","","","","FMC_A19","","",""
"3","PE4","I/O","","","SYS_TRACED1","EVENTOUT","TIM3_CH3","TSC_G7_IO3","","SPI4_NSS","TIM20_CH1N","","","","","","FMC_A20","","",""
"4","PE5","I/O","","","SYS_TRACED2","EVENTOUT","TIM3_CH4","TSC_G7_IO4","","SPI4_MISO","TIM20_CH2N","","","","","","FMC_A21","","",""
"5","PE6","I/O","","","SYS_TRACED3","EVENTOUT","","","","SPI4_MOSI","TIM20_CH3N","","","","","","FMC_A22","","",""
"6","VBAT","Power","","","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","EVENTOUT","","","TIM1_CH1N","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
"10","PH0","I/O","","","","EVENTOUT","TIM20_CH1","","","","","","","","","","FMC_A0","","",""
"11","PH1","I/O","","","","EVENTOUT","TIM20_CH2","","","","","","","","","","FMC_A1","","",""
"12","PF2","I/O","","","","EVENTOUT","TIM20_CH3","","","","","","","","","","FMC_A2","","",""
"13","PF3","I/O","","","","EVENTOUT","TIM20_CH4","","","","","","","","","","FMC_A3","","",""
"14","PF4","I/O","","","","EVENTOUT","COMP1_OUT","TIM20_CH1N","","","","","","","","","FMC_A4","","",""
"15","PF5","I/O","","","","EVENTOUT","TIM20_CH2N","","","","","","","","","","FMC_A5","","",""
"16","VSS","Power","","","","","","","","","","","","","","","","","",""
"17","VDD","Power","","","","","","","","","","","","","","","","","",""
"18","PF6","I/O","","","","EVENTOUT","TIM4_CH4","","I2C2_SCL","","","USART3_DE/USART3_RTS","","","","","FMC_NIORD","","",""
"19","PF7","I/O","","","","EVENTOUT","TIM20_BKIN","","","","","","","","","","FMC_NREG","","",""
"20","PF8","I/O","","","","EVENTOUT","TIM20_BKIN2","","","","","","","","","","FMC_NIOWR","","",""
"21","PF9","I/O","","","","EVENTOUT","TIM20_BKIN","TIM15_CH1","","SPI2_SCK","","","","","","","FMC_CD","","",""
"22","PF10","I/O","","","","EVENTOUT","TIM20_BKIN2","TIM15_CH2","","SPI2_SCK","","","","","","","FMC_INTR","","",""
"23","PF0-OSC_IN","I/O","","","","EVENTOUT","","","I2C2_SDA","I2S2_WS/SPI2_NSS","TIM1_CH3N","","","","","","","","",""
"24","PF1-OSC_OUT","I/O","","","","EVENTOUT","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","","","","","","","","",""
"25","NRST","Reset","","","","","","","","","","","","","","","","","",""
"26","PC0","I/O","","","","EVENTOUT","TIM1_CH1","","","","","","","","","","","","",""
"27","PC1","I/O","","","","EVENTOUT","TIM1_CH2","","","","","","","","","","","","",""
"28","PC2","I/O","","","","EVENTOUT","TIM1_CH3","COMP7_OUT","","","","","","","","","","","",""
"29","PC3","I/O","","","","EVENTOUT","TIM1_CH4","","","","TIM1_BKIN2","","","","","","","","",""
"30","VSSA","Power","","","","","","","","","","","","","","","","","",""
"31","VREF-","Power","","","","","","","","","","","","","","","","","",""
"32","VREF+","Power","","","","","","","","","","","","","","","","","",""
"33","VDDA","Power","","","","","","","","","","","","","","","","","",""
"34","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G1_IO1","","","","USART2_CTS","COMP1_OUT","TIM8_BKIN","TIM8_ETR","","","","","EVENTOUT"
"35","PA1","I/O","","","RTC_REFIN","TIM2_CH2","","TSC_G1_IO2","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"36","PA2","I/O","","","","TIM2_CH3","","TSC_G1_IO3","","","","USART2_TX","COMP2_OUT","TIM15_CH1","","","","","","EVENTOUT"
"37","PA3","I/O","","","","TIM2_CH4","","TSC_G1_IO4","","","","USART2_RX","","TIM15_CH2","","","","","","EVENTOUT"
"38","VSS","Power","","","","","","","","","","","","","","","","","",""
"39","VDD","Power","","","","","","","","","","","","","","","","","",""
"40","PA4","I/O","","","","","TIM3_CH2","TSC_G2_IO1","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","","","EVENTOUT"
"41","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G2_IO2","","SPI1_SCK","","","","","","","","","","EVENTOUT"
"42","PA6","I/O","","","","TIM16_CH1","TIM3_CH1","TSC_G2_IO3","TIM8_BKIN","SPI1_MISO","TIM1_BKIN","","COMP1_OUT","","","","","","","EVENTOUT"
"43","PA7","I/O","","","","TIM17_CH1","TIM3_CH2","TSC_G2_IO4","TIM8_CH1N","SPI1_MOSI","TIM1_CH1N","","","","","","","","","EVENTOUT"
"44","PC4","I/O","","","","EVENTOUT","TIM1_ETR","","","","","USART1_TX","","","","","","","",""
"45","PC5","I/O","","","","EVENTOUT","TIM15_BKIN","TSC_G3_IO1","","","","USART1_RX","","","","","","","",""
"46","PB0","I/O","","","","","TIM3_CH3","TSC_G3_IO2","TIM8_CH2N","","TIM1_CH2N","","","","","","","","","EVENTOUT"
"47","PB1","I/O","","","","","TIM3_CH4","TSC_G3_IO3","TIM8_CH3N","","TIM1_CH3N","","COMP4_OUT","","","","","","","EVENTOUT"
"48","PB2","I/O","","","","","","TSC_G3_IO4","","","","","","","","","","","","EVENTOUT"
"49","PF11","I/O","","","","EVENTOUT","TIM20_ETR","","","","","","","","","","","","",""
"50","PF12","I/O","","","","EVENTOUT","TIM20_CH1","","","","","","","","","","FMC_A6","","",""
"51","VSS","Power","","","","","","","","","","","","","","","","","",""
"52","VDD","Power","","","","","","","","","","","","","","","","","",""
"53","PF13","I/O","","","","EVENTOUT","TIM20_CH2","","","","","","","","","","FMC_A7","","",""
"54","PF14","I/O","","","","EVENTOUT","TIM20_CH3","","","","","","","","","","FMC_A8","","",""
"55","PF15","I/O","","","","EVENTOUT","TIM20_CH4","","","","","","","","","","FMC_A9","","",""
"56","PG0","I/O","","","","EVENTOUT","TIM20_CH1N","","","","","","","","","","FMC_A10","","",""
"57","PG1","I/O","","","","EVENTOUT","TIM20_CH2N","","","","","","","","","","FMC_A11","","",""
"58","PE7","I/O","","","","EVENTOUT","TIM1_ETR","","","","","","","","","","FMC_D4","","",""
"59","PE8","I/O","","","","EVENTOUT","TIM1_CH1N","","","","","","","","","","FMC_D5","","",""
"60","PE9","I/O","","","","EVENTOUT","TIM1_CH1","","","","","","","","","","FMC_D6","","",""
"61","VSS","Power","","","","","","","","","","","","","","","","","",""
"62","VDD","Power","","","","","","","","","","","","","","","","","",""
"63","PE10","I/O","","","","EVENTOUT","TIM1_CH2N","","","","","","","","","","FMC_D7","","",""
"64","PE11","I/O","","","","EVENTOUT","TIM1_CH2","","","SPI4_NSS","","","","","","","FMC_D8","","",""
"65","PE12","I/O","","","","EVENTOUT","TIM1_CH3N","","","SPI4_SCK","","","","","","","FMC_D9","","",""
"66","PE13","I/O","","","","EVENTOUT","TIM1_CH3","","","SPI4_MISO","","","","","","","FMC_D10","","",""
"67","PE14","I/O","","","","EVENTOUT","TIM1_CH4","","","SPI4_MOSI","TIM1_BKIN2","","","","","","FMC_D11","","",""
"68","PE15","I/O","","","","EVENTOUT","TIM1_BKIN","","","","","USART3_RX","","","","","FMC_D12","","",""
"69","PB10","I/O","","","","TIM2_CH3","","TSC_SYNC","","","","USART3_TX","","","","","","","","EVENTOUT"
"70","PB11","I/O","","","","TIM2_CH4","","TSC_G6_IO1","","","","USART3_RX","","","","","","","","EVENTOUT"
"71","VSS","Power","","","","","","","","","","","","","","","","","",""
"72","VDD","Power","","","","","","","","","","","","","","","","","",""
"73","PB12","I/O","","","","","","TSC_G6_IO2","I2C2_SMBA","I2S2_WS/SPI2_NSS","TIM1_BKIN","USART3_CK","","","","","","","","EVENTOUT"
"74","PB13","I/O","","","","","","TSC_G6_IO3","","I2S2_CK/SPI2_SCK","TIM1_CH1N","USART3_CTS","","","","","","","","EVENTOUT"
"75","PB14","I/O","","","","TIM15_CH1","","TSC_G6_IO4","","I2S2_ext_SD/SPI2_MISO","TIM1_CH2N","USART3_DE/USART3_RTS","","","","","","","","EVENTOUT"
"76","PB15","I/O","","","RTC_REFIN","TIM15_CH2","TIM15_CH1N","","TIM1_CH3N","I2S2_SD/SPI2_MOSI","","","","","","","","","","EVENTOUT"
"77","PD8","I/O","","","","EVENTOUT","","","","","","USART3_TX","","","","","FMC_D13","","",""
"78","PD9","I/O","","","","EVENTOUT","","","","","","USART3_RX","","","","","FMC_D14","","",""
"79","PD10","I/O","","","","EVENTOUT","","","","","","USART3_CK","","","","","FMC_D15","","",""
"80","PD11","I/O","","","","EVENTOUT","","","","","","USART3_CTS","","","","","FMC_A16","","",""
"81","PD12","I/O","","","","EVENTOUT","TIM4_CH1","TSC_G8_IO1","","","","USART3_DE/USART3_RTS","","","","","FMC_A17","","",""
"82","PD13","I/O","","","","EVENTOUT","TIM4_CH2","TSC_G8_IO2","","","","","","","","","FMC_A18","","",""
"83","VSS","Power","","","","","","","","","","","","","","","","","",""
"84","VDD","Power","","","","","","","","","","","","","","","","","",""
"85","PD14","I/O","","","","EVENTOUT","TIM4_CH3","TSC_G8_IO3","","","","","","","","","FMC_D0","","",""
"86","PD15","I/O","","","","EVENTOUT","TIM4_CH4","TSC_G8_IO4","","","SPI2_NSS","","","","","","FMC_D1","","",""
"87","PG2","I/O","","","","EVENTOUT","TIM20_CH3N","","","","","","","","","","FMC_A12","","",""
"88","PG3","I/O","","","","EVENTOUT","TIM20_BKIN","","","","","","","","","","FMC_A13","","",""
"89","PG4","I/O","","","","EVENTOUT","TIM20_BKIN2","","","","","","","","","","FMC_A14","","",""
"90","PG5","I/O","","","","EVENTOUT","TIM20_ETR","","","","","","","","","","FMC_A15","","",""
"91","PG6","I/O","","","","EVENTOUT","","","","","","","","","","","FMC_INT2","","",""
"92","PG7","I/O","","","","EVENTOUT","","","","","","","","","","","FMC_INT3","","",""
"93","PG8","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
"94","VSS","Power","","","","","","","","","","","","","","","","","",""
"95","VDD","Power","","","","","","","","","","","","","","","","","",""
"96","PC6","I/O","","","","EVENTOUT","TIM3_CH1","","TIM8_CH1","","I2S2_MCK","COMP6_OUT","","","","","","","",""
"97","PC7","I/O","","","","EVENTOUT","TIM3_CH2","","TIM8_CH2","","I2S3_MCK","COMP5_OUT","","","","","","","",""
"98","PC8","I/O","","","","EVENTOUT","TIM3_CH3","","TIM8_CH3","","","COMP3_OUT","","","","","","","",""
"99","PC9","I/O","","","","EVENTOUT","TIM3_CH4","I2C3_SDA","TIM8_CH4","I2S_CKIN","TIM8_BKIN2","","","","","","","","",""
"100","PA8","I/O","","","RCC_MCO","","","I2C3_SCL","I2C2_SMBA","I2S2_MCK","TIM1_CH1","USART1_CK","COMP3_OUT","","TIM4_ETR","","","","","EVENTOUT"
"101","PA9","I/O","","","","","I2C3_SMBA","TSC_G4_IO1","I2C2_SCL","I2S3_MCK","TIM1_CH2","USART1_TX","COMP5_OUT","TIM15_BKIN","TIM2_CH3","","","","","EVENTOUT"
"102","PA10","I/O","","","","TIM17_BKIN","","TSC_G4_IO2","I2C2_SDA","I2S2_ext_SD/SPI2_MISO","TIM1_CH3","USART1_RX","COMP6_OUT","","TIM2_CH4","TIM8_BKIN","","","","EVENTOUT"
"103","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS","COMP1_OUT","CAN_RX","TIM4_CH1","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
"104","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","CAN_TX","TIM4_CH2","TIM1_ETR","","","","EVENTOUT"
"105","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","TSC_G4_IO3","","IR_OUT","","USART3_CTS","","","TIM4_CH3","","","","","EVENTOUT"
"106","PH2","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
"107","VSS","Power","","","","","","","","","","","","","","","","","",""
"108","VDD","Power","","","","","","","","","","","","","","","","","",""
"109","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","TIM8_CH2","TIM1_BKIN","USART2_TX","","","","","","","","EVENTOUT"
"110","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","TIM8_CH1","TSC_SYNC","I2C1_SCL","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_RX","","TIM1_BKIN","","","","","","EVENTOUT"
"111","PC10","I/O","","","","EVENTOUT","","","TIM8_CH1N","UART4_TX","I2S3_CK/SPI3_SCK","USART3_TX","","","","","","","",""
"112","PC11","I/O","","","","EVENTOUT","","","TIM8_CH2N","UART4_RX","I2S3_ext_SD/SPI3_MISO","USART3_RX","","","","","","","",""
"113","PC12","I/O","","","","EVENTOUT","","","TIM8_CH3N","UART5_TX","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","",""
"114","PD0","I/O","","","","EVENTOUT","","","","","","CAN_RX","","","","","FMC_D2","","",""
"115","PD1","I/O","","","","EVENTOUT","","","TIM8_CH4","","TIM8_BKIN2","CAN_TX","","","","","FMC_D3","","",""
"116","PD2","I/O","","","","EVENTOUT","TIM3_ETR","","TIM8_BKIN","UART5_RX","","","","","","","","","",""
"117","PD3","I/O","","","","EVENTOUT","TIM2_CH1/TIM2_ETR","","","","","USART2_CTS","","","","","FMC_CLK","","",""
"118","PD4","I/O","","","","EVENTOUT","TIM2_CH2","","","","","USART2_DE/USART2_RTS","","","","","FMC_NOE","","",""
"119","PD5","I/O","","","","EVENTOUT","","","","","","USART2_TX","","","","","FMC_NWE","","",""
"120","VSS","Power","","","","","","","","","","","","","","","","","",""
"121","VDD","Power","","","","","","","","","","","","","","","","","",""
"122","PD6","I/O","","","","EVENTOUT","TIM2_CH4","","","","","USART2_RX","","","","","FMC_NWAIT","","",""
"123","PD7","I/O","","","","EVENTOUT","TIM2_CH3","","","","","USART2_CK","","","","","FMC_NCE2/FMC_NE1","","",""
"124","PG9","I/O","","","","EVENTOUT","","","","","","","","","","","FMC_NCE3/FMC_NE2","","",""
"125","PG10","I/O","","","","EVENTOUT","","","","","","","","","","","FMC_NCE4_1/FMC_NE3","","",""
"126","PG11","I/O","","","","EVENTOUT","","","","","","","","","","","FMC_NCE4_2","","",""
"127","PG12","I/O","","","","EVENTOUT","","","","","","","","","","","FMC_NE4","","",""
