"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","","TIM1_BKIN","USART2_TX","","","","","","","","EVENTOUT"
"A2","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","TSC_SYNC","I2C1_SCL","SPI1_NSS","","USART2_RX","","TIM1_BKIN","","","","HRTIM1_FLT2","","EVENTOUT"
"A3","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","","TSC_G5_IO1","","SPI1_SCK","","USART2_TX","","","TIM3_ETR","","HRTIM1_SCOUT","HRTIM1_EEV9","","EVENTOUT"
"A4","PB6","I/O","","","","TIM16_CH1N","","TSC_G5_IO3","I2C1_SCL","","","USART1_TX","","","","","HRTIM1_SCIN","HRTIM1_EEV4","","EVENTOUT"
"A5","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A6","PB9","I/O","","","","TIM17_CH1","","","I2C1_SDA","","IR_OUT","USART3_TX","COMP2_OUT","CAN_TX","","","","HRTIM1_EEV5","","EVENTOUT"
"A7","VDD","Power","","","","","","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","","","","","","",""
"B2","VDD","Power","","","","","","","","","","","","","","","","","",""
"B3","PB4","I/O","","","SYS_NJTRST","TIM16_CH1","TIM3_CH1","TSC_G5_IO2","","SPI1_MISO","","USART2_RX","","","TIM17_BKIN","","","HRTIM1_EEV7","","EVENTOUT"
"B4","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","","USART2_CK","","","TIM17_CH1","","","HRTIM1_EEV6","","EVENTOUT"
"B5","PB7","I/O","","","","TIM17_CH1N","","TSC_G5_IO4","I2C1_SDA","","","USART1_RX","","","TIM3_CH4","","","HRTIM1_EEV3","","EVENTOUT"
"B6","PB8","I/O","","","","TIM16_CH1","","TSC_SYNC","I2C1_SCL","","","USART3_RX","","CAN_RX","","","TIM1_BKIN","HRTIM1_EEV8","","EVENTOUT"
"B7","VSS","Power","","","","","","","","","","","","","","","","","",""
"C1","PA11","I/O","","","","","","","","","TIM1_CH1N","USART1_CTS","","CAN_RX","","TIM1_CH4","TIM1_BKIN2","HRTIM1_CHB2","","EVENTOUT"
"C2","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","TSC_G4_IO3","","IR_OUT","","USART3_CTS","","","","","","","","EVENTOUT"
"C3","PA12","I/O","","","","TIM16_CH1","","","","","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","CAN_TX","","TIM1_ETR","","HRTIM1_FLT1","","EVENTOUT"
"C4","PA10","I/O","","","","TIM17_BKIN","","TSC_G4_IO2","","","TIM1_CH3","USART1_RX","COMP6_OUT","","TIM2_CH4","","","HRTIM1_CHB1","","EVENTOUT"
"C5","PC3","I/O","","","","EVENTOUT","TIM1_CH4","","","","TIM1_BKIN2","","","","","","","","",""
"C6","PF1 / OSC_OUT","I/O","","","","","","","","","","","","","","","","","",""
"C7","PF0 / OSC_IN","I/O","","","","","","","","","TIM1_CH3N","","","","","","","","",""
"D1","PA8","I/O","","","RCC_MCO","","","","","","TIM1_CH1","USART1_CK","","","","","","HRTIM1_CHA1","","EVENTOUT"
"D2","PA9","I/O","","","","","","TSC_G4_IO1","","","TIM1_CH2","USART1_TX","","TIM15_BKIN","TIM2_CH3","","","HRTIM1_CHA2","","EVENTOUT"
"D3","PB15","I/O","","","","TIM15_CH2","TIM15_CH1N","","TIM1_CH3N","","","","","","","","","HRTIM1_CHD2","","EVENTOUT"
"D4","PC7","I/O","","","","EVENTOUT","TIM3_CH2","HRTIM1_FLT5","","","","","","","","","","","",""
"D5","PA2","I/O","","","","TIM2_CH3","","TSC_G1_IO3","","","","USART2_TX","COMP2_OUT","TIM15_CH1","","","","","","EVENTOUT"
"D6","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G1_IO1","","","","USART2_CTS","","","","","","","","EVENTOUT"
"D7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"E1","PB14","I/O","","","","TIM15_CH1","","TSC_G6_IO4","","","TIM1_CH2N","USART3_DE/USART3_RTS","","","","","","HRTIM1_CHD1","","EVENTOUT"
"E2","PB13","I/O","","","","","","TSC_G6_IO3","","","TIM1_CH1N","USART3_CTS","","","","","","HRTIM1_CHC2","","EVENTOUT"
"E3","PC5","I/O","","","","EVENTOUT","TIM15_BKIN","TSC_G3_IO1","","","","USART1_RX","","","","","","","",""
"E4","PA6","I/O","","","","TIM16_CH1","TIM3_CH1","TSC_G2_IO3","","SPI1_MISO","TIM1_BKIN","","","","","","","OPAMP2_DIG","","EVENTOUT"
"E5","PA3","I/O","","","","TIM2_CH4","","TSC_G1_IO4","","","","USART2_RX","","TIM15_CH2","","","","","","EVENTOUT"
"E6","VDDA","Power","","","","","","","","","","","","","","","","","",""
"E7","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"F1","PB12","I/O","","","","","","TSC_G6_IO2","","","TIM1_BKIN","USART3_CK","","","","","","HRTIM1_CHC1","","EVENTOUT"
"F2","PB2","I/O","","","","","","TSC_G3_IO4","","","","","","","","","","HRTIM1_SCIN","","EVENTOUT"
