"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","TIM1_CH1N","","","","","","","","","","",""
"3","PC14 / OSC32_IN","I/O","","","","","","","","","","","","","","","","","",""
"4","PC15 / OSC32_OUT","I/O","","","","","","","","","","","","","","","","","",""
"5","PF0 / OSC_IN","I/O","","","","","","","","","TIM1_CH3N","","","","","","","","",""
"6","PF1 / OSC_OUT","I/O","","","","","","","","","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","EVENTOUT","TIM1_CH1","","","","","","","","","","","","",""
"9","PC1","I/O","","","","EVENTOUT","TIM1_CH2","","","","","","","","","","","","",""
"10","PC2","I/O","","","","EVENTOUT","TIM1_CH3","","","","","","","","","","","","",""
"11","PC3","I/O","","","","EVENTOUT","TIM1_CH4","","","","TIM1_BKIN2","","","","","","","","",""
"12","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"13","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"14","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G1_IO1","","","","USART2_CTS","","","","","","","","EVENTOUT"
"15","PA1","I/O","","","","TIM2_CH2","","TSC_G1_IO2","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"16","PA2","I/O","","","","TIM2_CH3","","TSC_G1_IO3","","","","USART2_TX","COMP2_OUT","TIM15_CH1","","","","","","EVENTOUT"
"17","PA3","I/O","","","","TIM2_CH4","","TSC_G1_IO4","","","","USART2_RX","","TIM15_CH2","","","","","","EVENTOUT"
"18","VSS","Power","","","","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","TIM3_CH2","TSC_G2_IO1","","SPI1_NSS","","USART2_CK","","","","","","","","EVENTOUT"
"21","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G2_IO2","","SPI1_SCK","","","","","","","","","","EVENTOUT"
"22","PA6","I/O","","","","TIM16_CH1","TIM3_CH1","TSC_G2_IO3","","SPI1_MISO","TIM1_BKIN","","","","","","","OPAMP2_DIG","","EVENTOUT"
"23","PA7","I/O","","","","TIM17_CH1","TIM3_CH2","TSC_G2_IO4","","SPI1_MOSI","TIM1_CH1N","","","","","","","","","EVENTOUT"
"24","PC4","I/O","","","","EVENTOUT","TIM1_ETR","","","","","USART1_TX","","","","","","","",""
"25","PC5","I/O","","","","EVENTOUT","TIM15_BKIN","TSC_G3_IO1","","","","USART1_RX","","","","","","","",""
"26","PB0","I/O","","","","","TIM3_CH3","TSC_G3_IO2","","","TIM1_CH2N","","","","","","","","","EVENTOUT"
"27","PB1","I/O","","","","","TIM3_CH4","TSC_G3_IO3","","","TIM1_CH3N","","COMP4_OUT","","","","","HRTIM1_SCOUT","","EVENTOUT"
"28","PB2","I/O","","","","","","TSC_G3_IO4","","","","","","","","","","HRTIM1_SCIN","","EVENTOUT"
"29","PB10","I/O","","","","TIM2_CH3","","TSC_SYNC","","","","USART3_TX","","","","","","HRTIM1_FLT3","","EVENTOUT"
"30","PB11","I/O","","","","TIM2_CH4","","TSC_G6_IO1","","","","USART3_RX","","","","","","HRTIM1_FLT4","","EVENTOUT"
"31","VSS","Power","","","","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","","","","",""
"33","PB12","I/O","","","","","","TSC_G6_IO2","","","TIM1_BKIN","USART3_CK","","","","","","HRTIM1_CHC1","","EVENTOUT"
"34","PB13","I/O","","","","","","TSC_G6_IO3","","","TIM1_CH1N","USART3_CTS","","","","","","HRTIM1_CHC2","","EVENTOUT"
"35","PB14","I/O","","","","TIM15_CH1","","TSC_G6_IO4","","","TIM1_CH2N","USART3_DE/USART3_RTS","","","","","","HRTIM1_CHD1","","EVENTOUT"
"36","PB15","I/O","","","","TIM15_CH2","TIM15_CH1N","","TIM1_CH3N","","","","","","","","","HRTIM1_CHD2","","EVENTOUT"
"37","PC6","I/O","","","","EVENTOUT","TIM3_CH1","HRTIM1_EEV10","","","","COMP6_OUT","","","","","","","",""
"38","PC7","I/O","","","","EVENTOUT","TIM3_CH2","HRTIM1_FLT5","","","","","","","","","","","",""
"39","PC8","I/O","","","","EVENTOUT","TIM3_CH3","HRTIM1_CHE1","","","","","","","","","","","",""
"40","PC9","I/O","","","","EVENTOUT","TIM3_CH4","HRTIM1_CHE2","","","","","","","","","","","",""
"41","PA8","I/O","","","RCC_MCO","","","","","","TIM1_CH1","USART1_CK","","","","","","HRTIM1_CHA1","","EVENTOUT"
"42","PA9","I/O","","","","","","TSC_G4_IO1","","","TIM1_CH2","USART1_TX","","TIM15_BKIN","TIM2_CH3","","","HRTIM1_CHA2","","EVENTOUT"
"43","PA10","I/O","","","","TIM17_BKIN","","TSC_G4_IO2","","","TIM1_CH3","USART1_RX","COMP6_OUT","","TIM2_CH4","","","HRTIM1_CHB1","","EVENTOUT"
"44","PA11","I/O","","","","","","","","","TIM1_CH1N","USART1_CTS","","CAN_RX","","TIM1_CH4","TIM1_BKIN2","HRTIM1_CHB2","","EVENTOUT"
"45","PA12","I/O","","","","TIM16_CH1","","","","","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","CAN_TX","","TIM1_ETR","","HRTIM1_FLT1","","EVENTOUT"
"46","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","TSC_G4_IO3","","IR_OUT","","USART3_CTS","","","","","","","","EVENTOUT"
"47","VSS","Power","","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","","",""
"49","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","","TIM1_BKIN","USART2_TX","","","","","","","","EVENTOUT"
"50","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","TSC_SYNC","I2C1_SCL","SPI1_NSS","","USART2_RX","","TIM1_BKIN","","","","HRTIM1_FLT2","","EVENTOUT"
"51","PC10","I/O","","","","EVENTOUT","","","","","","USART3_TX","","","","","","","",""
"52","PC11","I/O","","","","EVENTOUT","","HRTIM1_EEV2","","","","USART3_RX","","","","","","","",""
