"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","","","","","","",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","","","","","","",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","","","","","","",""
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","","","","","","",""
"5","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","SPI4_MOSI","","","","","","",""
"6","VBAT","Power","","","","","","","","","","","","","","",""
"7","PC13-ANTI_TAMP","I/O","","","","","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","",""
"10","VSS","Power","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","",""
"12","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","",""
"13","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","","","","","","",""
"16","PC1","I/O","","","","","","","","","","","","","","",""
"17","PC2","I/O","","","","","","","","SPI2_MISO","I2S2_ext_SD","","","","","",""
"18","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","",""
"20","VSSA/VREF-","Power","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","",""
"23","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","","","","","USART2_CTS","","","","",""
"24","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","","","","",""
"25","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","",""
"26","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","","",""
"27","VSS","Power","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","",""
"29","PA4","I/O","","","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","",""
"30","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","","","SPI1_SCK","","","","","","",""
"31","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","","","SPI1_MISO","","","","","","",""
