"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"A2","VBAT","Power","","","","","","","","","","","","","","","","","",""
"A3","PB9","I/O","","","","","","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","I2C2_SDA","","","","","","EVENTOUT"
"A4","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A5","PB3","I/O","","","SYS_JTDO-SWO","","","","FMPI2C1_SDA","I2S1_CK/SPI1_SCK","","USART1_RX","","I2C2_SDA","","","","","","EVENTOUT"
"A6","PC12","I/O","","","SYS_TRACED2","","","TIM11_CH1","","","","","","","","","","","","EVENTOUT"
"A7","PA15","I/O","","","SYS_JTDI","","","","","I2S1_WS/SPI1_NSS","","USART1_TX","","","","","","","","EVENTOUT"
"A8","PA12","I/O","","","","TIM1_ETR","","","","","SPI5_MISO","USART1_RTS","USART6_RX","","","","","","","EVENTOUT"
"B1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B2","PC13-ANTI_TAMP","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B3","PB8","I/O","","","","LPTIM1_OUT","","","I2C1_SCL","","I2S5_SD/SPI5_MOSI","","","","","","","","","EVENTOUT"
"B4","PB7","I/O","","","","LPTIM1_IN2","","","I2C1_SDA","","","USART1_RX","","","","","","","","EVENTOUT"
"B5","PB11","I/O","","","SYS_TRACED3","","TIM5_CH4","","I2C2_SDA","I2S_CKIN","","","","","","","","","","EVENTOUT"
"B6","PC11","I/O","","","SYS_TRACED1","","TIM5_CH3","","","","","","","","","","","","","EVENTOUT"
"B7","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"B8","PA9","I/O","","","","TIM1_CH2","","","","","","USART1_TX","","","","","","","","EVENTOUT"
"C1","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C2","VSS","Power","","","","","","","","","","","","","","","","","",""
"C3","PDR_ON","Power","","","","","","","","","","","","","","","","","",""
"C4","PB6","I/O","","","","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","","","","","","","EVENTOUT"
"C5","PB4","I/O","","","SYS_JTRST","","","","","SPI1_MISO","","","","","","","","","","EVENTOUT"
"C6","PC10","I/O","","","SYS_TRACED0","","TIM5_CH2","","","","","","","","","","","","","EVENTOUT"
"C7","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"C8","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","FMPI2C1_SCL","","","USART1_CK","","","","","","","","EVENTOUT"
"D1","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D2","VDD","Power","","","","","","","","","","","","","","","","","",""
"D3","PC0","I/O","","","","LPTIM1_IN1","","","","","","","","","","","","","","EVENTOUT"
"D4","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","","","","","","","","","","EVENTOUT"
"D5","VSS","Power","","","","","","","","","","","","","","","","","",""
"D6","VSS","Power","","","","","","","","","","","","","","","","","",""
"D7","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","USART6_TX","","","","","","","EVENTOUT"
"D8","PC9","I/O","","","RCC_MCO_2","","","","FMPI2C1_SDA","I2S_CKIN","","","","","","","","","","EVENTOUT"
"E1","NRST","Reset","","","","","","","","","","","","","","","","","",""
"E2","PC1","I/O","","","","LPTIM1_OUT","","","","","","","","","","","","","","EVENTOUT"
"E3","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","","","","","","","","","","EVENTOUT"
"E4","VDD","Power","","","","","","","","","","","","","","","","","",""
"E5","VDD","Power","","","","","","","","","","","","","","","","","",""
"E6","PA10","I/O","","","","TIM1_CH3","","","","","I2S5_SD/SPI5_MOSI","USART1_RX","","","","","","","","EVENTOUT"
"E7","PC7","I/O","","","","","","","FMPI2C1_SDA","I2S2_CK/SPI2_SCK","I2S1_MCK","","USART6_RX","","","","","","","EVENTOUT"
"E8","PC8","I/O","","","","","","","","","","","USART6_CK","","","","","","","EVENTOUT"
"F1","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"F2","PC3","I/O","","","","LPTIM1_ETR","","","","I2S2_SD/SPI2_MOSI","","","","","","","","","","EVENTOUT"
"F3","PA2","I/O","","","","","TIM5_CH3","TIM9_CH1","","I2S_CKIN","","USART2_TX","","","","","","","","EVENTOUT"
"F4","PA5","I/O","","","","","","","","I2S1_CK/SPI1_SCK","","","","","","","","","","EVENTOUT"
"F5","PB0","I/O","","","","TIM1_CH2N","","","","","I2S5_CK/SPI5_SCK","","","","","","","","","EVENTOUT"
"F6","PC6","I/O","","","SYS_TRACECLK","","","","FMPI2C1_SCL","I2S2_MCK","","","USART6_TX","","","","","","","EVENTOUT"
"F7","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","FMPI2C1_SCL","I2S2_SD/SPI2_MOSI","","","","","","","","","","EVENTOUT"
"F8","PB14","I/O","","","","TIM1_CH2N","","","FMPI2C1_SDA","SPI2_MISO","","","","","","","","","","EVENTOUT"
"G1","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"G2","PA0-WKUP","I/O","","","","","TIM5_CH1","","","","","USART2_CTS","","","","","","","","EVENTOUT"
"G3","PA3","I/O","","","","","TIM5_CH4","TIM9_CH2","","I2S2_MCK","","USART2_RX","","","","","","","","EVENTOUT"
"G4","PA6","I/O","","","","TIM1_BKIN","","","","SPI1_MISO","I2S2_MCK","","","","","","","","","EVENTOUT"
"G5","PC4","I/O","","","","","","TIM9_CH1","","","","","","","","","","","","EVENTOUT"
"G6","PB1","I/O","","","","TIM1_CH3N","","","","","I2S5_WS/SPI5_NSS","","","","","","","","","EVENTOUT"
"G7","PB10","I/O","","","","","","","I2C2_SCL","I2S2_CK/SPI2_SCK","I2S1_MCK","","","FMPI2C1_SCL","","","","","","EVENTOUT"
"G8","PB13","I/O","","","","TIM1_CH1N","","","FMPI2C1_SMBA","I2S2_CK/SPI2_SCK","","","","","","","","","","EVENTOUT"
"H1","VDDA","Power","","","","","","","","","","","","","","","","","",""
"H2","PA1","I/O","","","","","TIM5_CH2","","","","","USART2_RTS","","","","","","","","EVENTOUT"
"H3","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","","USART2_CK","","","","","","","","EVENTOUT"
"H4","PA7","I/O","","","","TIM1_CH1N","","","","I2S1_SD/SPI1_MOSI","","","","","","","","","","EVENTOUT"
"H5","PC5","I/O","","","","","","TIM9_CH2","FMPI2C1_SMBA","","","","","","","","","","","EVENTOUT"
"H6","PB2","I/O","","","","LPTIM1_OUT","","","","","","","","","","","","","","EVENTOUT"
"H7","VCAP1","Power","","","","","","","","","","","","","","","","","",""
"H8","PB12","I/O","","","","TIM1_BKIN","TIM5_CH1","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","","","","","","","","","EVENTOUT"
