"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"A1","PE3","I/O","","","SYS_TRACED0","","","","","","","","","","","",""
"A2","PE1","I/O","","","","","","","","","","","","","","",""
"A3","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","I2S5_SD/SPI5_MOSI","","","I2C3_SDA","","","SDIO_D4"
"A4","BOOT0","Boot","","","","","","","","","","","","","","",""
"A5","PD7","I/O","","","","","","","","","","USART2_CK","","","","",""
"A6","PD5","I/O","","","","","","","","","","USART2_TX","","","","",""
"A7","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","I2C3_SDA","","","SDIO_D0"
"A8","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","USART1_RX","","I2C2_SDA","","",""
"A9","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART1_TX","","","","",""
"A10","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","",""
"A11","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","",""
"A12","PA12","I/O","","","","TIM1_ETR","","","","","SPI5_MISO","USART1_RTS","USART6_RX","","USB_OTG_FS_DP","",""
"B1","PE4","I/O","","","SYS_TRACED1","","","","","I2S4_WS/SPI4_NSS","I2S5_WS/SPI5_NSS","","","","","",""
"B2","PE2","I/O","","","SYS_TRACECLK","","","","","I2S4_CK/SPI4_SCK","I2S5_CK/SPI5_SCK","","","","","",""
"B3","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","I2C2_SDA","","","SDIO_D5"
"B4","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","SDIO_D0"
"B5","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","","","",""
"B6","PD6","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","","USART2_RX","","","","",""
"B7","PD4","I/O","","","","","","","","","","USART2_RTS","","","","",""
"B8","PD3","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","USART2_CTS","","","","",""
"B9","PD1","I/O","","","","","","","","","","","","","","",""
"B10","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","","","","","","SDIO_CK"
"B11","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","","","","","","SDIO_D2"
"B12","PA11","I/O","","","","TIM1_CH4","","","","","SPI4_MISO","USART1_CTS","USART6_TX","","USB_OTG_FS_DM","",""
"C1","PC13-ANTI_TAMP","I/O","","","","","","","","","","","","","","",""
"C2","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SPI5_MISO","","","","","",""
"C3","PE0","I/O","","","","","TIM4_ETR","","","","","","","","","",""
"C4","VDD","Power","","","","","","","","","","","","","","",""
"C5","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","","","","SDIO_D3"
"C8","PD2","I/O","","","","","TIM3_ETR","","","","","","","","","","SDIO_CMD"
"C9","PD0","I/O","","","","","","","","","","","","","","",""
"C10","PC11","I/O","","","","","","","","I2S3_ext_SD","SPI3_MISO","","","","","","SDIO_D3"
"C11","VCAP2","Power","","","","","","","","","","","","","","",""
"C12","PA10","I/O","","","","TIM1_CH3","","","","","I2S5_SD/SPI5_MOSI","USART1_RX","","","USB_OTG_FS_ID","",""
"D1","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","",""
"D2","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","I2S4_SD/SPI4_MOSI","I2S5_SD/SPI5_MOSI","","","","","",""
"D3","VSS","Power","","","","","","","","","","","","","","",""
"D10","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","USB_OTG_FS_VBUS","","SDIO_D2"
"D11","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","SDIO_D1"
"D12","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1"
"E1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","",""
"E2","VBAT","Power","","","","","","","","","","","","","","",""
"E3","BYPASS_REG","Boot","","","","","","","","","","","","","","",""
"E10","PC8","I/O","","","","","TIM3_CH3","","","","","","USART6_CK","","","","SDIO_D0"
"E11","PC7","I/O","","","","","TIM3_CH2","","","I2S2_CK/SPI2_SCK","I2S3_MCK","","USART6_RX","","","","SDIO_D7"
"E12","PC6","I/O","","","","","TIM3_CH1","","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6"
"F1","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","",""
"F2","VSS","Power","","","","","","","","","","","","","","",""
"F11","VSS","Power","","","","","","","","","","","","","","",""
"F12","VSS","Power","","","","","","","","","","","","","","",""
"G1","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","",""
"G2","VDD","Power","","","","","","","","","","","","","","",""
"G11","VDD","Power","","","","","","","","","","","","","","",""
"G12","VDD","Power","","","","","","","","","","","","","","",""
"H1","PC0","I/O","","","","","","","","","","","","","","",""
"H2","NRST","Reset","","","","","","","","","","","","","","",""
"H3","PDR_ON","Power","","","","","","","","","","","","","","",""
"H10","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","",""
"H11","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","",""
"H12","PD13","I/O","","","","","TIM4_CH2","","","","","","","","","",""
"J1","VSSA","Power","","","","","","","","","","","","","","",""
"J2","PC1","I/O","","","","","","","","","","","","","","",""
"J3","PC2","I/O","","","","","","","","SPI2_MISO","I2S2_ext_SD","","","","","",""
"J10","PD12","I/O","","","","","TIM4_CH1","","","","","","","","","",""
"J11","PD11","I/O","","","","","","","","","","","","","","",""
"J12","PD10","I/O","","","","","","","","","","","","","","",""
"K1","VREF-","Power","","","","","","","","","","","","","","",""
"K2","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","","",""
"K3","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","I2S_CKIN","","USART2_TX","","","","",""
"K4","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","","","I2S1_CK/SPI1_SCK","","","","","","",""
"K5","PC4","I/O","","","","","","","","","","","","","","",""
"K8","PD9","I/O","","","","","","","","","","","","","","",""
"K9","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","I2S_CKIN","","","","","","",""
"K10","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","I2S2_SD/SPI2_MOSI","","","","","","","SDIO_CK"
"K11","PB14","I/O","","","","TIM1_CH2N","","","","SPI2_MISO","I2S2_ext_SD","","","","","","SDIO_D6"
"K12","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","I2S4_CK/SPI4_SCK","","","","","",""
"L1","VREF+","Power","","","","","","","","","","","","","","",""
"L2","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","","","","","USART2_CTS","","","","",""
"L3","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","I2S2_MCK","","USART2_RX","","","","",""
"L4","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","","","SPI1_MISO","I2S2_MCK","","","","","","SDIO_CMD"
"L5","PC5","I/O","","","","","","","","","","","","","","",""
"L6","PB2","I/O","","","","","","","","","","","","","","",""
"L7","PE8","I/O","","","","TIM1_CH1N","","","","","","","","","","",""
"L8","PE10","I/O","","","","TIM1_CH2N","","","","","","","","","","",""
"L9","PE12","I/O","","","","TIM1_CH3N","","","","I2S4_CK/SPI4_SCK","I2S5_CK/SPI5_SCK","","","","","",""
"L10","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","I2S3_MCK","","","","","","SDIO_D7"
"L11","VCAP1","Power","","","","","","","","","","","","","","",""
"L12","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","I2S4_WS/SPI4_NSS","I2S3_CK/SPI3_SCK","","","","",""
"M1","VDDA","Power","","","","","","","","","","","","","","",""
"M2","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","I2S4_SD/SPI4_MOSI","","USART2_RTS","","","","",""
"M3","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","",""
"M4","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","","","I2S1_SD/SPI1_MOSI","","","","","","",""
"M5","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","","","","I2S5_CK/SPI5_SCK","","","","","",""
"M6","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","","","","I2S5_WS/SPI5_NSS","","","","","",""
"M7","PE7","I/O","","","","TIM1_ETR","","","","","","","","","","",""
"M8","PE9","I/O","","","","TIM1_CH1","","","","","","","","","","",""
"M9","PE11","I/O","","","","TIM1_CH2","","","","I2S4_WS/SPI4_NSS","I2S5_WS/SPI5_NSS","","","","","",""
"M10","PE13","I/O","","","","TIM1_CH3","","","","SPI4_MISO","SPI5_MISO","","","","","",""
"M11","PE14","I/O","","","","TIM1_CH4","","","","I2S4_SD/SPI4_MOSI","I2S5_SD/SPI5_MOSI","","","","","",""
"M12","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","",""
