"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VDD","Power","","","","","","","","","","","","","","","","","",""
"A2","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART1_TX","","","","","","","","EVENTOUT"
"A3","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","","","FSMC_D3/FSMC_DA3","","SDIO_CK","","","EVENTOUT"
"A4","PD2","I/O","","","","","TIM3_ETR","","","","","","","","FSMC_NWE","","SDIO_CMD","","","EVENTOUT"
"A5","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","FMPI2C1_SDA","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","USART1_RX","","I2C2_SDA","","","","","","EVENTOUT"
"A6","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FSMC_NL","","","EVENTOUT"
"A7","VSS","Power","","","","","","","","","","","","","","","","","",""
"A8","VDD","Power","","","","","","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","","","","","","",""
"B2","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"B3","PC11","I/O","","","","","","","","I2S3_ext_SD","SPI3_MISO","USART3_RX","","QUADSPI_BK2_NCS","FSMC_D2/FSMC_DA2","","SDIO_D3","","","EVENTOUT"
"B4","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","I2C3_SDA","","","SDIO_D0","","","EVENTOUT"
"B5","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","","SDIO_D0","","","EVENTOUT"
"B6","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","CAN1_TX","I2C2_SDA","","","SDIO_D5","","","EVENTOUT"
"B7","VBAT","Power","","","","","","","","","","","","","","","","","",""
"B8","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C1","PA12","I/O","","","","TIM1_ETR","","","","","SPI5_MISO","USART1_RTS","USART6_RX","CAN1_TX","USB_OTG_FS_DP","","","","","EVENTOUT"
"C2","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"C3","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","","QUADSPI_BK1_IO1","","","SDIO_D2","","","EVENTOUT"
"C4","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","","","SDIO_D3","","","EVENTOUT"
"C5","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","I2S5_SD/SPI5_MOSI","","CAN1_RX","I2C3_SDA","","","SDIO_D4","","","EVENTOUT"
"C6","PDR_ON","Power","","","","","","","","","","","","","","","","","",""
"C7","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C8","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D1","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","USB_OTG_FS_VBUS","","SDIO_D2","","","EVENTOUT"
"D2","PA10","I/O","","","","TIM1_CH3","","","","","I2S5_SD/SPI5_MOSI","USART1_RX","","","USB_OTG_FS_ID","","","","","EVENTOUT"
"D3","PA11","I/O","","","","TIM1_CH4","","","","","SPI4_MISO","USART1_CTS","USART6_TX","CAN1_RX","USB_OTG_FS_DM","","","","","EVENTOUT"
"D4","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"D5","PC0","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D6","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","","","FSMC_A0","","","EVENTOUT"
"D7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"D8","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E1","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","FMPI2C1_SDA","I2S2_CK/SPI2_SCK","I2S3_MCK","","USART6_RX","","DFSDM1_DATIN3","","SDIO_D7","","","EVENTOUT"
"E2","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","QUADSPI_BK1_IO0","","","SDIO_D1","","","EVENTOUT"
"E3","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","SDIO_D1","","","EVENTOUT"
"E4","PC4","I/O","","","","","","","","I2S1_MCK","","","","","QUADSPI_BK2_IO2","","FSMC_NE4","","","EVENTOUT"
"E5","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","QUADSPI_BK2_IO1","","","","","EVENTOUT"
"E6","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","","","","","","","","EVENTOUT"
"E7","PC2","I/O","","","","","","","","SPI2_MISO","I2S2_ext_SD","","DFSDM1_CKOUT","","","","FSMC_NWE","","","EVENTOUT"
"E8","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"F1","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","FMPI2C1_SCL","I2S2_MCK","DFSDM1_CKIN3","","USART6_TX","","FSMC_D1/FSMC_DA1","","SDIO_D6","","","EVENTOUT"
"F2","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","FMPI2C1_SCL","I2S2_SD/SPI2_MOSI","","","DFSDM1_CKIN2","TIM12_CH2","","","SDIO_CK","","","EVENTOUT"
"F3","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","QUADSPI_BK1_IO2","","","SDIO_D0","","","EVENTOUT"
