"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"5","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"6","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","LPTIM1_IN1","","DFSDM2_CKIN4","","","","SAI1_MCLK_B","","","","","","","","EVENTOUT"
"9","PC1","I/O","","","","LPTIM1_OUT","","DFSDM2_DATIN4","","","","SAI1_SD_B","","","","","","","","EVENTOUT"
"10","PC2","I/O","","","","LPTIM1_IN2","","DFSDM2_DATIN7","","SPI2_MISO","I2S2_ext_SD","SAI1_SCK_B","DFSDM1_CKOUT","","","","FSMC_NWE","","","EVENTOUT"
"11","PC3","I/O","","","","LPTIM1_ETR","","DFSDM2_CKIN7","","I2S2_SD/SPI2_MOSI","","SAI1_FS_B","","","","","FSMC_A0","","","EVENTOUT"
"12","VSSA","Power","","","","","","","","","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","","","","","","","","","",""
"14","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","","","","","EVENTOUT"
"15","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","I2S4_SD/SPI4_MOSI","","USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","","","","","","EVENTOUT"
"16","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","I2S_CKIN","","USART2_TX","","","","","FSMC_D4/FSMC_DA4","","","EVENTOUT"
"17","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","I2S2_MCK","","USART2_RX","","","SAI1_SD_B","","FSMC_D5/FSMC_DA5","","","EVENTOUT"
"18","VSS","Power","","","","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","DFSDM1_DATIN1","","","","FSMC_D6/FSMC_DA6","","","EVENTOUT"
"21","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","DFSDM1_CKIN1","","","","FSMC_D7/FSMC_DA7","","","EVENTOUT"
"22","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","I2S2_MCK","DFSDM2_CKIN1","","TIM13_CH1","QUADSPI_BK2_IO0","","SDIO_CMD","","","EVENTOUT"
"23","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","DFSDM2_DATIN1","","TIM14_CH1","QUADSPI_BK2_IO1","","","","","EVENTOUT"
"24","PC4","I/O","","","","","","DFSDM2_CKIN2","","I2S1_MCK","","","","","QUADSPI_BK2_IO2","","FSMC_NE4","","","EVENTOUT"
"25","PC5","I/O","","","","","","DFSDM2_DATIN2","FMPI2C1_SMBA","","","USART3_RX","","","QUADSPI_BK2_IO3","","FSMC_NOE","","","EVENTOUT"
"26","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","I2S5_CK/SPI5_SCK","","","","","","","","","EVENTOUT"
"27","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","I2S5_WS/SPI5_NSS","","DFSDM1_DATIN0","QUADSPI_CLK","","","","","","EVENTOUT"
