"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"A1","VDD","Power","","","","","","","","","","","","","","",""
"A2","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","",""
"A3","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK"
"A4","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","FSMC_NOE"
"A5","PD7","I/O","","","","","","","","","","USART2_CK","","","","","FSMC_NCE2/FSMC_NE1"
"A6","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","","","",""
"A7","BOOT0","Boot","","","","","","","","","","","","","","",""
"A8","PDR_ON","Reset","","","","","","","","","","","","","","",""
"A9","PC13-ANTI_TAMP","I/O","","","RTC_AF1","","","","","","","","","","","",""
"A10","VBAT","Power","","","","","","","","","","","","","","",""
"B1","VCAP_2","Power","","","","","","","","","","","","","","",""
"B2","PI1","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","",""
"B3","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","",""
"B4","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD"
"B5","PD6","I/O","","","","","","","","","","USART2_RX","","","","","FSMC_NWAIT"
"B6","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","",""
"B7","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FSMC_NL"
"B8","VDD","Power","","","","","","","","","","","","","","",""
"B9","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","",""
"B10","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","",""
"C1","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","",""
"C2","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","",""
"C3","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","",""
"C4","PC11","I/O","","","","","","","","I2S3_ext_SD","SPI3_MISO","USART3_RX","UART4_RX","","","","SDIO_D3"
"C5","PD1","I/O","","","","","","","","","","","","CAN1_TX","","","FSMC_D3/FSMC_DA3"
"C6","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FSMC_NWE"
"C7","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","","",""
"C8","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","","","SDIO_D5"
"C9","VSS","Power","","","","","","","","","","","","","","",""
"C10","PA0-WKUP","I/O","","","SYS_WKUP","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","",""
"D1","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","",""
"D2","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","","",""
"D3","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","",""
"D4","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","",""
"D5","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","","","","SDIO_D2"
"D6","PD0","I/O","","","","","","","","","","","","CAN1_RX","","","FSMC_D2/FSMC_DA2"
"D7","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","",""
"D8","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","","SDIO_D4"
"D9","BYPASS_REG","Reset","","","","","","","","","","","","","","",""
"D10","PC2","I/O","","","","","","","","SPI2_MISO","I2S2_ext_SD","","","","USB_OTG_HS_ULPI_DIR","",""
"E1","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7"
"E2","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","","","","SDIO_D0"
"E3","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1"
"E4","VDD","Power","","","","","","","","","","","","","","",""
"E5","VSS","Power","","","","","","","","","","","","","","",""
"E6","VDD","Power","","","","","","","","","","","","","","",""
"E7","VSS","Power","","","","","","","","","","","","","","",""
"E8","VSS","Power","","","","","","","","","","","","","","",""
"E9","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","",""
"E10","PC0","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_STP","",""
"F1","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","","FSMC_D1/FSMC_DA1"
"F2","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","","FSMC_D0/FSMC_DA0"
"F3","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6"
"F4","VCAP_1","Power","","","","","","","","","","","","","","",""
"F5","PE14","I/O","","","","TIM1_CH4","","","","","","","","","","","FSMC_D11/FSMC_DA11"
"F6","PE10","I/O","","","","TIM1_CH2N","","","","","","","","","","","FSMC_D7/FSMC_DA7"
"F7","VDD","Power","","","","","","","","","","","","","","",""
"F8","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","","","",""
"F9","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","",""
"F10","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","",""
"G1","PD11","I/O","","","","","","","","","","USART3_CTS","","","","","FSMC_A16/FSMC_CLE"
"G2","PD12","I/O","","","","","TIM4_CH1","","","","","USART3_RTS","","","","","FSMC_A17/FSMC_ALE"
"G3","PD10","I/O","","","","","","","","","","USART3_CK","","","","","FSMC_D15/FSMC_DA15"
"G4","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","","FSMC_D12/FSMC_DA12"
"G5","PE13","I/O","","","","TIM1_CH3","","","","","","","","","","","FSMC_D10/FSMC_DA10"
"G6","PE7","I/O","","","","TIM1_ETR","","","","","","","","","","","FSMC_D4/FSMC_DA4"
"G7","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","","","USB_OTG_HS_ULPI_D1","",""
"G8","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","",""
"G9","VDDA","Power","","","","","","","","","","","","","","",""
"G10","NRST","Reset","","","","","","","","","","","","","","",""
"H1","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP"
"H2","PD8","I/O","","","","","","","","","","USART3_TX","","","","","FSMC_D13/FSMC_DA13"
"H3","PD9","I/O","","","","","","","","","","USART3_RX","","","","","FSMC_D14/FSMC_DA14"
"H4","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","USART3_TX","","","USB_OTG_HS_ULPI_D3","",""
"H5","PE12","I/O","","","","TIM1_CH3N","","","","","","","","","","","FSMC_D9/FSMC_DA9"
"H6","PE8","I/O","","","","TIM1_CH1N","","","","","","","","","","","FSMC_D5/FSMC_DA5"
"H7","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","",""
"H8","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","",""
"H9","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","USB_OTG_HS_ULPI_D0","",""
"H10","VSSA","Power","","","","","","","","","","","","","","",""
"J1","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","",""
"J2","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","I2S2_ext_SD","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM"
"J3","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","","USB_OTG_HS_ID"
"J4","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","USB_OTG_HS_ULPI_D4","",""
"J5","PE11","I/O","","","","TIM1_CH2","","","","","","","","","","","FSMC_D8/FSMC_DA8"
"J6","PE9","I/O","","","","TIM1_CH1","","","","","","","","","","","FSMC_D6/FSMC_DA6"
"J7","PB2","I/O","","","","","","","","","","","","","","",""
"J8","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","SPI1_MOSI","","","","TIM14_CH1","","",""
"J9","PA4","I/O","","","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF"
"J10","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","",""
