"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"1","VBAT","Power","","","","","","","","","","","","","","",""
"2","PC13-ANTI_TAMP","I/O","","","RTC_AF1","","","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","",""
"5","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","",""
"6","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_STP","",""
"9","PC1","I/O","","","","","","","","","","","","","","",""
"10","PC2","I/O","","","","","","","","SPI2_MISO","I2S2_ext_SD","","","","USB_OTG_HS_ULPI_DIR","",""
"11","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","",""
"12","VSSA","Power","","","","","","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","","","","","","",""
"14","PA0-WKUP","I/O","","","SYS_WKUP","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","",""
"15","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","","","",""
"16","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","",""
"17","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","USB_OTG_HS_ULPI_D0","",""
"18","VSS","Power","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF"
"21","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","",""
"22","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","",""
"23","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","SPI1_MOSI","","","","TIM14_CH1","","",""
"24","PC4","I/O","","","","","","","","","","","","","","",""
"25","PC5","I/O","","","","","","","","","","","","","","",""
"26","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","","","USB_OTG_HS_ULPI_D1","",""
"27","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","",""
"28","PB2","I/O","","","","","","","","","","","","","","",""
"29","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","USART3_TX","","","USB_OTG_HS_ULPI_D3","",""
"30","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","USB_OTG_HS_ULPI_D4","",""
"31","VCAP_1","Power","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","",""
"33","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","","USB_OTG_HS_ID"
"34","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","",""
"35","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","I2S2_ext_SD","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM"
"36","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP"
"37","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6"
"38","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7"
"39","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","","","","SDIO_D0"
"40","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1"
"41","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","",""
"42","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","","",""
"43","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","",""
"44","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","",""
"45","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","",""
"46","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","",""
"47","VCAP_2","Power","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","",""
"49","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","",""
"50","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","",""
"51","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","","","","SDIO_D2"
"52","PC11","I/O","","","","","","","","I2S3_ext_SD","SPI3_MISO","USART3_RX","UART4_RX","","","","SDIO_D3"
"53","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK"
"54","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD"
"55","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","",""
"56","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","","","",""
"57","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","",""
"58","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","","",""
"59","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","",""
"60","BOOT0","Boot","","","","","","","","","","","","","","",""
"61","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","","SDIO_D4"
"62","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","","","SDIO_D5"
"63","VSS","Power","","","","","","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","","","","","","",""
