"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"A1","PE3","I/O","","","SYS_TRACED0","","","","","","","","","","","","FSMC_A19",""
"A2","PE2","I/O","","","SYS_TRACECLK","","","","","","","","","","","ETH_TXD3","FSMC_A23",""
"A3","PE1","I/O","","","","","","","","","","","","","","","FSMC_NBL1","DCMI_D3"
"A4","PE0","I/O","","","","","TIM4_ETR","","","","","","","","","","FSMC_NBL0","DCMI_D2"
"A5","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","ETH_TXD3","SDIO_D4","DCMI_D6"
"A6","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","ETH_PPS_OUT","","DCMI_D10"
"A7","PG14","I/O","","","","","","","","","","","USART6_TX","","","ETH_TXD1","FSMC_A25",""
"A8","PG13","I/O","","","","","","","","","","","USART6_CTS","","","ETH_TXD0","FSMC_A24",""
"A9","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","","","","",""
"A10","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","",""
"A11","PD7","I/O","","","","","","","","","","USART2_CK","","","","","FSMC_NCE2/FSMC_NE1",""
"A12","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9"
"A13","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","","",""
"A14","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","",""
"A15","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","",""
"B1","PE4","I/O","","","SYS_TRACED1","","","","","","","","","","","","FSMC_A20","DCMI_D4"
"B2","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","","","","","","","","FSMC_A21","DCMI_D6"
"B3","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","","","","","","","","FSMC_A22","DCMI_D7"
"B4","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","","","SDIO_D5","DCMI_D7"
"B5","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FSMC_NL","DCMI_VSYNC"
"B6","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","","","","DCMI_D5"
"B7","PG15","I/O","","","","","","","","","","","USART6_CTS","","","","","DCMI_D13"
"B8","PG12","I/O","","","","","","","","","","","USART6_RTS","","","","FSMC_NE4",""
"B9","PG11","I/O","","","","","","","","","","","","","","ETH_TX_EN","FSMC_NCE4_2",""
"B10","PG10","I/O","","","","","","","","","","","","","","","FSMC_NCE4_1/FSMC_NE3",""
"B11","PD6","I/O","","","","","","","","","","USART2_RX","","","","","FSMC_NWAIT",""
"B12","PD0","I/O","","","","","","","","","","","","CAN1_RX","","","FSMC_D2/FSMC_DA2",""
"B13","PC11","I/O","","","","","","","","I2S3_ext_SD","SPI3_MISO","USART3_RX","UART4_RX","","","","SDIO_D3","DCMI_D4"
"B14","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","","","","SDIO_D2","DCMI_D8"
"B15","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","",""
"C1","VBAT","Power","","","","","","","","","","","","","","","",""
"C2","PI7","I/O","","","","","","TIM8_CH3","","","","","","","","","","DCMI_D7"
"C3","PI6","I/O","","","","","","TIM8_CH2","","","","","","","","","","DCMI_D6"
"C4","PI5","I/O","","","","","","TIM8_CH1","","","","","","","","","","DCMI_VSYNC"
"C5","VDD","Power","","","","","","","","","","","","","","","",""
"C6","PDR_ON","Reset","","","","","","","","","","","","","","","",""
"C7","VDD","Power","","","","","","","","","","","","","","","",""
"C8","VDD","Power","","","","","","","","","","","","","","","",""
"C9","VDD","Power","","","","","","","","","","","","","","","",""
"C10","PG9","I/O","","","","","","","","","","","USART6_RX","","","","FSMC_NCE3/FSMC_NE2",""
"C11","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FSMC_NWE",""
"C12","PD1","I/O","","","","","","","","","","","","CAN1_TX","","","FSMC_D3/FSMC_DA3",""
"C13","PI3","I/O","","","","","","TIM8_ETR","","I2S2_SD/SPI2_MOSI","","","","","","","","DCMI_D10"
"C14","PI2","I/O","","","","","","TIM8_CH4","","SPI2_MISO","I2S2_ext_SD","","","","","","","DCMI_D9"
"C15","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","",""
"D1","PC13-ANTI_TAMP","I/O","","","RTC_AF1","","","","","","","","","","","","",""
"D2","PI8- ANTI TAMP2","I/O","","","RTC_AF2","","","","","","","","","","","","",""
"D3","PI9","I/O","","","","","","","","","","","","CAN1_RX","","","",""
"D4","PI4","I/O","","","","","","TIM8_BKIN","","","","","","","","","","DCMI_D5"
"D5","VSS","Power","","","","","","","","","","","","","","","",""
"D6","BOOT0","Boot","","","","","","","","","","","","","","","",""
"D7","VSS","Power","","","","","","","","","","","","","","","",""
"D8","VSS","Power","","","","","","","","","","","","","","","",""
"D9","VSS","Power","","","","","","","","","","","","","","","",""
"D10","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","FSMC_NOE",""
"D11","PD3","I/O","","","","","","","","","","USART2_CTS","","","","","FSMC_CLK",""
"D12","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11"
"D13","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","","DCMI_D11"
"D14","PI1","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","","","DCMI_D8"
"D15","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","","","DCMI_D1"
"E1","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","","",""
"E2","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FSMC_A0",""
"E3","PI10","I/O","","","","","","","","","","","","","","ETH_RX_ER","",""
"E4","PI11","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_DIR","","",""
"E12","PH13","I/O","","","","","","TIM8_CH1N","","","","","","CAN1_TX","","","",""
"E13","PH14","I/O","","","","","","TIM8_CH2N","","","","","","","","","","DCMI_D4"
"E14","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","","DCMI_D13"
"E15","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","","","","DCMI_D0"
"F1","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","","",""
"F2","VSS","Power","","","","","","","","","","","","","","","",""
"F3","VDD","Power","","","","","","","","","","","","","","","",""
"F4","PH2","I/O","","","","","","","","","","","","","","ETH_CRS","",""
"F6","VSS","Power","","","","","","","","","","","","","","","",""
"F7","VSS","Power","","","","","","","","","","","","","","","",""
"F8","VSS","Power","","","","","","","","","","","","","","","",""
"F9","VSS","Power","","","","","","","","","","","","","","","",""
"F10","VSS","Power","","","","","","","","","","","","","","","",""
"F12","VSS","Power","","","","","","","","","","","","","","","",""
"F13","VCAP_2","Power","","","","","","","","","","","","","","","",""
"F14","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1","DCMI_D3"
