"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"A2","PE3","I/O","","","SYS_TRACED0","","","","","","","SAI1_SD_B","","","","UART10_TX","FSMC_A19","","","EVENTOUT"
"A3","PE2","I/O","","","SYS_TRACECLK","","","","","I2S4_CK/SPI4_SCK","I2S5_CK/SPI5_SCK","SAI1_MCLK_A","","QUADSPI_BK1_IO2","","UART10_RX","FSMC_A23","","","EVENTOUT"
"A4","PE1","I/O","","","","","","DFSDM2_DATIN4","","","","","UART8_TX","","","","FSMC_NBL1","","","EVENTOUT"
"A5","PE0","I/O","","","","","TIM4_ETR","DFSDM2_CKIN4","","","","","UART8_RX","","","","FSMC_NBL0","","","EVENTOUT"
"A6","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","I2S3_ext_SD/SPI1_MISO","SPI3_MISO","","UART7_TX","I2C3_SDA","SAI1_SCK_A","CAN3_TX","SDIO_D0","","","EVENTOUT"
"A7","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","FMPI2C1_SDA","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","USART1_RX","UART7_RX","I2C2_SDA","SAI1_SD_A","CAN3_RX","","","","EVENTOUT"
"A8","PD6","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","DFSDM1_DATIN1","USART2_RX","","","","","FSMC_NWAIT","","","EVENTOUT"
"A9","PD7","I/O","","","","","","","","","DFSDM1_CKIN1","USART2_CK","","","","","FSMC_NE1","","","EVENTOUT"
"A10","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART1_TX","UART7_TX","","SAI1_MCLK_A","CAN3_TX","","","","EVENTOUT"
"A11","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"A12","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"B1","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B2","PE4","I/O","","","SYS_TRACED1","","","","","I2S4_WS/SPI4_NSS","I2S5_WS/SPI5_NSS","SAI1_SD_A","DFSDM1_DATIN3","","","","FSMC_A20","","","EVENTOUT"
"B3","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SPI5_MISO","SAI1_SCK_A","DFSDM1_CKIN3","","","","FSMC_A21","","","EVENTOUT"
"B4","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","I2S4_SD/SPI4_MOSI","I2S5_SD/SPI5_MOSI","SAI1_FS_A","","","","","FSMC_A22","","","EVENTOUT"
"B5","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","DFSDM2_DATIN1","","CAN1_TX","I2C2_SDA","","UART5_TX","SDIO_D5","","","EVENTOUT"
"B6","PB5","I/O","","","","LPTIM1_IN1","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","SAI1_FS_A","UART5_RX","SDIO_D3","","","EVENTOUT"
"B7","PG15","I/O","","","","","","","","","","","USART6_CTS","","","","","","","EVENTOUT"
"B8","PG12","I/O","","","","","","","","","","","USART6_RTS","CAN2_TX","","UART10_TX","FSMC_NE4","","","EVENTOUT"
"B9","PD5","I/O","","","","","","DFSDM2_CKOUT","","","","USART2_TX","","","","","FSMC_NWE","","","EVENTOUT"
"B10","PC11","I/O","","","","","","DFSDM2_DATIN5","","I2S3_ext_SD","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","FSMC_D2/FSMC_DA2","","SDIO_D3","","","EVENTOUT"
"B11","PC10","I/O","","","","","","DFSDM2_CKIN5","","","I2S3_CK/SPI3_SCK","USART3_TX","","QUADSPI_BK1_IO1","","","SDIO_D2","","","EVENTOUT"
"B12","PA12","I/O","","","","TIM1_ETR","","DFSDM2_DATIN5","","SPI2_MISO","SPI5_MISO","USART1_RTS","USART6_RX","CAN1_TX","USB_OTG_FS_DP","UART4_TX","","","","EVENTOUT"
"C1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C2","VBAT","Power","","","","","","","","","","","","","","","","","",""
"C3","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FSMC_A0","","","EVENTOUT"
"C4","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FSMC_A1","","","EVENTOUT"
"C5","PB8","I/O","","","","LPTIM1_OUT","TIM4_CH3","TIM10_CH1","I2C1_SCL","","I2S5_SD/SPI5_MOSI","DFSDM2_CKIN1","CAN1_RX","I2C3_SDA","","UART5_RX","SDIO_D4","","","EVENTOUT"
"C6","PB6","I/O","","","","LPTIM1_ETR","TIM4_CH1","","I2C1_SCL","","DFSDM2_CKIN7","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","UART5_TX","SDIO_D0","","","EVENTOUT"
"C7","PG14","I/O","","","SYS_TRACED3","","","","","","","","USART6_TX","QUADSPI_BK2_IO3","","","FSMC_A25","","","EVENTOUT"
"C8","PG11","I/O","","","","","","","","","","","","CAN2_RX","","UART10_RX","","","","EVENTOUT"
"C9","PD4","I/O","","","","","","","","","DFSDM1_CKIN0","USART2_RTS","","","","","FSMC_NOE","","","EVENTOUT"
"C10","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","FSMC_D3/FSMC_DA3","","SDIO_CK","","","EVENTOUT"
"C11","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"C12","PA11","I/O","","","","TIM1_CH4","","DFSDM2_CKIN5","","I2S2_WS/SPI2_NSS","SPI4_MISO","USART1_CTS","USART6_TX","CAN1_RX","USB_OTG_FS_DM","UART4_RX","","","","EVENTOUT"
"D1","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D2","VSS","Power","","","","","","","","","","","","","","","","","",""
"D3","VDD","Power","","","","","","","","","","","","","","","","","",""
"D4","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FSMC_A2","","","EVENTOUT"
"D5","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"D6","PB7","I/O","","","","LPTIM1_IN2","TIM4_CH2","","I2C1_SDA","","DFSDM2_DATIN7","USART1_RX","","","","","FSMC_NL","","","EVENTOUT"
"D7","PG13","I/O","","","SYS_TRACED2","","","","","","","","USART6_CTS","","","","FSMC_A24","","","EVENTOUT"
"D8","PG10","I/O","","","","","","","","","","","","","","","FSMC_NE3","","","EVENTOUT"
"D9","PD3","I/O","","","SYS_TRACED1","","","","","I2S2_CK/SPI2_SCK","DFSDM1_DATIN0","USART2_CTS","","QUADSPI_CLK","","","FSMC_CLK","","","EVENTOUT"
"D10","PD1","I/O","","","","","","DFSDM2_DATIN6","","","","","","CAN1_TX","","UART4_TX","FSMC_D3/FSMC_DA3","","","EVENTOUT"
"D11","PA10","I/O","","","","TIM1_CH3","","DFSDM2_DATIN3","","I2S2_SD/SPI2_MOSI","I2S5_SD/SPI5_MOSI","USART1_RX","","","USB_OTG_FS_ID","","","","","EVENTOUT"
"D12","PA9","I/O","","","","TIM1_CH2","","DFSDM2_CKIN3","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","USB_OTG_FS_VBUS","","SDIO_D2","","","EVENTOUT"
"E1","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E2","PF3","I/O","","","","","TIM5_CH1","","","","","","","","","","FSMC_A3","","","EVENTOUT"
"E3","PF4","I/O","","","","","TIM5_CH2","","","","","","","","","","FSMC_A4","","","EVENTOUT"
"E4","PF5","I/O","","","","","TIM5_CH3","","","","","","","","","","FSMC_A5","","","EVENTOUT"
"E5","PDR_ON","Power","","","","","","","","","","","","","","","","","",""
"E6","VSS","Power","","","","","","","","","","","","","","","","","",""
"E7","VSS","Power","","","","","","","","","","","","","","","","","",""
"E8","PG9","I/O","","","","","","","","","","","USART6_RX","QUADSPI_BK2_IO2","","","FSMC_NE2","","","EVENTOUT"
"E9","PD2","I/O","","","","","TIM3_ETR","DFSDM2_CKOUT","","","","","UART5_RX","","FSMC_NWE","","SDIO_CMD","","","EVENTOUT"
"E10","PD0","I/O","","","","","","DFSDM2_CKIN6","","","","","","CAN1_RX","","UART4_RX","FSMC_D2/FSMC_DA2","","","EVENTOUT"
"E11","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","DFSDM2_DATIN3","","QUADSPI_BK1_IO0","","","SDIO_D1","","","EVENTOUT"
"E12","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","DFSDM1_CKOUT","USART1_CK","UART7_RX","","USB_OTG_FS_SOF","CAN3_RX","SDIO_D1","","","EVENTOUT"
"F1","NRST","Reset","","","","","","","","","","","","","","","","","",""
"F2","PF7","I/O","","","SYS_TRACED1","","","TIM11_CH1","","","","SAI1_MCLK_B","UART7_TX","QUADSPI_BK1_IO2","","","","","","EVENTOUT"
"F3","PF6","I/O","","","SYS_TRACED0","","","TIM10_CH1","","","","SAI1_SD_B","UART7_RX","QUADSPI_BK1_IO3","","","","","","EVENTOUT"
"F4","VDD","Power","","","","","","","","","","","","","","","","","",""
"F5","VDD","Power","","","","","","","","","","","","","","","","","",""
"F6","VDD","Power","","","","","","","","","","","","","","","","","",""
"F7","VDD","Power","","","","","","","","","","","","","","","","","",""
"F8","VDD","Power","","","","","","","","","","","","","","","","","",""
"F9","VDD","Power","","","","","","","","","","","","","","","","","",""
"F10","VDD","Power","","","","","","","","","","","","","","","","","",""
"F11","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","DFSDM2_CKIN3","USART6_CK","QUADSPI_BK1_IO2","","","SDIO_D0","","","EVENTOUT"
