"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"A1","VDD","Power","","","","","","","","","","","","","","","",""
"A2","PC12","I/O","","","","","","","I2C2_SDA","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9"
"A3","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","",""
"A4","PD7","I/O","","","","","","","","","","USART2_CK","SPDIFRX_IN0","","","","",""
"A5","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","I2C2_SDA","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","",""
"A6","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","","","DCMI_D10"
"A7","BOOT0","Boot","","","","","","","","","","","","","","","",""
"A8","VDD","Power","","","","","","","","","","","","","","","",""
"A9","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","","DCMI_D4"
"B1","VSS","Power","","","","","","","","","","","","","","","",""
"B2","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","","UART4_RTS","","","","",""
"B3","PD0","I/O","","","","","","","","SPI4_MISO","I2S3_SD/SPI3_MOSI","","","CAN1_RX","","","",""
"B4","PD6","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","USART2_RX","","","","","","DCMI_D10"
"B5","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","I2C3_SDA","SPI1_MISO","SPI3_MISO","I2S2_WS/SPI2_NSS","","","","","",""
"B6","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","SPDIFRX_IN0","","","","","DCMI_VSYNC"
"B7","VSS","Power","","","","","","","","","","","","","","","",""
"B8","PDR_ON","Reset","","","","","","","","","","","","","","","",""
"B9","VBAT","Power","","","","","","","","","","","","","","","",""
"C1","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","",""
"C2","VCAP_2","Power","","","","","","","","","","","","","","","",""
"C3","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","",""
"C4","PD1","I/O","","","","","","","","","","I2S2_WS/SPI2_NSS","","CAN1_TX","","","",""
"C5","PB6","I/O","","","","","TIM4_CH1","CEC","I2C1_SCL","","","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","","","DCMI_D5"
"C6","PB8","I/O","","","","TIM2_CH1/TIM2_ETR","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","","SDIO_D4","DCMI_D6"
"C7","PB9","I/O","","","","TIM2_CH2","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","SAI1_FS_B","","","CAN1_TX","","","SDIO_D5","DCMI_D7"
"C8","PC13","I/O","","","","","","","","","","","","","","","",""
"C9","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","",""
"D1","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","UART5_CTS","","QUADSPI_BK1_IO0","","","SDIO_D1","DCMI_D3"
"D2","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","",""
"D3","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDIO_D2","DCMI_D8"
"D4","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDIO_D3","DCMI_D4"
"D5","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11"
"D6","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","",""
"D7","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","","",""
"D8","NRST","Reset","","","","","","","","","","","","","","","",""
"D9","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","",""
"E1","VDDUSB","Power","","","","","","","","","","","","","","","",""
"E2","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","",""
"E3","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","","","DCMI_D1"
"E4","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","SAI2_FS_B","CAN1_TX","USB_OTG_FS_DP","","",""
"E5","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","","","",""
"E6","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","SAI1_FS_A","USART2_RX","","","USB_OTG_HS_ULPI_D0","","",""
"E7","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","SAI2_SCK_B","","","","",""
"E8","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","","",""
"E9","PH0-OSC_IN","I/O","","","","","","","","","","","","","","","",""
"F1","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","FMPI2C1_SCL","I2S2_MCK","","","USART6_TX","","","","SDIO_D6","DCMI_D0"
"F2","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","FMPI2C1_SDA","I2S2_CK/SPI2_SCK","I2S3_MCK","SPDIFRX_IN1","USART6_RX","","","","SDIO_D7","DCMI_D1"
"F3","PC8","I/O","","","SYS_TRACED0","","TIM3_CH3","TIM8_CH3","","","","UART5_RTS","USART6_CK","","","","SDIO_D0","DCMI_D2"
"F4","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","I2S2_CK/SPI2_SCK","SAI1_SD_B","USART1_TX","","","","","","DCMI_D0"
"F5","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","I2S3_SD/SPI3_MOSI","UART4_CTS","","USB_OTG_HS_ULPI_D1","","SDIO_D1",""
"F6","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","","",""
"F7","VSSA","Power","","","","","","","","","","","","","","","",""
"F8","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","","",""
"F9","PH1-OSC_OUT","I/O","","","","","","","","","","","","","","","",""
"G1","PD13","I/O","","","","","TIM4_CH2","","FMPI2C1_SDA","","","","","QUADSPI_BK1_IO3","SAI2_SCK_A","","",""
"G2","PD12","I/O","","","","","TIM4_CH1","","FMPI2C1_SCL","","","USART3_RTS","","QUADSPI_BK1_IO1","SAI2_FS_A","","",""
"G3","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP",""
"G4","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","SAI1_SCK_B","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","","USB_OTG_HS_ID",""
"G5","PE9","I/O","","","","TIM1_CH1","","","","","","","","","QUADSPI_BK2_IO2","","",""
"G6","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","I2S2_MCK","","","TIM13_CH1","","","","DCMI_PIXCLK"
"G7","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","SAI2_MCLK_B","","",""
"G8","VSS","Power","","","","","","","","","","","","","","","",""
"G9","PC0","I/O","","","","","","","","","SAI1_MCLK_B","","","","USB_OTG_HS_ULPI_STP","","",""
"H1","PD11","I/O","","","","","","","FMPI2C1_SMBA","","","USART3_CTS","","QUADSPI_BK1_IO0","SAI2_SD_A","","",""
"H2","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","","",""
"H3","VSS","Power","","","","","","","","","","","","","","","",""
"H4","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","SAI1_SCK_A","USART3_TX","","","USB_OTG_HS_ULPI_D3","","",""
"H5","PE8","I/O","","","","TIM1_CH1N","","","","","","","UART5_TX","","QUADSPI_BK2_IO1","","",""
"H6","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","","SDIO_D2",""
"H7","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF","DCMI_HSYNC"
"H8","VREF+","Power","","","","","","","","","","","","","","","",""
"H9","VDD","Power","","","","","","","","","","","","","","","",""
"J1","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM",""
"J2","VDD","Power","","","","","","","","","","","","","","","",""
"J3","VCAP_1","Power","","","","","","","","","","","","","","","",""
"J4","PE10","I/O","","","","TIM1_CH2N","","","","","","","","","QUADSPI_BK2_IO3","","",""
