"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","","FMC_A23",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20","DCMI_D4"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21","DCMI_D6"
"5","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","","","FMC_A22","DCMI_D7"
"6","VBAT","Power","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","",""
"10","VSS","Power","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","",""
"12","PH0-OSC_IN","I/O","","","","","","","","","","","","","","","",""
"13","PH1-OSC_OUT","I/O","","","","","","","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","SAI1_MCLK_B","","","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE",""
"16","PC1","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","I2S2_SD/SPI2_MOSI","","","","","",""
"17","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","","FMC_SDNE0",""
"18","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","","FMC_SDCKE0",""
"19","VDD","Power","","","","","","","","","","","","","","","",""
"20","VSSA","Power","","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","","",""
