"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"1","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19","",""
"2","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20","DCMI_D4","LTDC_B0"
"3","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21","DCMI_D6","LTDC_G0"
"4","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","","","FMC_A22","DCMI_D7","LTDC_G1"
"5","VBAT","Power","","","","","","","","","","","","","","","","",""
"6","PC13","I/O","","","","","","","","","","","","","","","","",""
"7","PC14/OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"8","PC15/OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"9","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0","",""
"10","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1","",""
"11","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2","",""
"12","PF3","I/O","","","","","","","","","","","","","","","FMC_A3","",""
"13","PF4","I/O","","","","","","","","","","","","","","","FMC_A4","",""
"14","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","",""
"15","VSS","Power","","","","","","","","","","","","","","","","",""
"16","VDD","Power","","","","","","","","","","","","","","","","",""
"17","PF10","I/O","","","","","","","","","","","","QUADSPI_CLK","","","","DCMI_D11","LTDC_DE"
"18","PH0/OSC_IN","I/O","","","","","","","","","","","","","","","","",""
"19","PH1/OSC_OUT","I/O","","","","","","","","","","","","","","","","",""
"20","NRST","Reset","","","","","","","","","","","","","","","","",""
"21","PC0","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE","","LTDC_R5"
"22","PC1","I/O","","","SYS_TRACED0","","","","","I2S2_SD/SPI2_MOSI","SAI1_SD_A","","","","","","","",""
