"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","PI2","I/O","","","","","","TIM8_CH4","","SPI2_MISO","I2S2_ext_SD","","","","","","FMC_D26","DCMI_D9","LTDC_G7"
"A2","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","","","",""
"A3","PD1","I/O","","","","","","","","","","","","CAN1_TX","","","FMC_D3/FMC_DA3","",""
"A4","VSS","Power","","","","","","","","","","","","","","","","",""
"A5","PD7","I/O","","","","","","","","","","USART2_CK","","","","","FMC_NE1","",""
"A6","PG12","I/O","","","","","","","","SPI6_MISO","","","USART6_RTS","LTDC_B4","","","FMC_NE4","","LTDC_B1"
"A7","VDD","Power","","","","","","","","","","","","","","","","",""
"A8","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","","",""
"A9","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FMC_NL","DCMI_VSYNC",""
"A10","PE0","I/O","","","","","TIM4_ETR","","","","","","UART8_RX","","","","FMC_NBL0","DCMI_D2",""
"A11","VDD","Power","","","","","","","","","","","","","","","","",""
"A12","PI7","I/O","","","","","","TIM8_CH3","","","","","","","","","FMC_D29","DCMI_D7","LTDC_B7"
"B1","PH13","I/O","","","","","","TIM8_CH1N","","","","","","CAN1_TX","","","FMC_D21","","LTDC_G2"
"B2","PI3","I/O","","","","","","TIM8_ETR","","I2S2_SD/SPI2_MOSI","","","","","","","FMC_D27","DCMI_D10",""
"B3","PC11","I/O","","","","","","","","I2S3_ext_SD","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDIO_D3","DCMI_D4",""
"B4","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","FMC_NOE","",""
"B5","VDD","Power","","","","","","","","","","","","","","","","",""
"B6","PG11","I/O","","","","","","","","","","","","","","","","DCMI_D3","LTDC_B3"
"B7","VSS","Power","","","","","","","","","","","","","","","","",""
"B8","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","","FMC_SDCKE1","DCMI_D10","LTDC_G7"
"B9","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","","SDIO_D4","DCMI_D6","LTDC_B6"
"B10","VSS","Power","","","","","","","","","","","","","","","","",""
"B11","PI6","I/O","","","","","","TIM8_CH2","","","","","","","","","FMC_D28","DCMI_D6","LTDC_B6"
"B12","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21","DCMI_D6","LTDC_G0"
"C1","VSS","Power","","","","","","","","","","","","","","","","",""
"C2","VDD","Power","","","","","","","","","","","","","","","","",""
"C3","PI1","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","","FMC_D25","DCMI_D8","LTDC_G6"
"C4","PC12","I/O","","","SYS_TRACED3","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9",""
"C5","PD2","I/O","","","SYS_TRACED2","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11",""
"C6","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FMC_NWE","",""
"C7","PG10","I/O","","","","","","","","","","","","LTDC_G3","","","FMC_NE3","DCMI_D2","LTDC_B2"
"C8","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","","","","","",""
"C9","PE1","I/O","","","","","","","","","","","UART8_TX","","","","FMC_NBL1","DCMI_D3",""
"C10","PI5","I/O","","","","","","TIM8_CH1","","","","","","","","","FMC_NBL3","DCMI_VSYNC","LTDC_B5"
"C11","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20","DCMI_D4","LTDC_B0"
"C12","VBAT","Power","","","","","","","","","","","","","","","","",""
"D1","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","",""
"D2","VCAP2","Power","","","","","","","","","","","","","","","","",""
"D3","PH14","I/O","","","","","","TIM8_CH2N","","","","","","","","","FMC_D22","DCMI_D4","LTDC_G3"
"D4","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","",""
"D5","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDIO_D2","DCMI_D8","LTDC_R2"
"D6","PD3","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","USART2_CTS","","","","","FMC_CLK","DCMI_D5","LTDC_G7"
"D7","PG9","I/O","","","","","","","","","","","USART6_RX","QUADSPI_BK2_IO2","","","FMC_NCE/FMC_NE2","DCMI_VSYNC",""
"D8","PG15","I/O","","","","","","","","","","","USART6_CTS","","","","FMC_SDNCAS","DCMI_D13",""
"D9","PDR_ON","Reset","","","","","","","","","","","","","","","","",""
"D10","PI4","I/O","","","","","","TIM8_BKIN","","","","","","","","","FMC_NBL2","DCMI_D5","LTDC_B4"
"D11","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","","","FMC_A22","DCMI_D7","LTDC_G1"
"D12","PC13","I/O","","","","","","","","","","","","","","","","",""
"E1","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","","","LTDC_R6"
