"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","","FMC_A23"
"2","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19"
"3","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21"
"5","PE6","I/O","","","SYS_TRACED3","TIM1_BKIN2","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","SAI2_MCLK_B","","FMC_A22"
"6","VBAT","Power","","","","","","","","","","","","","","",""
"7","PI8","I/O","","","","","","","","","","","","","","",""
"8","PC13","I/O","","","","","","","","","","","","","","",""
"9","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","",""
"10","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","",""
"11","PI9","I/O","","","","","","","","","","","UART4_RX","CAN1_RX","","","FMC_D30"
"12","PI10","I/O","","","","","","","","","","","","","","","FMC_D31"
"13","PI11","I/O","","","","","","","","","","","","","","",""
"14","VSS","Power","","","","","","","","","","","","","","",""
"15","VDD","Power","","","","","","","","","","","","","","",""
"16","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0"
"17","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1"
"18","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2"
"19","PF3","I/O","","","","","","","","","","","","","","","FMC_A3"
"20","PF4","I/O","","","","","","","","","","","","","","","FMC_A4"
"21","PF5","I/O","","","","","","","","","","","","","","","FMC_A5"
"22","VSS","Power","","","","","","","","","","","","","","",""
"23","VDD","Power","","","","","","","","","","","","","","",""
"24","PF6","I/O","","","","","","TIM10_CH1","","SPI5_NSS","SAI1_SD_B","","UART7_RX","QUADSPI_BK1_IO3","","",""
"25","PF7","I/O","","","","","","TIM11_CH1","","SPI5_SCK","SAI1_MCLK_B","","UART7_TX","QUADSPI_BK1_IO2","","",""
