"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","ETH_TXD3","FMC_A23",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20","DCMI_D4"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21","DCMI_D6"
"5","PE6","I/O","","","SYS_TRACED3","TIM1_BKIN2","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","SAI2_MCLK_B","","FMC_A22","DCMI_D7"
"6","VBAT","Power","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","","","","","","","",""
"8","PC14/OSC32_IN","I/O","","","","","","","","","","","","","","","",""
"9","PC15/OSC32_OUT","I/O","","","","","","","","","","","","","","","",""
"10","VSS","Power","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","",""
"12","PH0/OSC_IN","I/O","","","","","","","","","","","","","","","",""
"13","PH1/OSC_OUT","I/O","","","","","","","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","","","SAI2_FS_B","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE",""
"16","PC1","I/O","","","SYS_TRACED0","","","","","I2S2_SD/SPI2_MOSI","SAI1_SD_A","","","","","ETH_MDC","",""
"17","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","ETH_TXD2","FMC_SDNE0",""
"18","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","ETH_TX_CLK","FMC_SDCKE0",""
"19","VSSA","Power","","","","","","","","","","","","","","","",""
"20","VREF+","Power","","","","","","","","","","","","","","","",""
"21","VDDA","Power","","","","","","","","","","","","","","","",""
"22","PA0/WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","SAI2_SD_B","ETH_CRS","",""
"23","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_DE/USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","SAI2_MCLK_B","ETH_REF_CLK/ETH_RX_CLK","",""
"24","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","SAI2_SCK_B","","","ETH_MDIO","",""
"25","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","USB_OTG_HS_ULPI_D0","ETH_COL","",""
"26","VSS","Power","","","","","","","","","","","","","","","",""
"27","VDD","Power","","","","","","","","","","","","","","","",""
"28","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF","DCMI_HSYNC"
"29","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","","",""
"30","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","","","DCMI_PIXCLK"
"31","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","","ETH_CRS_DV/ETH_RX_DV","FMC_SDNWE",""
"32","PC4","I/O","","","","","","","","I2S1_MCK","","","SPDIFRX_IN2","","","ETH_RXD0","FMC_SDNE0",""
"33","PC5","I/O","","","","","","","","","","","SPDIFRX_IN3","","","ETH_RXD1","FMC_SDCKE0",""
"34","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","UART4_CTS","","USB_OTG_HS_ULPI_D1","ETH_RXD2","",""
"35","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","ETH_RXD3","",""
"36","PB2","I/O","","","","","","","","","SAI1_SD_A","I2S3_SD/SPI3_MOSI","","QUADSPI_CLK","","","",""
"37","PE7","I/O","","","","TIM1_ETR","","","","","","","UART7_RX","","QUADSPI_BK2_IO0","","FMC_D4/FMC_DA4",""
"38","PE8","I/O","","","","TIM1_CH1N","","","","","","","UART7_TX","","QUADSPI_BK2_IO1","","FMC_D5/FMC_DA5",""
