"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","PC14/OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"A2","PC13","I/O","","","","","","","","","","","","","","","","",""
"A3","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","ETH_TXD3","FMC_A23","",""
"A4","PB9","I/O","","","","I2C4_SDA","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","DFSDM1_DATIN7","UART5_TX","","CAN1_TX","SDMMC2_D5","I2C4_SMBA","SDMMC1_D5","DCMI_D7","LTDC_B7"
"A5","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","DFSDM1_CKIN5","USART1_RX","","","","I2C4_SDA","FMC_NL","DCMI_VSYNC",""
"A6","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S2_WS/SPI2_NSS","SPI6_MISO","","SDMMC2_D3","CAN3_TX","UART7_TX","",""
"A7","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","SPI6_SCK","","SDMMC2_D2","CAN3_RX","UART7_RX","",""
"A8","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SPI6_NSS","UART4_DE/UART4_RTS","","","CAN3_TX","UART7_TX","",""
"A9","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","",""
"A10","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","",""
"B1","PC15/OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"B2","VBAT","Power","","","","","","","","","","","","","","","","",""
"B3","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19","",""
"B4","PB8","I/O","","","","I2C4_SCL","TIM4_CH3","TIM10_CH1","I2C1_SCL","","DFSDM1_CKIN7","UART5_RX","","CAN1_RX","SDMMC2_D4","ETH_TXD3","SDMMC1_D4","DCMI_D6","LTDC_B6"
"B5","PB6","I/O","","","","UART5_TX","TIM4_CH1","CEC","I2C1_SCL","","DFSDM1_DATIN5","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","I2C4_SCL","FMC_SDNE1","DCMI_D5",""
"B6","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FMC_NWE","",""
"B7","PD2","I/O","","","SYS_TRACED2","","TIM3_ETR","","","","","","UART5_RX","","","","SDMMC1_CMD","DCMI_D11",""
"B8","PC11","I/O","","","","","","DFSDM1_DATIN5","","","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDMMC1_D3","DCMI_D4",""
"B9","PC10","I/O","","","","","","DFSDM1_CKIN5","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDMMC1_D2","DCMI_D8","LTDC_R2"
"B10","PA12","I/O","","","","TIM1_ETR","","","","I2S2_CK/SPI2_SCK","UART4_TX","USART1_DE/USART1_RTS","SAI2_FS_B","CAN1_TX","USB_OTG_FS_DP","","","","LTDC_R5"
"C1","PH0/OSC_IN","I/O","","","","","","","","","","","","","","","","",""
"C2","VSS","Power","","","","","","","","","","","","","","","","",""
