"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"1","PB7","I/O","","","USART1_RX","SPI2_MOSI","TIM17_CH1N","","","LPTIM1_IN2","I2C1_SDA","EVENTOUT"
"1","PB8","I/O","","","","SPI2_SCK","TIM16_CH1","","","","I2C1_SCL","EVENTOUT"
"1","PB9","I/O","","","IR_OUT","","TIM17_CH1","","","SPI2_NSS","I2C1_SDA","EVENTOUT"
"2","VBAT","Power","","","","","","","","","",""
"3","VSS/VSSA","MonoIO","","","","","","","","","",""
"4","NRST","MonoIO","","","","","","","","","",""
"4","PA0","I/O","","","SPI2_SCK","","TIM2_CH1/TIM2_ETR","","","LPTIM1_OUT","",""
"4","PA1","I/O","","","I2S1_CK/SPI1_SCK","","TIM2_CH2","","","","I2C1_SMBA","EVENTOUT"
"4","PA2","I/O","","","I2S1_SD/SPI1_MOSI","","TIM2_CH3","","","","LPUART1_TX",""
"5","PB0","I/O","","","I2S1_WS/SPI1_NSS","TIM3_CH3","TIM1_CH2N","","","LPTIM1_OUT","",""
"5","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","LPTIM2_IN1","LPUART1_DE/LPUART1_RTS","EVENTOUT"
"5","PA8","I/O","","","RCC_MCO","SPI2_NSS","TIM1_CH1","","","LPTIM2_OUT","","EVENTOUT"
"5","PA11 [PA9]","I/O","","","I2S1_MCK/SPI1_MISO","USART1_CTS/USART1_NSS","TIM1_CH4","","","TIM1_BK2","I2C2_SCL",""
"6","PA12 [PA10]","I/O","","","I2S1_SD/SPI1_MOSI","USART1_CK/USART1_DE/USART1_RTS","TIM1_ETR","","","I2S_CKIN","I2C2_SDA",""
"7","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","","EVENTOUT"
"8","PA14-BOOT0","I/O","","","SYS_SWCLK","","","","","","","EVENTOUT"
"8","PA15","I/O","","","I2S1_WS/SPI1_NSS","","TIM2_CH1/TIM2_ETR","","","","","EVENTOUT"
"8","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BK","","","LPTIM1_IN1","I2C1_SMBA",""
"8","PB6","I/O","","","USART1_TX","TIM1_CH3","TIM16_CH1N","","SPI2_MISO","LPTIM1_ETR","I2C1_SCL","EVENTOUT"
