"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PC11","I/O","","","USART3_RX","USART4_RX","TIM1_CH4","","","","",""
"2","PC12","I/O","","","","","TIM14_CH1","","","","",""
"3","PC13","I/O","","","","","TIM1_BK","","","","",""
"4","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"5","PC15-OSC32_OUT (PC15)","I/O","","","RCC_OSC32_EN","RCC_OSC_EN","TIM15_BK","","","","",""
"6","VBAT","Power","","","","","","","","","",""
"7","VREF+","MonoIO","","","","","","","","","",""
"8","VDD","Power","","","","","","","","","",""
"9","VSS","Power","","","","","","","","","",""
"10","PF0-OSC_IN (PF0)","I/O","","","","","TIM14_CH1","","","","",""
"11","PF1-OSC_OUT (PF1)","I/O","","","RCC_OSC_EN","","TIM15_CH1N","","","","",""
"12","NRST","I/O","","","","","","","","","",""
"13","PC0","I/O","","","","","","","","","",""
"14","PC1","I/O","","","","","TIM15_CH1","","","","",""
"15","PC2","I/O","","","","SPI2_MISO","TIM15_CH2","","","","",""
"16","PC3","I/O","","","","SPI2_MOSI","","","","","",""
"17","PA0","I/O","","","SPI2_SCK","USART2_CTS/USART2_NSS","","","USART4_TX","","",""
"18","PA1","I/O","","","I2S1_CK/SPI1_SCK","USART2_CK/USART2_DE/USART2_RTS","","","USART4_RX","TIM15_CH1N","I2C1_SMBA","EVENTOUT"
"19","PA2","I/O","","","I2S1_SD/SPI1_MOSI","USART2_TX","","","","TIM15_CH1","",""
"20","PA3","I/O","","","SPI2_MISO","USART2_RX","","","","TIM15_CH2","","EVENTOUT"
"21","PA4","I/O","","","I2S1_WS/SPI1_NSS","SPI2_MOSI","","","TIM14_CH1","","","EVENTOUT"
"22","PA5","I/O","","","I2S1_CK/SPI1_SCK","","","","USART3_TX","","","EVENTOUT"
"23","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BK","","USART3_CTS/USART3_NSS","TIM16_CH1","",""
"24","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","",""
"25","PC4","I/O","","","USART3_TX","USART1_TX","","","","","",""
