"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","","USART4_CK/USART4_DE/USART4_RTS","USART3_CK/USART3_DE/USART3_RTS","","EVENTOUT"
"A2","PA14-BOOT0","I/O","","","SYS_SWCLK","USART2_TX","","","","","","EVENTOUT"
"A3","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BK","","","LPTIM1_IN1","I2C1_SMBA","COMP2_OUT"
"A4","PB7","I/O","","","USART1_RX","SPI2_MOSI","TIM17_CH1N","","USART4_CTS/USART4_NSS","LPTIM1_IN2","I2C1_SDA","EVENTOUT"
"A5","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"B1","PA12 [PA10]","I/O","","","I2S1_SD/SPI1_MOSI","USART1_CK/USART1_DE/USART1_RTS","TIM1_ETR","","","I2S_CKIN","I2C2_SDA","COMP2_OUT"
"B2","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","","EVENTOUT"
"B3","PB6","I/O","","","USART1_TX","TIM1_CH3","TIM16_CH1N","","SPI2_MISO","LPTIM1_ETR","I2C1_SCL","EVENTOUT"
"B4","PB8","I/O","","","CEC","SPI2_SCK","TIM16_CH1","","USART3_TX","TIM15_BK","I2C1_SCL","EVENTOUT"
"B5","PC15-OSC32_OUT (PC15)","I/O","","","RCC_OSC32_EN","RCC_OSC_EN","TIM15_BK","","","","",""
"C1","PA11 [PA9]","I/O","","","I2S1_MCK/SPI1_MISO","USART1_CTS/USART1_NSS","TIM1_CH4","","","TIM1_BK2","I2C2_SCL","COMP1_OUT"
"C2","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BK","","USART3_CTS/USART3_NSS","TIM16_CH1","LPUART1_CTS","COMP1_OUT"
"C3","PA3","I/O","","","SPI2_MISO","USART2_RX","TIM2_CH4","","","TIM15_CH2","LPUART1_RX","EVENTOUT"
"C4","PA0","I/O","","","SPI2_SCK","USART2_CTS/USART2_NSS","TIM2_CH1/TIM2_ETR","","USART4_TX","LPTIM1_OUT","","COMP1_OUT"
"C5","VDD","Power","","","","","","","","","",""
"D1","PA8","I/O","","","RCC_MCO","SPI2_NSS","TIM1_CH1","","","LPTIM2_OUT","","EVENTOUT"
"D2","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","","COMP2_OUT"
"D3","PA4","I/O","","","I2S1_WS/SPI1_NSS","SPI2_MOSI","","","TIM14_CH1","LPTIM2_OUT","","EVENTOUT"
"D4","PA1","I/O","","","I2S1_CK/SPI1_SCK","USART2_CK/USART2_DE/USART2_RTS","TIM2_CH2","","USART4_RX","TIM15_CH1N","I2C1_SMBA","EVENTOUT"
"D5","VSS","Power","","","","","","","","","",""
"E1","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","USART3_CK/USART3_DE/USART3_RTS","LPTIM2_IN1","LPUART1_DE/LPUART1_RTS","EVENTOUT"
"E2","PB0","I/O","","","I2S1_WS/SPI1_NSS","TIM3_CH3","TIM1_CH2N","","USART3_RX","LPTIM1_OUT","","COMP1_OUT"
"E3","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","","USART3_TX","LPTIM2_ETR","","EVENTOUT"
"E4","PA2","I/O","","","I2S1_SD/SPI1_MOSI","USART2_TX","TIM2_CH3","","","TIM15_CH1","LPUART1_TX","COMP2_OUT"
"E5","PF2 - NRST","I/O","","","RCC_MCO","","","","","","",""
