"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PB9","I/O","","","IR_OUT","","TIM17_CH1","","USART3_RX","SPI2_NSS","I2C1_SDA","EVENTOUT"
"2","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"3","PC15-OSC32_OUT (PC15)","I/O","","","RCC_OSC32_EN","RCC_OSC_EN","TIM15_BK","","","","",""
"4","VDD","Power","","","","","","","","","",""
"5","VSS","Power","","","","","","","","","",""
"6","PF2 - NRST","I/O","","","RCC_MCO","","","","","","",""
"7","PA0","I/O","","","SPI2_SCK","USART2_CTS/USART2_NSS","TIM2_CH1/TIM2_ETR","","USART4_TX","LPTIM1_OUT","","COMP1_OUT"
"8","PA1","I/O","","","I2S1_CK/SPI1_SCK","USART2_CK/USART2_DE/USART2_RTS","TIM2_CH2","","USART4_RX","TIM15_CH1N","I2C1_SMBA","EVENTOUT"
"9","PA2","I/O","","","I2S1_SD/SPI1_MOSI","USART2_TX","TIM2_CH3","","","TIM15_CH1","LPUART1_TX","COMP2_OUT"
"10","PA3","I/O","","","SPI2_MISO","USART2_RX","TIM2_CH4","","","TIM15_CH2","LPUART1_RX","EVENTOUT"
"11","PA4","I/O","","","I2S1_WS/SPI1_NSS","SPI2_MOSI","","","TIM14_CH1","LPTIM2_OUT","","EVENTOUT"
"12","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","","USART3_TX","LPTIM2_ETR","","EVENTOUT"
"13","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BK","","USART3_CTS/USART3_NSS","TIM16_CH1","LPUART1_CTS","COMP1_OUT"
"14","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","","COMP2_OUT"
"15","PB0","I/O","","","I2S1_WS/SPI1_NSS","TIM3_CH3","TIM1_CH2N","","USART3_RX","LPTIM1_OUT","","COMP1_OUT"
"16","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","USART3_CK/USART3_DE/USART3_RTS","LPTIM2_IN1","LPUART1_DE/LPUART1_RTS","EVENTOUT"
"17","PB15","I/O","","","SPI2_MOSI","","TIM1_CH3N","","TIM15_CH1N","TIM15_CH2","","EVENTOUT"
"18","PA8","I/O","","","RCC_MCO","SPI2_NSS","TIM1_CH1","","","LPTIM2_OUT","","EVENTOUT"
"19","PA9","I/O","","","RCC_MCO","USART1_TX","TIM1_CH2","","SPI2_MISO","TIM15_BK","I2C1_SCL","EVENTOUT"
"20","PC6","I/O","","","","TIM3_CH1","TIM2_CH3","","","","",""
"21","PA10","I/O","","","SPI2_MOSI","USART1_RX","TIM1_CH3","","","TIM17_BK","I2C1_SDA","EVENTOUT"
"22","PA11 [PA9]","I/O","","","I2S1_MCK/SPI1_MISO","USART1_CTS/USART1_NSS","TIM1_CH4","","","TIM1_BK2","I2C2_SCL","COMP1_OUT"
"23","PA12 [PA10]","I/O","","","I2S1_SD/SPI1_MOSI","USART1_CK/USART1_DE/USART1_RTS","TIM1_ETR","","","I2S_CKIN","I2C2_SDA","COMP2_OUT"
"24","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","","EVENTOUT"
"25","PA14-BOOT0","I/O","","","SYS_SWCLK","USART2_TX","","","","","","EVENTOUT"
"26","PD0","I/O","","","EVENTOUT","SPI2_NSS","TIM16_CH1","","","","",""
"27","PD1","I/O","","","EVENTOUT","SPI2_SCK","TIM17_CH1","","","","",""
"28","PD2","I/O","","","USART3_CK/USART3_DE/USART3_RTS","TIM3_ETR","TIM1_CH1N","","","","",""
"29","PD3","I/O","","","USART2_CTS/USART2_NSS","SPI2_MISO","TIM1_CH2N","","","","",""
"30","PB6","I/O","","","USART1_TX","TIM1_CH3","TIM16_CH1N","","SPI2_MISO","LPTIM1_ETR","I2C1_SCL","EVENTOUT"
"31","PB7","I/O","","","USART1_RX","SPI2_MOSI","TIM17_CH1N","","USART4_CTS/USART4_NSS","LPTIM1_IN2","I2C1_SDA","EVENTOUT"
"32","PB8","I/O","","","CEC","SPI2_SCK","TIM16_CH1","","USART3_TX","TIM15_BK","I2C1_SCL","EVENTOUT"
