"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PC11","I/O","","","USART3_RX","USART4_RX","TIM1_CH4","","","","",""
"A2","PC10","I/O","","","USART3_TX","USART4_TX","TIM1_CH3","","","","",""
"A3","PB7","I/O","","","USART1_RX","SPI2_MOSI","TIM17_CH1N","","USART4_CTS/USART4_NSS","LPTIM1_IN2","I2C1_SDA","EVENTOUT"
"A4","PB6","I/O","","","USART1_TX","TIM1_CH3","TIM16_CH1N","","SPI2_MISO","LPTIM1_ETR","I2C1_SCL","EVENTOUT"
"A5","PD6","I/O","","","USART2_RX","I2S1_SD/SPI1_MOSI","LPTIM2_OUT","","","","",""
"A6","PD2","I/O","","","USART3_CK/USART3_DE/USART3_RTS","TIM3_ETR","TIM1_CH1N","","","","",""
"A7","PD0","I/O","","","EVENTOUT","SPI2_NSS","TIM16_CH1","","","","",""
"A8","PC8","I/O","","","","TIM3_CH3","TIM1_CH1","","","","",""
"B1","PC15-OSC32_OUT (PC15)","I/O","","","RCC_OSC32_EN","RCC_OSC_EN","TIM15_BK","","","","",""
"B2","PC12","I/O","","","LPTIM1_IN1","","TIM14_CH1","","","","",""
"B3","PB8","I/O","","","CEC","SPI2_SCK","TIM16_CH1","","USART3_TX","TIM15_BK","I2C1_SCL","EVENTOUT"
"B4","PB3","I/O","","","I2S1_CK/SPI1_SCK","TIM1_CH2","TIM2_CH2","","USART1_CK/USART1_DE/USART1_RTS","","","EVENTOUT"
"B5","PD5","I/O","","","USART2_TX","I2S1_MCK/SPI1_MISO","TIM1_BK","","","","",""
"B6","PD1","I/O","","","EVENTOUT","SPI2_SCK","TIM17_CH1","","","","",""
"B7","PC9","I/O","","","I2S_CKIN","TIM3_CH4","TIM1_CH2","","","","",""
"B8","PA12 [PA10]","I/O","","","I2S1_SD/SPI1_MOSI","USART1_CK/USART1_DE/USART1_RTS","TIM1_ETR","","","I2S_CKIN","I2C2_SDA","COMP2_OUT"
"C1","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"C2","PC13","I/O","","","","","TIM1_BK","","","","",""
"C3","PB9","I/O","","","IR_OUT","","TIM17_CH1","","USART3_RX","SPI2_NSS","I2C1_SDA","EVENTOUT"
"C4","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","","","USART1_CTS/USART1_NSS","TIM17_BK","","EVENTOUT"
"C5","PD4","I/O","","","USART2_CK/USART2_DE/USART2_RTS","SPI2_MOSI","TIM1_CH3N","","","","",""
