"Position","Name","Type","Signal","Label"
"A1","PA15","I/O","",""
"A2","PC11","I/O","",""
"A3","PB3","I/O","",""
"A4","PB5","I/O","",""
"A5","PB7","I/O","",""
"A6","VSS","Power","",""
"A7","VDD","Power","",""
"B1","PA12","I/O","",""
"B2","PA13","I/O","",""
"B3","PA14","I/O","",""
"B4","PB4","I/O","",""
"B5","PB8-BOOT0","I/O","",""
"B6","PB9","I/O","",""
"B7","VBAT","Power","",""
"C1","PA11","I/O","",""
"C2","PA10","I/O","",""
"C3","PA9","I/O","",""
"C4","PB6","I/O","",""
"C5","PC13","I/O","",""
"C6","PG10-NRST","I/O","",""
"C7","PC14-OSC32_IN","I/O","",""
"D1","PC6","I/O","",""
"D2","PA8","I/O","",""
"D3","PB14","I/O","",""
"D4","PC4","I/O","",""
"D5","PA7","I/O","",""
"D6","PA1","I/O","",""
"D7","PC15-OSC32_OUT","I/O","",""
"E1","PB15","I/O","",""
"E2","PB13","I/O","",""
"E3","PB11","I/O","",""
"E4","PB1","I/O","",""
"E5","PA4","I/O","",""
"E6","PF1-OSC_OUT","I/O","",""
"E7","PF0-OSC_IN","I/O","",""
"F1","PB12","I/O","",""
"F2","PB10","I/O","",""
"F3","VREF+","MonoIO","",""
"F4","PB2","I/O","",""
"F5","PA5","I/O","",""
"F6","PA2","I/O","",""
"F7","PA0","I/O","",""
"G1","VDD","Power","",""
"G2","VSS","Power","",""
"G3","VDDA","Power","",""
"G4","VSSA","Power","",""
"G5","PB0","I/O","",""
"G6","PA6","I/O","",""
"G7","PA3","I/O","",""
