"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VDD","Power","","","","","","","","","","","","","","","","","",""
"2","PF0-OSC_IN","I/O","","","","","","","I2C2_SDA","I2S2_WS/SPI2_NSS","TIM1_CH3N","","","","","","","","","EVENTOUT"
"3","PF1-OSC_OUT","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","","","","","EVENTOUT"
"4","PG10-NRST","I/O","","","RCC_MCO","","","","","","","","","","","","","","","EVENTOUT"
"5","PA0","I/O","","","","TIM2_CH1","","","","","","USART2_CTS/USART2_NSS","COMP1_OUT","TIM8_BKIN","TIM8_ETR","","","","TIM2_ETR","EVENTOUT"
"6","PA1","I/O","","","RTC_REFIN","TIM2_CH2","","","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"7","PA2","I/O","","","","TIM2_CH3","","","","","","USART2_TX","COMP2_OUT","TIM15_CH1","","","LPUART1_TX","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"8","PA3","I/O","","","","TIM2_CH4","","SAI1_CK1","","","","USART2_RX","","TIM15_CH2","","","LPUART1_RX","SAI1_MCLK_A","","EVENTOUT"
"9","PA4","I/O","","","","","TIM3_CH2","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","SAI1_FS_B","","EVENTOUT"
"10","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","","","SPI1_SCK","","","","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"11","PA6","I/O","","","","TIM16_CH1","TIM3_CH1","","TIM8_BKIN","SPI1_MISO","TIM1_BKIN","","COMP1_OUT","","","","LPUART1_CTS","","","EVENTOUT"
"12","PA7","I/O","","","","TIM17_CH1","TIM3_CH2","","TIM8_CH1N","SPI1_MOSI","TIM1_CH1N","","COMP2_OUT","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"13","PB0","I/O","","","","","TIM3_CH3","","TIM8_CH2N","","TIM1_CH2N","","","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"14","VSSA","Power","","","","","","","","","","","","","","","","","",""
"15","VDDA","Power","","","","","","","","","","","","","","","","","",""
"16","VSS","Power","","","","","","","","","","","","","","","","","",""
"17","VDD","Power","","","","","","","","","","","","","","","","","",""
"18","PA8","I/O","","","RCC_MCO","","I2C3_SCL","","I2C2_SDA","I2S2_MCK","TIM1_CH1","USART1_CK","","","TIM4_ETR","","SAI1_CK2","","SAI1_SCK_A","EVENTOUT"
"19","PA9","I/O","","","","","I2C3_SMBA","","I2C2_SCL","I2S3_MCK","TIM1_CH2","USART1_TX","","TIM15_BKIN","TIM2_CH3","","","","SAI1_FS_A","EVENTOUT"
"20","PA10","I/O","","","","TIM17_BKIN","","CRS_SYNC","I2C2_SMBA","SPI2_MISO","TIM1_CH3","USART1_RX","","","TIM2_CH4","TIM8_BKIN","SAI1_D1","","SAI1_SD_A","EVENTOUT"
"21","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS/USART1_NSS","COMP1_OUT","FDCAN1_RX","TIM4_CH1","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
"22","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","FDCAN1_TX","TIM4_CH2","TIM1_ETR","","","","EVENTOUT"
"23","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","","I2C1_SCL","IR_OUT","","","","","TIM4_CH3","","","SAI1_SD_B","","EVENTOUT"
"24","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SDA","TIM8_CH2","TIM1_BKIN","USART2_TX","","","","","","SAI1_FS_B","","EVENTOUT"
"25","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM8_CH1","","I2C1_SCL","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_RX","","TIM1_BKIN","","","","","TIM2_ETR","EVENTOUT"
"26","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","TIM4_ETR","CRS_SYNC","TIM8_CH1N","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","","","","SAI1_SCK_B","EVENTOUT"
"27","PB4","I/O","","","SYS_JTRST","TIM16_CH1","TIM3_CH1","","TIM8_CH2N","SPI1_MISO","SPI3_MISO","USART2_RX","","","TIM17_BKIN","","","","SAI1_MCLK_B","EVENTOUT"
"28","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","TIM8_CH3N","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","","TIM17_CH1","LPTIM1_IN1","SAI1_SD_B","","","EVENTOUT"
"29","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","","","TIM8_CH1","TIM8_ETR","USART1_TX","COMP4_OUT","","TIM8_BKIN2","LPTIM1_ETR","","","SAI1_FS_B","EVENTOUT"
"30","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","","I2C1_SDA","TIM8_BKIN","","USART1_RX","COMP3_OUT","","TIM3_CH4","LPTIM1_IN2","","","","EVENTOUT"
"31","PB8-BOOT0","I/O","","","","TIM16_CH1","TIM4_CH3","SAI1_CK1","I2C1_SCL","","","","COMP1_OUT","FDCAN1_RX","TIM8_CH2","","TIM1_BKIN","","SAI1_MCLK_A","EVENTOUT"
"32","VSS","Power","","","","","","","","","","","","","","","","","",""
