"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","TIM1_BKIN","","TIM1_CH1N","","TIM8_CH4N","","","","","","","","","EVENTOUT"
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"5","PF0-OSC_IN","I/O","","","","","","","I2C2_SDA","I2S2_WS/SPI2_NSS","TIM1_CH3N","","","","","","","","","EVENTOUT"
"6","PF1-OSC_OUT","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","","","","","EVENTOUT"
"7","PG10-NRST","I/O","","","RCC_MCO","","","","","","","","","","","","","","","EVENTOUT"
"8","PA0","I/O","","","","TIM2_CH1","TIM5_CH1","","","","","USART2_CTS/USART2_NSS","COMP1_OUT","TIM8_BKIN","TIM8_ETR","","","","TIM2_ETR","EVENTOUT"
"9","PA1","I/O","","","RTC_REFIN","TIM2_CH2","TIM5_CH2","","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"10","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","","","","","USART2_TX","COMP2_OUT","TIM15_CH1","QUADSPI1_BK1_NCS","","LPUART1_TX","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"11","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","SAI1_CK1","","","","USART2_RX","","TIM15_CH2","QUADSPI1_CLK","","LPUART1_RX","SAI1_MCLK_A","","EVENTOUT"
"12","PA4","I/O","","","","","TIM3_CH2","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","SAI1_FS_B","","EVENTOUT"
"13","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","","","SPI1_SCK","","","","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"14","PA6","I/O","","","","TIM16_CH1","TIM3_CH1","","TIM8_BKIN","SPI1_MISO","TIM1_BKIN","","COMP1_OUT","","QUADSPI1_BK1_IO3","","LPUART1_CTS","","","EVENTOUT"
"15","PA7","I/O","","","","TIM17_CH1","TIM3_CH2","","TIM8_CH1N","SPI1_MOSI","TIM1_CH1N","","COMP2_OUT","","QUADSPI1_BK1_IO2","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"16","PC4","I/O","","","","","TIM1_ETR","","I2C2_SCL","","","USART1_TX","","","QUADSPI1_BK2_IO3","","","","","EVENTOUT"
"17","PB0","I/O","","","","","TIM3_CH3","","TIM8_CH2N","","TIM1_CH2N","","","","QUADSPI1_BK1_IO1","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"18","PB1","I/O","","","","","TIM3_CH4","","TIM8_CH3N","","TIM1_CH3N","","COMP4_OUT","","QUADSPI1_BK1_IO0","","LPUART1_DE/LPUART1_RTS","","","EVENTOUT"
"19","PB2","I/O","","","RTC_OUT2","LPTIM1_OUT","TIM5_CH1","TIM20_CH1","I2C3_SMBA","","","","","","QUADSPI1_BK2_IO1","","","","","EVENTOUT"
"20","VREF+","MonoIO","","","","","","","","","","","","","","","","","",""
"21","VDDA","Power","","","","","","","","","","","","","","","","","",""
"22","PB10","I/O","","","","TIM2_CH3","","","","","","USART3_TX","LPUART1_RX","","QUADSPI1_CLK","","TIM1_BKIN","","SAI1_SCK_A","EVENTOUT"
"23","VDD","Power","","","","","","","","","","","","","","","","","",""
"24","PB11","I/O","","","","TIM2_CH4","","","","","","USART3_RX","LPUART1_TX","","QUADSPI1_BK1_NCS","","","","","EVENTOUT"
"25","PB12","I/O","","","","","TIM5_ETR","","I2C2_SMBA","I2S2_WS/SPI2_NSS","TIM1_BKIN","USART3_CK","LPUART1_DE/LPUART1_RTS","FDCAN2_RX","","","","","","EVENTOUT"
"26","PB13","I/O","","","","","","","","I2S2_CK/SPI2_SCK","TIM1_CH1N","USART3_CTS/USART3_NSS","LPUART1_CTS","FDCAN2_TX","","","","","","EVENTOUT"
"27","PB14","I/O","","","","TIM15_CH1","","","","SPI2_MISO","TIM1_CH2N","USART3_DE/USART3_RTS","COMP4_OUT","","","","","","","EVENTOUT"
"28","PB15","I/O","","","RTC_REFIN","TIM15_CH2","TIM15_CH1N","COMP3_OUT","TIM1_CH3N","I2S2_SD/SPI2_MOSI","","","","","","","","","","EVENTOUT"
"29","PC6","I/O","","","","","TIM3_CH1","","TIM8_CH1","","I2S2_MCK","COMP6_OUT","I2C4_SCL","","","","","","","EVENTOUT"
"30","PA8","I/O","","","RCC_MCO","","I2C3_SCL","","I2C2_SDA","I2S2_MCK","TIM1_CH1","USART1_CK","COMP7_OUT","","TIM4_ETR","FDCAN3_RX","SAI1_CK2","","SAI1_SCK_A","EVENTOUT"
"31","PA9","I/O","","","","","I2C3_SMBA","","I2C2_SCL","I2S3_MCK","TIM1_CH2","USART1_TX","COMP5_OUT","TIM15_BKIN","TIM2_CH3","","","","SAI1_FS_A","EVENTOUT"
"32","PA10","I/O","","","","TIM17_BKIN","","CRS_SYNC","I2C2_SMBA","SPI2_MISO","TIM1_CH3","USART1_RX","COMP6_OUT","","TIM2_CH4","TIM8_BKIN","SAI1_D1","","SAI1_SD_A","EVENTOUT"
"33","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS/USART1_NSS","COMP1_OUT","FDCAN1_RX","TIM4_CH1","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
"34","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","FDCAN1_TX","TIM4_CH2","TIM1_ETR","","","","EVENTOUT"
"35","VDD","Power","","","","","","","","","","","","","","","","","",""
"36","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","I2C4_SCL","I2C1_SCL","IR_OUT","","USART3_CTS/USART3_NSS","","","TIM4_CH3","","","SAI1_SD_B","","EVENTOUT"
"37","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","I2C4_SMBA","I2C1_SDA","TIM8_CH2","TIM1_BKIN","USART2_TX","","","","","","SAI1_FS_B","","EVENTOUT"
"38","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM8_CH1","","I2C1_SCL","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_RX","","TIM1_BKIN","","FDCAN3_TX","","","TIM2_ETR","EVENTOUT"
"39","PC10","I/O","","","","","","","TIM8_CH1N","","I2S3_CK/SPI3_SCK","USART3_TX","","","","","","","","EVENTOUT"
"40","PC11","I/O","","","","","","","TIM8_CH2N","","SPI3_MISO","USART3_RX","I2C3_SDA","","","","","","","EVENTOUT"
"41","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","TIM4_ETR","CRS_SYNC","TIM8_CH1N","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","FDCAN3_RX","","","SAI1_SCK_B","EVENTOUT"
"42","PB4","I/O","","","SYS_JTRST","TIM16_CH1","TIM3_CH1","","TIM8_CH2N","SPI1_MISO","SPI3_MISO","USART2_RX","","","TIM17_BKIN","FDCAN3_TX","","","SAI1_MCLK_B","EVENTOUT"
"43","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","TIM8_CH3N","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","FDCAN2_RX","TIM17_CH1","LPTIM1_IN1","SAI1_SD_B","","","EVENTOUT"
"44","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","","","TIM8_CH1","TIM8_ETR","USART1_TX","COMP4_OUT","FDCAN2_TX","TIM8_BKIN2","LPTIM1_ETR","","","SAI1_FS_B","EVENTOUT"
"45","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","I2C4_SDA","I2C1_SDA","TIM8_BKIN","","USART1_RX","COMP3_OUT","","TIM3_CH4","LPTIM1_IN2","","","","EVENTOUT"
