"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PE4","I/O","","","SYS_TRACED1","","TIM3_CH3","SAI1_D2","","SPI4_NSS","TIM20_CH1N","","","","","","FMC_A20","SAI1_FS_A","","EVENTOUT"
"A2","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","SAI1_D2","I2C1_SDA","","IR_OUT","USART3_TX","COMP2_OUT","FDCAN1_TX","TIM8_CH3","","TIM1_CH3N","","SAI1_FS_A","EVENTOUT"
"A3","PB8-BOOT0","I/O","","","","TIM16_CH1","TIM4_CH3","SAI1_CK1","I2C1_SCL","","","USART3_RX","COMP1_OUT","FDCAN1_RX","TIM8_CH2","","TIM1_BKIN","","SAI1_MCLK_A","EVENTOUT"
"A4","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","","","TIM8_CH1","TIM8_ETR","USART1_TX","COMP4_OUT","FDCAN2_TX","TIM8_BKIN2","LPTIM1_ETR","","","SAI1_FS_B","EVENTOUT"
"A5","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","TIM4_ETR","CRS_SYNC","TIM8_CH1N","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","FDCAN3_RX","","","SAI1_SCK_B","EVENTOUT"
"A6","PD6","I/O","","","","","TIM2_CH4","SAI1_D1","","","","USART2_RX","","","QUADSPI1_BK2_IO2","","FMC_NWAIT","SAI1_SD_A","","EVENTOUT"
"A7","PD5","I/O","","","","","","","","","","USART2_TX","","","QUADSPI1_BK2_IO1","","FMC_NWE","","","EVENTOUT"
"A8","PD4","I/O","","","","","TIM2_CH2","","","","","USART2_DE/USART2_RTS","","","QUADSPI1_BK2_IO0","","FMC_NOE","","","EVENTOUT"
"A9","PD1","I/O","","","","","","","TIM8_CH4","","TIM8_BKIN2","","","FDCAN1_TX","","","FMC_D3/FMC_DA3","","","EVENTOUT"
"A10","PC12","I/O","","","","TIM5_CH2","","","TIM8_CH3N","UART5_TX","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
