"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","TIM1_BKIN","","TIM1_CH1N","","TIM8_CH4N","","","","","","","","","EVENTOUT"
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"5","PF0-OSC_IN","I/O","","","","","","","I2C2_SDA","I2S2_WS/SPI2_NSS","TIM1_CH3N","","","","","","","","","EVENTOUT"
"6","PF1-OSC_OUT","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","","","","","EVENTOUT"
"7","PG10-NRST","I/O","","","RCC_MCO","","","","","","","","","","","","","","","EVENTOUT"
"8","PC0","I/O","","","","LPTIM1_IN1","TIM1_CH1","","","","","","LPUART1_RX","","","","","","","EVENTOUT"
"9","PC1","I/O","","","","LPTIM1_OUT","TIM1_CH2","","","","","","LPUART1_TX","","QUADSPI1_BK2_IO0","","","SAI1_SD_A","","EVENTOUT"
"10","PC2","I/O","","","","LPTIM1_IN2","TIM1_CH3","COMP3_OUT","","","TIM20_CH2","","","","QUADSPI1_BK2_IO1","","","","","EVENTOUT"
"11","PC3","I/O","","","","LPTIM1_ETR","TIM1_CH4","SAI1_D1","","","TIM1_BKIN2","","","","QUADSPI1_BK2_IO2","","","SAI1_SD_A","","EVENTOUT"
"12","PA0","I/O","","","","TIM2_CH1","TIM5_CH1","","","","","USART2_CTS/USART2_NSS","COMP1_OUT","TIM8_BKIN","TIM8_ETR","","","","TIM2_ETR","EVENTOUT"
"13","PA1","I/O","","","RTC_REFIN","TIM2_CH2","TIM5_CH2","","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"14","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","","","","","USART2_TX","COMP2_OUT","TIM15_CH1","QUADSPI1_BK1_NCS","","LPUART1_TX","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"15","VSS","Power","","","","","","","","","","","","","","","","","",""
"16","VDD","Power","","","","","","","","","","","","","","","","","",""
"17","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","SAI1_CK1","","","","USART2_RX","","TIM15_CH2","QUADSPI1_CLK","","LPUART1_RX","SAI1_MCLK_A","","EVENTOUT"
"18","PA4","I/O","","","","","TIM3_CH2","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","SAI1_FS_B","","EVENTOUT"
"19","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","","","SPI1_SCK","","","","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"20","PA6","I/O","","","","TIM16_CH1","TIM3_CH1","","TIM8_BKIN","SPI1_MISO","TIM1_BKIN","","COMP1_OUT","","QUADSPI1_BK1_IO3","","LPUART1_CTS","","","EVENTOUT"
"21","PA7","I/O","","","","TIM17_CH1","TIM3_CH2","","TIM8_CH1N","SPI1_MOSI","TIM1_CH1N","","COMP2_OUT","","QUADSPI1_BK1_IO2","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"22","PC4","I/O","","","","","TIM1_ETR","","I2C2_SCL","","","USART1_TX","","","QUADSPI1_BK2_IO3","","","","","EVENTOUT"
"23","PC5","I/O","","","","","TIM15_BKIN","SAI1_D3","","","TIM1_CH4N","USART1_RX","","","","","","HRTIM1_EEV10","","EVENTOUT"
"24","PB0","I/O","","","","","TIM3_CH3","","TIM8_CH2N","","TIM1_CH2N","","","","QUADSPI1_BK1_IO1","","","HRTIM1_FLT5","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"25","PB1","I/O","","","","","TIM3_CH4","","TIM8_CH3N","","TIM1_CH3N","","COMP4_OUT","","QUADSPI1_BK1_IO0","","LPUART1_DE/LPUART1_RTS","HRTIM1_SCOUT","","EVENTOUT"
"26","PB2","I/O","","","RTC_OUT2","LPTIM1_OUT","TIM5_CH1","TIM20_CH1","I2C3_SMBA","","","","","","QUADSPI1_BK2_IO1","","","HRTIM1_SCIN","","EVENTOUT"
"27","VSSA","Power","","","","","","","","","","","","","","","","","",""
"28","VREF+","MonoIO","","","","","","","","","","","","","","","","","",""
"29","VDDA","Power","","","","","","","","","","","","","","","","","",""
"30","PB10","I/O","","","","TIM2_CH3","","","","","","USART3_TX","LPUART1_RX","","QUADSPI1_CLK","","TIM1_BKIN","HRTIM1_FLT3","SAI1_SCK_A","EVENTOUT"
"31","VSS","Power","","","","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","","","","",""
"33","PB11","I/O","","","","TIM2_CH4","","","","","","USART3_RX","LPUART1_TX","","QUADSPI1_BK1_NCS","","","HRTIM1_FLT4","","EVENTOUT"
"34","PB12","I/O","","","","","TIM5_ETR","","I2C2_SMBA","I2S2_WS/SPI2_NSS","TIM1_BKIN","USART3_CK","LPUART1_DE/LPUART1_RTS","FDCAN2_RX","","","","HRTIM1_CHC1","","EVENTOUT"
"35","PB13","I/O","","","","","","","","I2S2_CK/SPI2_SCK","TIM1_CH1N","USART3_CTS/USART3_NSS","LPUART1_CTS","FDCAN2_TX","","","","HRTIM1_CHC2","","EVENTOUT"
"36","PB14","I/O","","","","TIM15_CH1","","","","SPI2_MISO","TIM1_CH2N","USART3_DE/USART3_RTS","COMP4_OUT","","","","","HRTIM1_CHD1","","EVENTOUT"
"37","PB15","I/O","","","RTC_REFIN","TIM15_CH2","TIM15_CH1N","COMP3_OUT","TIM1_CH3N","I2S2_SD/SPI2_MOSI","","","","","","","","HRTIM1_CHD2","","EVENTOUT"
"38","PC6","I/O","","","","","TIM3_CH1","HRTIM1_EEV10","TIM8_CH1","","I2S2_MCK","COMP6_OUT","I2C4_SCL","","","","","HRTIM1_CHF1","","EVENTOUT"
"39","PC7","I/O","","","","","TIM3_CH2","HRTIM1_FLT5","TIM8_CH2","","I2S3_MCK","COMP5_OUT","I2C4_SDA","","","","","HRTIM1_CHF2","","EVENTOUT"
"40","PC8","I/O","","","","","TIM3_CH3","HRTIM1_CHE1","TIM8_CH3","","TIM20_CH3","COMP7_OUT","I2C3_SCL","","","","","","","EVENTOUT"
"41","PC9","I/O","","","","","TIM3_CH4","HRTIM1_CHE2","TIM8_CH4","I2S_CKIN","TIM8_BKIN2","","I2C3_SDA","","","","","","","EVENTOUT"
"42","PA8","I/O","","","RCC_MCO","","I2C3_SCL","","I2C2_SDA","I2S2_MCK","TIM1_CH1","USART1_CK","COMP7_OUT","","TIM4_ETR","FDCAN3_RX","SAI1_CK2","HRTIM1_CHA1","SAI1_SCK_A","EVENTOUT"
"43","PA9","I/O","","","","","I2C3_SMBA","","I2C2_SCL","I2S3_MCK","TIM1_CH2","USART1_TX","COMP5_OUT","TIM15_BKIN","TIM2_CH3","","","HRTIM1_CHA2","SAI1_FS_A","EVENTOUT"
"44","PA10","I/O","","","","TIM17_BKIN","","CRS_SYNC","I2C2_SMBA","SPI2_MISO","TIM1_CH3","USART1_RX","COMP6_OUT","","TIM2_CH4","TIM8_BKIN","SAI1_D1","HRTIM1_CHB1","SAI1_SD_A","EVENTOUT"
"45","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS/USART1_NSS","COMP1_OUT","FDCAN1_RX","TIM4_CH1","TIM1_CH4","TIM1_BKIN2","HRTIM1_CHB2","","EVENTOUT"
"46","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","FDCAN1_TX","TIM4_CH2","TIM1_ETR","","HRTIM1_FLT1","","EVENTOUT"
"47","VSS","Power","","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","","",""
"49","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","I2C4_SCL","I2C1_SCL","IR_OUT","","USART3_CTS/USART3_NSS","","","TIM4_CH3","","","SAI1_SD_B","","EVENTOUT"
