"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PI4","I/O","",""
"A3","PB9","I/O","",""
"A4","PB6","I/O","",""
"A5","PG15","I/O","",""
"A6","PK5","I/O","",""
"A7","PG14","I/O","",""
"A8","PG10","I/O","",""
"A9","PG9","I/O","",""
"A10","PD7","I/O","",""
"A11","PD4","I/O","",""
"A12","PD1","I/O","",""
"A13","PC10","I/O","",""
"A14","PI3","I/O","",""
"A15","VSS","Power","",""
"B1","PE3","I/O","",""
"B2","PI5","I/O","",""
"B3","PE0","I/O","",""
"B4","PB8","I/O","",""
"B5","PB4","I/O","",""
"B6","PK6","I/O","",""
"B7","PK3","I/O","",""
"B8","PG11","I/O","",""
"B9","PJ15","I/O","",""
"B10","PD6","I/O","",""
"B11","PD2","I/O","",""
"B12","PC12","I/O","",""
"B13","PA14","I/O","",""
"B14","PH15","I/O","",""
"B15","PH14","I/O","",""
"C1","PI8","I/O","",""
"C2","PE4","I/O","",""
"C3","PI6","I/O","",""
"C4","PE1","I/O","",""
"C5","BOOT0","Boot","",""
"C6","PB3","I/O","",""
"C7","PK4","I/O","",""
"C8","PG12","I/O","",""
"C9","PJ14","I/O","",""
"C10","PD5","I/O","",""
"C11","PD0","I/O","",""
"C12","PA15","I/O","",""
"C13","PI0","I/O","",""
"C14","PA12","I/O","",""
"C15","PA11","I/O","",""
"D1","PC14-OSC32_IN","I/O","",""
"D2","PC15-OSC32_OUT","I/O","",""
"D3","PE5","I/O","",""
"D4","PI7","I/O","",""
"D5","PDR_ON","Reset","",""
"D6","PB7","I/O","",""
"D7","PK7","I/O","",""
"D8","PG13","I/O","",""
"D9","PJ13","I/O","",""
"D10","PD3","I/O","",""
"D11","PC11","I/O","",""
"D12","PI2","I/O","",""
"D13","PH13","I/O","",""
"D14","VSS","Power","",""
"D15","VDD50_USB","Power","",""
"E1","VSS","Power","",""
"E2","VBAT","Power","",""
"E3","PI9","I/O","",""
"E4","PE6","I/O","",""
"E5","PE2","I/O","",""
"E6","VCAP","Power","",""
"E7","PB5","I/O","",""
"E8","VDDMMC","Power","",""
"E9","PJ12","I/O","",""
"E10","VDDLDO","Power","",""
"E11","PI1","I/O","",""
"E12","PA13","I/O","",""
"E13","PA10","I/O","",""
"E14","PC9","I/O","",""
"E15","PC7","I/O","",""
"F1","VLXSMPS","Power","",""
"F2","VFBSMPS","Power","",""
"F3","PI10","I/O","",""
"F4","PC13","I/O","",""
"F5","VDDLDO","Power","",""
"F6","VSS","Power","",""
"F7","VDD","Power","",""
"F8","VSS","Power","",""
"F9","VDD","Power","",""
"F10","VSS","Power","",""
"F11","VCAP","Power","",""
"F12","PA9","I/O","",""
"F13","PC8","I/O","",""
"F14","PC6","I/O","",""
"F15","PG8","I/O","",""
"G1","VDDSMPS","Power","",""
"G2","VSSSMPS","Power","",""
"G3","PF1","I/O","",""
"G4","PF0","I/O","",""
"G5","PI11","I/O","",""
"G6","VDD","Power","",""
"G7","VDD","Power","",""
"G8","VSS","Power","",""
"G9","VDD","Power","",""
"G10","VDD","Power","",""
"G11","PA8","I/O","",""
"G12","PG7","I/O","",""
"G13","PG6","I/O","",""
"G14","PG5","I/O","",""
"G15","PG3","I/O","",""
"H1","PF2","I/O","",""
"H2","PI12","I/O","",""
"H3","PF4","I/O","",""
"H4","PI14","I/O","",""
"H5","PI13","I/O","",""
"H6","VSS","Power","",""
"H7","VSS","Power","",""
"H8","VSS","Power","",""
"H9","VSS","Power","",""
"H10","VSS","Power","",""
"H11","VDD33_USB","Power","",""
"H12","PG4","I/O","",""
"H13","PG2","I/O","",""
"H14","PK2","I/O","",""
"H15","PK1","I/O","",""
"J1","PF3","I/O","",""
"J2","PF5","I/O","",""
"J3","PF6","I/O","",""
"J4","PF7","I/O","",""
"J5","PC2","I/O","",""
"J6","VDD","Power","",""
"J7","VDD","Power","",""
"J8","VSS","Power","",""
"J9","VDD","Power","",""
"J10","VDD","Power","",""
"J11","PJ11","I/O","",""
"J12","PK0","I/O","",""
"J13","PJ10","I/O","",""
"J14","PJ9","I/O","",""
"J15","PJ8","I/O","",""
"K1","PF8","I/O","",""
"K2","PF9","I/O","",""
"K3","NRST","Reset","",""
"K4","VREF-","Power","",""
"K5","VSSA","Power","",""
"K6","VSS","Power","",""
"K7","VDD","Power","",""
"K8","VSS","Power","",""
"K9","VDD","Power","",""
"K10","VSS","Power","",""
"K11","PD13","I/O","",""
"K12","PD14","I/O","",""
"K13","PD15","I/O","",""
"K14","PJ6","I/O","",""
"K15","PJ7","I/O","",""
"L1","PH0-OSC_IN","I/O","",""
"L2","PH1-OSC_OUT","I/O","",""
"L3","PC0","I/O","",""
"L4","VREF+","MonoIO","",""
"L5","VDDA","Power","",""
"L6","PA4","I/O","",""
"L7","PB1","I/O","",""
"L8","VCAP","Power","",""
"L9","PE12","I/O","",""
"L10","VDDLDO","Power","",""
"L11","PH12","I/O","",""
"L12","PD8","I/O","",""
"L13","PD10","I/O","",""
"L14","PD11","I/O","",""
"L15","PD12","I/O","",""
"M1","VSS","Power","",""
"M2","PC1","I/O","",""
"M3","PF10","I/O","",""
"M4","PH2","I/O","",""
"M5","PH4","I/O","",""
"M6","PC4","I/O","",""
"M7","PI15","I/O","",""
"M8","PF13","I/O","",""
"M9","PE7","I/O","",""
"M10","PE13","I/O","",""
"M11","PH6","I/O","",""
"M12","PH10","I/O","",""
"M13","PB13","I/O","",""
"M14","PB14","I/O","",""
"M15","PB15","I/O","",""
"N1","PC2_C","I/O","",""
"N2","PC3_C","I/O","",""
"N3","PC3","I/O","",""
"N4","PH3","I/O","",""
"N5","PA5","I/O","",""
"N6","PC5","I/O","",""
"N7","PJ0","I/O","",""
"N8","PF11","I/O","",""
"N9","PF15","I/O","",""
"N10","PE14","I/O","",""
"N11","PE10","I/O","",""
"N12","PJ5","I/O","",""
"N13","PH9","I/O","",""
"N14","PB12","I/O","",""
"N15","PD9","I/O","",""
"P1","PA0","I/O","",""
"P2","PA1","I/O","",""
"P3","PA0_C","I/O","",""
"P4","PH5","I/O","",""
"P5","PA6","I/O","",""
"P6","PB0","I/O","",""
"P7","PJ1","I/O","",""
"P8","PJ4","I/O","",""
"P9","PF14","I/O","",""
"P10","PG1","I/O","",""
"P11","PE9","I/O","",""
"P12","PE15","I/O","",""
"P13","PB11","I/O","",""
"P14","PH8","I/O","",""
"P15","PH11","I/O","",""
"R1","VSS","Power","",""
"R2","PA2","I/O","",""
"R3","PA1_C","I/O","",""
"R4","PA3","I/O","",""
"R5","PA7","I/O","",""
"R6","PB2","I/O","",""
"R7","PJ2","I/O","",""
"R8","PJ3","I/O","",""
"R9","PF12","I/O","",""
"R10","PG0","I/O","",""
"R11","PE8","I/O","",""
"R12","PE11","I/O","",""
"R13","PB10","I/O","",""
"R14","PH7","I/O","",""
"R15","VSS","Power","",""
