"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","VDD","Power","","","","","","","","","",""
"2","PC14-OSC32_IN","I/O","","","","","","","","","",""
"3","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"4","NRST","Reset","","","","","","","","","",""
"5","VDDA","Power","","","","","","","","","",""
"6","PA0-CK_IN","I/O","","","","LPTIM1_IN1","TIM2_CH1","","USART2_CTS","TIM2_ETR","","COMP1_OUT"
"7","PA1","I/O","","","EVENTOUT","LPTIM1_IN2","TIM2_CH2","I2C1_SMBA","USART2_DE/USART2_RTS","TIM21_ETR","",""
"8","PA2","I/O","","","TIM21_CH1","","TIM2_CH3","","USART2_TX","","LPUART1_TX","COMP2_OUT"
"9","PA3","I/O","","","TIM21_CH2","","TIM2_CH4","","USART2_RX","","LPUART1_RX",""
"10","PA4","I/O","","","SPI1_NSS","LPTIM1_IN1","","","USART2_CK","TIM22_ETR","",""
"11","PA5","I/O","","","SPI1_SCK","LPTIM1_IN2","TIM2_ETR","","","TIM2_CH1","",""
"12","PA6","I/O","","","SPI1_MISO","LPTIM1_ETR","","","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"13","PA7","I/O","","","SPI1_MOSI","LPTIM1_OUT","","","USART2_CTS","TIM22_CH2","EVENTOUT","COMP2_OUT"
"14","PB0","I/O","","","EVENTOUT","SPI1_MISO","","","USART2_DE/USART2_RTS","TIM2_CH3","",""
"15","PB1","I/O","","","USART2_CK","SPI1_MOSI","","","LPUART1_DE/LPUART1_RTS","TIM2_CH4","",""
"16","VSS","Power","","","","","","","","","",""
"17","VDD","Power","","","","","","","","","",""
"18","PA8","I/O","","","RCC_MCO","","LPTIM1_IN1","EVENTOUT","USART2_CK","TIM2_CH1","",""
"19","PA9","I/O","","","RCC_MCO","I2C1_SCL","","","USART2_TX","TIM22_CH1","",""
"20","PA10","I/O","","","","I2C1_SDA","","","USART2_RX","TIM22_CH2","",""
"21","PA13","I/O","","","SYS_SWDIO","LPTIM1_ETR","","","","","LPUART1_RX",""
"22","PA14","I/O","","","SYS_SWCLK","LPTIM1_OUT","","I2C1_SMBA","USART2_TX","","LPUART1_TX",""
"23","PA15","I/O","","","SPI1_NSS","","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","",""
"24","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","","EVENTOUT","","",""
"25","PB6","I/O","","","USART2_TX","I2C1_SCL","LPTIM1_ETR","","","TIM21_CH1","",""
"26","PB7","I/O","","","USART2_RX","I2C1_SDA","LPTIM1_IN2","","","","",""
"27","BOOT0","Boot","","","","","","","","","",""
"28","VSS","Power","","","","","","","","","",""
