"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","VLCD","Power","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"5","PH0-OSC_IN","I/O","","","","","","","","","",""
"6","PH1-OSC_OUT","I/O","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","",""
"8","PC0","I/O","","","LPTIM1_IN1","","EVENTOUT","","","","",""
"9","PC1","I/O","","","LPTIM1_OUT","","EVENTOUT","","","","",""
"10","PC2","I/O","","","LPTIM1_IN2","","I2S2_MCK/SPI2_MISO","","","","",""
"11","PC3","I/O","","","LPTIM1_ETR","","I2S2_SD/SPI2_MOSI","","","","",""
"12","VSSA","Power","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","",""
"14","PA0","I/O","","","","","TIM2_CH1","","USART2_CTS","TIM2_ETR","","COMP1_OUT"
"15","PA1","I/O","","","EVENTOUT","","TIM2_CH2","","USART2_DE/USART2_RTS","TIM21_ETR","",""
"16","PA2","I/O","","","TIM21_CH1","","TIM2_CH3","","USART2_TX","","","COMP2_OUT"
"17","PA3","I/O","","","TIM21_CH2","","TIM2_CH4","","USART2_RX","","",""
"18","VSS","Power","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","",""
"20","PA4","I/O","","","SPI1_NSS","","","","USART2_CK","TIM22_ETR","",""
"21","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","","","TIM2_CH1","",""
"22","PA6","I/O","","","SPI1_MISO","","","","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"23","PA7","I/O","","","SPI1_MOSI","","","","","TIM22_CH2","EVENTOUT","COMP2_OUT"
"24","PC4","I/O","","","EVENTOUT","","LPUART1_TX","","","","",""
"25","PC5","I/O","","","","","LPUART1_RX","","","","",""
"26","PB0","I/O","","","EVENTOUT","","","","","","",""
"27","PB1","I/O","","","","","","","LPUART1_DE/LPUART1_RTS","","",""
"28","PB2","I/O","","","","","LPTIM1_OUT","","","","",""
"29","PB10","I/O","","","","","TIM2_CH3","","LPUART1_TX","SPI2_SCK","I2C2_SCL",""
"30","PB11","I/O","","","EVENTOUT","","TIM2_CH4","","LPUART1_RX","","I2C2_SDA",""
"31","VSS","Power","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","",""
"33","PB12","I/O","","","I2S2_WS/SPI2_NSS","","LPUART1_DE/LPUART1_RTS","","","","EVENTOUT",""
"34","PB13","I/O","","","I2S2_CK/SPI2_SCK","","","","LPUART1_CTS","I2C2_SCL","TIM21_CH1",""
"35","PB14","I/O","","","I2S2_MCK/SPI2_MISO","","RTC_OUT_ALARM/RTC_OUT_CALIB","","LPUART1_DE/LPUART1_RTS","I2C2_SDA","TIM21_CH2",""
"36","PB15","I/O","","","I2S2_SD/SPI2_MOSI","","RTC_REFIN","","","","",""
"37","PC6","I/O","","","TIM22_CH1","","","","","","",""
"38","PC7","I/O","","","TIM22_CH2","","","","","","",""
"39","PC8","I/O","","","TIM22_ETR","","","","","","",""
"40","PC9","I/O","","","TIM21_ETR","","","","","","",""
"41","PA8","I/O","","","RCC_MCO","","","EVENTOUT","USART1_CK","","",""
"42","PA9","I/O","","","RCC_MCO","","","","USART1_TX","","",""
"43","PA10","I/O","","","","","","","USART1_RX","","",""
"44","PA11","I/O","","","SPI1_MISO","","EVENTOUT","","USART1_CTS","","","COMP1_OUT"
"45","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","","USART1_DE/USART1_RTS","","","COMP2_OUT"
"46","PA13","I/O","","","SYS_SWDIO","","","","","","",""
"47","VSS","Power","","","","","","","","","",""
"48","VDDIO2","Power","","","","","","","","","",""
"49","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","","",""
"50","PA15","I/O","","","SPI1_NSS","","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","",""
"51","PC10","I/O","","","LPUART1_TX","","","","","","",""
"52","PC11","I/O","","","LPUART1_RX","","","","","","",""
"53","PC12","I/O","","","","","","","","","",""
"54","PD2","I/O","","","LPUART1_DE/LPUART1_RTS","","","","","","",""
"55","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","","EVENTOUT","","",""
"56","PB4","I/O","","","SPI1_MISO","","EVENTOUT","","TIM22_CH1","","",""
"57","PB5","I/O","","","SPI1_MOSI","","LPTIM1_IN1","I2C1_SMBA","TIM22_CH2","","",""
"58","PB6","I/O","","","USART1_TX","I2C1_SCL","LPTIM1_ETR","","","","",""
"59","PB7","I/O","","","USART1_RX","I2C1_SDA","LPTIM1_IN2","","","","",""
"60","BOOT0","Boot","","","","","","","","","",""
"61","PB8","I/O","","","","","","","I2C1_SCL","","",""
"62","PB9","I/O","","","","","EVENTOUT","","I2C1_SDA","I2S2_WS/SPI2_NSS","",""
"63","VSS","Power","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","",""
