"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","VLCD","Power","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"5","PH0-OSC_IN","I/O","","","CRS_SYNC","","","","","","",""
"6","PH1-OSC_OUT","I/O","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","",""
"8","PC0","I/O","","","LPTIM1_IN1","LCD_SEG18","EVENTOUT","TSC_G7_IO1","","","",""
"9","PC1","I/O","","","LPTIM1_OUT","LCD_SEG19","EVENTOUT","TSC_G7_IO2","","","",""
"10","PC2","I/O","","","LPTIM1_IN2","LCD_SEG20","I2S2_MCK/SPI2_MISO","TSC_G7_IO3","","","",""
"11","PC3","I/O","","","LPTIM1_ETR","LCD_SEG21","I2S2_SD/SPI2_MOSI","TSC_G7_IO4","","","",""
"12","VSSA","Power","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","",""
"14","PA0","I/O","","","","","TIM2_CH1","TSC_G1_IO1","USART2_CTS","TIM2_ETR","","COMP1_OUT"
"15","PA1","I/O","","","EVENTOUT","LCD_SEG0","TIM2_CH2","TSC_G1_IO2","USART2_DE/USART2_RTS","TIM21_ETR","",""
"16","PA2","I/O","","","TIM21_CH1","LCD_SEG1","TIM2_CH3","TSC_G1_IO3","USART2_TX","","","COMP2_OUT"
"17","PA3","I/O","","","TIM21_CH2","LCD_SEG2","TIM2_CH4","TSC_G1_IO4","USART2_RX","","",""
"18","VSS","Power","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","",""
"20","PA4","I/O","","","SPI1_NSS","","","TSC_G2_IO1","USART2_CK","TIM22_ETR","",""
"21","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","TSC_G2_IO2","","TIM2_CH1","",""
"22","PA6","I/O","","","SPI1_MISO","LCD_SEG3","","TSC_G2_IO3","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"23","PA7","I/O","","","SPI1_MOSI","LCD_SEG4","","TSC_G2_IO4","","TIM22_CH2","EVENTOUT","COMP2_OUT"
"24","PC4","I/O","","","EVENTOUT","LCD_SEG22","LPUART1_TX","","","","",""
"25","PC5","I/O","","","","LCD_SEG23","LPUART1_RX","TSC_G3_IO1","","","",""
"26","PB0","I/O","","","EVENTOUT","LCD_SEG5","","TSC_G3_IO2","","","",""
"27","PB1","I/O","","","","LCD_SEG6","","TSC_G3_IO3","LPUART1_DE/LPUART1_RTS","","",""
"28","PB2","I/O","","","","","LPTIM1_OUT","TSC_G3_IO4","","","",""
"29","PB10","I/O","","","","LCD_SEG10","TIM2_CH3","TSC_SYNC","LPUART1_TX","SPI2_SCK","I2C2_SCL",""
"30","PB11","I/O","","","EVENTOUT","LCD_SEG11","TIM2_CH4","TSC_G6_IO1","LPUART1_RX","","I2C2_SDA",""
"31","VSS","Power","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","",""
"33","PB12","I/O","","","I2S2_WS/SPI2_NSS","LCD_SEG12","LPUART1_DE/LPUART1_RTS","TSC_G6_IO2","","","EVENTOUT",""
"34","PB13","I/O","","","I2S2_CK/SPI2_SCK","LCD_SEG13","","TSC_G6_IO3","LPUART1_CTS","I2C2_SCL","TIM21_CH1",""
"35","PB14","I/O","","","I2S2_MCK/SPI2_MISO","LCD_SEG14","RTC_OUT_ALARM/RTC_OUT_CALIB","TSC_G6_IO4","LPUART1_DE/LPUART1_RTS","I2C2_SDA","TIM21_CH2",""
"36","PB15","I/O","","","I2S2_SD/SPI2_MOSI","LCD_SEG15","RTC_REFIN","","","","",""
"37","PC6","I/O","","","TIM22_CH1","LCD_SEG24","","TSC_G8_IO1","","","",""
"38","PC7","I/O","","","TIM22_CH2","LCD_SEG25","","TSC_G8_IO2","","","",""
"39","PC8","I/O","","","TIM22_ETR","LCD_SEG26","","TSC_G8_IO3","","","",""
"40","PC9","I/O","","","TIM21_ETR","LCD_SEG27","USB_NOE","TSC_G8_IO4","","","",""
"41","PA8","I/O","","","RCC_MCO","LCD_COM0","CRS_SYNC","EVENTOUT","USART1_CK","","",""
"42","PA9","I/O","","","RCC_MCO","LCD_COM1","","TSC_G4_IO1","USART1_TX","","",""
"43","PA10","I/O","","","","LCD_COM2","","TSC_G4_IO2","USART1_RX","","",""
"44","PA11","I/O","","","SPI1_MISO","","EVENTOUT","TSC_G4_IO3","USART1_CTS","","","COMP1_OUT"
"45","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","TSC_G4_IO4","USART1_DE/USART1_RTS","","","COMP2_OUT"
"46","PA13","I/O","","","SYS_SWDIO","","USB_NOE","","","","",""
"47","VSS","Power","","","","","","","","","",""
"48","VDD_USB","Power","","","","","","","","","",""
"49","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","","",""
"50","PA15","I/O","","","SPI1_NSS","LCD_SEG17","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","",""
"51","PC10","I/O","","","LPUART1_TX","LCD_COM4/LCD_SEG28","","","","","",""
"52","PC11","I/O","","","LPUART1_RX","LCD_COM5/LCD_SEG29","","","","","",""
"53","PC12","I/O","","","","LCD_COM6/LCD_SEG30","","","","","",""
"54","PD2","I/O","","","LPUART1_DE/LPUART1_RTS","LCD_COM7/LCD_SEG31","","","","","",""
"55","PB3","I/O","","","SPI1_SCK","LCD_SEG7","TIM2_CH2","TSC_G5_IO1","EVENTOUT","","",""
"56","PB4","I/O","","","SPI1_MISO","LCD_SEG8","EVENTOUT","TSC_G5_IO2","TIM22_CH1","","",""
"57","PB5","I/O","","","SPI1_MOSI","LCD_SEG9","LPTIM1_IN1","I2C1_SMBA","TIM22_CH2","","",""
"58","PB6","I/O","","","USART1_TX","I2C1_SCL","LPTIM1_ETR","TSC_G5_IO3","","","",""
"59","PB7","I/O","","","USART1_RX","I2C1_SDA","LPTIM1_IN2","TSC_G5_IO4","","","",""
"60","BOOT0","Boot","","","","","","","","","",""
"61","PB8","I/O","","","","LCD_SEG16","","TSC_SYNC","I2C1_SCL","","",""
"62","PB9","I/O","","","","LCD_COM3","EVENTOUT","","I2C1_SDA","I2S2_WS/SPI2_NSS","",""
"63","VSS","Power","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","",""
