"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PC14-OSC32_IN","I/O","","","","","","","","","",""
"A2","PC13","I/O","","","","","","","","","",""
"A3","PB9","I/O","","","","","EVENTOUT","","I2C1_SDA","I2S2_WS/SPI2_NSS","",""
"A4","PB4","I/O","","","SPI1_MISO","","TIM3_CH1","","TIM22_CH1","USART1_CTS","USART5_RX","I2C3_SDA"
"A5","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","","EVENTOUT","USART1_DE/USART1_RTS","USART5_TX",""
"A6","PA15","I/O","","","SPI1_NSS","","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","USART4_DE/USART4_RTS",""
"A7","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","","LPUART1_TX",""
"A8","PA13","I/O","","","SYS_SWDIO","","","","","","LPUART1_RX",""
"B1","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"B2","VDD","Power","","","","","","","","","",""
"B3","PB8","I/O","","","","","","","I2C1_SCL","","",""
"B4","BOOT0","Boot","","","","","","","","","",""
"B5","PD2","I/O","","","LPUART1_DE/LPUART1_RTS","","TIM3_ETR","","","","USART5_RX",""
"B6","PC11","I/O","","","LPUART1_RX","","","","","","USART4_RX",""
"B7","PC10","I/O","","","LPUART1_TX","","","","","","USART4_TX",""
"B8","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","","USART1_DE/USART1_RTS","","","COMP2_OUT"
"C1","PH0-OSC_IN","I/O","","","","","","","","","",""
"C2","VSS","Power","","","","","","","","","",""
"C3","PB7","I/O","","","USART1_RX","I2C1_SDA","LPTIM1_IN2","","","","USART4_CTS",""
"C4","PB5","I/O","","","SPI1_MOSI","","LPTIM1_IN1","I2C1_SMBA","TIM22_CH2/TIM3_CH2","USART1_CK","USART5_CK/USART5_DE/USART5_RTS",""
"C5","PC12","I/O","","","","","USART5_TX","","","","USART4_CK",""
"C6","PA10","I/O","","","","","","","USART1_RX","","I2C1_SDA",""
"C7","PA9","I/O","","","RCC_MCO","","","","USART1_TX","","I2C1_SCL","I2C3_SMBA"
"C8","PA11","I/O","","","SPI1_MISO","","EVENTOUT","","USART1_CTS","","","COMP1_OUT"
"D1","PH1-OSC_OUT","I/O","","","","","","","","","",""
"D2","VDD","Power","","","","","","","","","",""
"D3","PB6","I/O","","","USART1_TX","I2C1_SCL","LPTIM1_ETR","","","","",""
"D4","VSS","Power","","","","","","","","","",""
"D5","VSS","Power","","","","","","","","","",""
"D6","VSS","Power","","","","","","","","","",""
"D7","PA8","I/O","","","RCC_MCO","","","EVENTOUT","USART1_CK","","","I2C3_SCL"
"D8","PC9","I/O","","","TIM21_ETR","","TIM3_CH4","","","","","I2C3_SDA"
"E1","NRST","Reset","","","","","","","","","",""
"E2","PC1","I/O","","","LPTIM1_OUT","","EVENTOUT","","","","LPUART1_TX","I2C3_SDA"
"E3","PC0","I/O","","","LPTIM1_IN1","","EVENTOUT","","","","LPUART1_RX","I2C3_SCL"
"E4","VDD","Power","","","","","","","","","",""
"E5","VDD","Power","","","","","","","","","",""
"E6","VDDIO2","Power","","","","","","","","","",""
"E7","PC7","I/O","","","TIM22_CH2","","TIM3_CH2","","","","",""
"E8","PC8","I/O","","","TIM22_ETR","","TIM3_CH3","","","","",""
"F1","VSSA","Power","","","","","","","","","",""
"F2","PC2","I/O","","","LPTIM1_IN2","","I2S2_MCK/SPI2_MISO","","","","",""
