"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","VDD","Power","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"5","PH0-OSC_IN","I/O","","","CRS_SYNC","","","","","","",""
"6","PH1-OSC_OUT","I/O","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","",""
"8","PC0","I/O","","","LPTIM1_IN1","","EVENTOUT","TSC_G7_IO1","","","LPUART1_RX","I2C3_SCL"
"9","PC1","I/O","","","LPTIM1_OUT","","EVENTOUT","TSC_G7_IO2","","","LPUART1_TX","I2C3_SDA"
"10","PC2","I/O","","","LPTIM1_IN2","","I2S2_MCK/SPI2_MISO","TSC_G7_IO3","","","",""
"11","PC3","I/O","","","LPTIM1_ETR","","I2S2_SD/SPI2_MOSI","TSC_G7_IO4","","","",""
"12","VSSA","Power","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","",""
"14","PA0","I/O","","","","","TIM2_CH1","TSC_G1_IO1","USART2_CTS","TIM2_ETR","USART4_TX","COMP1_OUT"
"15","PA1","I/O","","","EVENTOUT","","TIM2_CH2","TSC_G1_IO2","USART2_DE/USART2_RTS","TIM21_ETR","USART4_RX",""
"16","PA2","I/O","","","TIM21_CH1","","TIM2_CH3","TSC_G1_IO3","USART2_TX","","LPUART1_TX","COMP2_OUT"
"17","PA3","I/O","","","TIM21_CH2","","TIM2_CH4","TSC_G1_IO4","USART2_RX","","LPUART1_RX",""
"18","VSS","Power","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","",""
"20","PA4","I/O","","","SPI1_NSS","","","TSC_G2_IO1","USART2_CK","TIM22_ETR","",""
"21","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","TSC_G2_IO2","","TIM2_CH1","",""
"22","PA6","I/O","","","SPI1_MISO","","TIM3_CH1","TSC_G2_IO3","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"23","PA7","I/O","","","SPI1_MOSI","","TIM3_CH2","TSC_G2_IO4","","TIM22_CH2","EVENTOUT","COMP2_OUT"
"24","PC4","I/O","","","EVENTOUT","","LPUART1_TX","","","","",""
"25","PC5","I/O","","","","","LPUART1_RX","TSC_G3_IO1","","","",""
"26","PB0","I/O","","","EVENTOUT","","TIM3_CH3","TSC_G3_IO2","","","",""
"27","PB1","I/O","","","","","TIM3_CH4","TSC_G3_IO3","LPUART1_DE/LPUART1_RTS","","",""
"28","PB2","I/O","","","","","LPTIM1_OUT","TSC_G3_IO4","","","","I2C3_SMBA"
"29","PB10","I/O","","","","","TIM2_CH3","TSC_SYNC","LPUART1_TX","SPI2_SCK","I2C2_SCL","LPUART1_RX"
"30","PB11","I/O","","","EVENTOUT","","TIM2_CH4","TSC_G6_IO1","LPUART1_RX","","I2C2_SDA","LPUART1_TX"
"31","VSS","Power","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","",""
"33","PB12","I/O","","","I2S2_WS/SPI2_NSS","","LPUART1_DE/LPUART1_RTS","TSC_G6_IO2","","","EVENTOUT",""
"34","PB13","I/O","","","I2S2_CK/SPI2_SCK","","RCC_MCO","TSC_G6_IO3","LPUART1_CTS","I2C2_SCL","TIM21_CH1",""
"35","PB14","I/O","","","I2S2_MCK/SPI2_MISO","","RTC_OUT_ALARM/RTC_OUT_CALIB","TSC_G6_IO4","LPUART1_DE/LPUART1_RTS","I2C2_SDA","TIM21_CH2",""
"36","PB15","I/O","","","I2S2_SD/SPI2_MOSI","","RTC_REFIN","","","","",""
"37","PC6","I/O","","","TIM22_CH1","","TIM3_CH1","TSC_G8_IO1","","","",""
"38","PC7","I/O","","","TIM22_CH2","","TIM3_CH2","TSC_G8_IO2","","","",""
"39","PC8","I/O","","","TIM22_ETR","","TIM3_CH3","TSC_G8_IO3","","","",""
"40","PC9","I/O","","","TIM21_ETR","","TIM3_CH4/USB_NOE","TSC_G8_IO4","","","","I2C3_SDA"
"41","PA8","I/O","","","RCC_MCO","","CRS_SYNC","EVENTOUT","USART1_CK","","","I2C3_SCL"
"42","PA9","I/O","","","RCC_MCO","","","TSC_G4_IO1","USART1_TX","","I2C1_SCL","I2C3_SMBA"
"43","PA10","I/O","","","","","","TSC_G4_IO2","USART1_RX","","I2C1_SDA",""
"44","PA11","I/O","","","SPI1_MISO","","EVENTOUT","TSC_G4_IO3","USART1_CTS","","","COMP1_OUT"
"45","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","TSC_G4_IO4","USART1_DE/USART1_RTS","","","COMP2_OUT"
"46","PA13","I/O","","","SYS_SWDIO","","USB_NOE","","","","LPUART1_RX",""
"47","VSS","Power","","","","","","","","","",""
"48","VDD_USB","Power","","","","","","","","","",""
"49","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","","LPUART1_TX",""
"50","PA15","I/O","","","SPI1_NSS","","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","USART4_DE/USART4_RTS",""
"51","PC10","I/O","","","LPUART1_TX","","","","","","USART4_TX",""
"52","PC11","I/O","","","LPUART1_RX","","","","","","USART4_RX",""
"53","PC12","I/O","","","","","USART5_TX","","","","USART4_CK",""
"54","PD2","I/O","","","LPUART1_DE/LPUART1_RTS","","TIM3_ETR","","","","USART5_RX",""
"55","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","TSC_G5_IO1","EVENTOUT","USART1_DE/USART1_RTS","USART5_TX",""
"56","PB4","I/O","","","SPI1_MISO","","TIM3_CH1","TSC_G5_IO2","TIM22_CH1","USART1_CTS","USART5_RX","I2C3_SDA"
"57","PB5","I/O","","","SPI1_MOSI","","LPTIM1_IN1","I2C1_SMBA","TIM22_CH2/TIM3_CH2","USART1_CK","USART5_CK/USART5_DE/USART5_RTS",""
"58","PB6","I/O","","","USART1_TX","I2C1_SCL","LPTIM1_ETR","TSC_G5_IO3","","","",""
"59","PB7","I/O","","","USART1_RX","I2C1_SDA","LPTIM1_IN2","TSC_G5_IO4","","","USART4_CTS",""
"60","BOOT0","Boot","","","","","","","","","",""
"61","PB8","I/O","","","","","","TSC_SYNC","I2C1_SCL","","",""
"62","PB9","I/O","","","","","EVENTOUT","","I2C1_SDA","I2S2_WS/SPI2_NSS","",""
"63","VSS","Power","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","",""
