"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PE2","I/O","","","","LCD_SEG38","TIM3_ETR","","","","",""
"2","PE3","I/O","","","TIM22_CH1","LCD_SEG39","TIM3_CH1","","","","",""
"3","PE4","I/O","","","TIM22_CH2","","TIM3_CH2","","","","",""
"4","PE5","I/O","","","TIM21_CH1","","TIM3_CH3","","","","",""
"5","PE6","I/O","","","TIM21_CH2","","TIM3_CH4","","","","",""
"6","VDD","Power","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","",""
"8","PC14-OSC32_IN","I/O","","","","","","","","","",""
"9","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"10","PH9","I/O","","","","","","","","","",""
"11","PH10","I/O","","","","","","","","","",""
"12","PH0-OSC_IN","I/O","","","CRS_SYNC","","","","","","",""
"13","PH1-OSC_OUT","I/O","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","",""
"15","PC0","I/O","","","LPTIM1_IN1","LCD_SEG18","EVENTOUT","TSC_G7_IO1","","","LPUART1_RX","I2C3_SCL"
"16","PC1","I/O","","","LPTIM1_OUT","LCD_SEG19","EVENTOUT","TSC_G7_IO2","","","LPUART1_TX","I2C3_SDA"
"17","PC2","I/O","","","LPTIM1_IN2","LCD_SEG20","I2S2_MCK/SPI2_MISO","TSC_G7_IO3","","","",""
"18","PC3","I/O","","","LPTIM1_ETR","LCD_SEG21","I2S2_SD/SPI2_MOSI","TSC_G7_IO4","","","",""
"19","VSSA","Power","","","","","","","","","",""
"20","VREF-","Power","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","",""
"23","PA0","I/O","","","","","TIM2_CH1","TSC_G1_IO1","USART2_CTS","TIM2_ETR","USART4_TX","COMP1_OUT"
"24","PA1","I/O","","","EVENTOUT","LCD_SEG0","TIM2_CH2","TSC_G1_IO2","USART2_DE/USART2_RTS","TIM21_ETR","USART4_RX",""
"25","PA2","I/O","","","TIM21_CH1","LCD_SEG1","TIM2_CH3","TSC_G1_IO3","USART2_TX","","LPUART1_TX","COMP2_OUT"
"26","PA3","I/O","","","TIM21_CH2","LCD_SEG2","TIM2_CH4","TSC_G1_IO4","USART2_RX","","LPUART1_RX",""
"27","VSS","Power","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","",""
"29","PA4","I/O","","","SPI1_NSS","","","TSC_G2_IO1","USART2_CK","TIM22_ETR","",""
"30","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","TSC_G2_IO2","","TIM2_CH1","",""
"31","PA6","I/O","","","SPI1_MISO","LCD_SEG3","TIM3_CH1","TSC_G2_IO3","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"32","PA7","I/O","","","SPI1_MOSI","LCD_SEG4","TIM3_CH2","TSC_G2_IO4","","TIM22_CH2","EVENTOUT","COMP2_OUT"
"33","PC4","I/O","","","EVENTOUT","LCD_SEG22","LPUART1_TX","","","","",""
"34","PC5","I/O","","","","LCD_SEG23","LPUART1_RX","TSC_G3_IO1","","","",""
"35","PB0","I/O","","","EVENTOUT","LCD_SEG5","TIM3_CH3","TSC_G3_IO2","","","",""
"36","PB1","I/O","","","","LCD_SEG6","TIM3_CH4","TSC_G3_IO3","LPUART1_DE/LPUART1_RTS","","",""
"37","PB2","I/O","","","","","LPTIM1_OUT","TSC_G3_IO4","","","","I2C3_SMBA"
"38","PE7","I/O","","","","LCD_SEG45","","","","","USART5_CK/USART5_DE/USART5_RTS",""
"39","PE8","I/O","","","","LCD_SEG46","","","","","USART4_TX",""
"40","PE9","I/O","","","TIM2_CH1","LCD_SEG47","TIM2_ETR","","","","USART4_RX",""
"41","PE10","I/O","","","TIM2_CH2","LCD_SEG40","","","","","USART5_TX",""
"42","PE11","I/O","","","TIM2_CH3","","","","","","USART5_RX",""
"43","PE12","I/O","","","TIM2_CH4","","SPI1_NSS","","","","",""
"44","PE13","I/O","","","","LCD_SEG41","SPI1_SCK","","","","",""
"45","PE14","I/O","","","","LCD_SEG42","SPI1_MISO","","","","",""
"46","PE15","I/O","","","","LCD_SEG43","SPI1_MOSI","","","","",""
"47","PB10","I/O","","","","LCD_SEG10","TIM2_CH3","TSC_SYNC","LPUART1_TX","SPI2_SCK","I2C2_SCL","LPUART1_RX"
"48","PB11","I/O","","","EVENTOUT","LCD_SEG11","TIM2_CH4","TSC_G6_IO1","LPUART1_RX","","I2C2_SDA","LPUART1_TX"
"49","VSS","Power","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","",""
"51","PB12","I/O","","","I2S2_WS/SPI2_NSS","LCD_SEG12","LPUART1_DE/LPUART1_RTS","TSC_G6_IO2","","","EVENTOUT",""
"52","PB13","I/O","","","I2S2_CK/SPI2_SCK","LCD_SEG13","RCC_MCO","TSC_G6_IO3","LPUART1_CTS","I2C2_SCL","TIM21_CH1",""
"53","PB14","I/O","","","I2S2_MCK/SPI2_MISO","LCD_SEG14","RTC_OUT_ALARM/RTC_OUT_CALIB","TSC_G6_IO4","LPUART1_DE/LPUART1_RTS","I2C2_SDA","TIM21_CH2",""
"54","PB15","I/O","","","I2S2_SD/SPI2_MOSI","LCD_SEG15","RTC_REFIN","","","","",""
"55","PD8","I/O","","","LPUART1_TX","LCD_SEG28","","","","","",""
"56","PD9","I/O","","","LPUART1_RX","LCD_SEG29","","","","","",""
"57","PD10","I/O","","","","LCD_SEG30","","","","","",""
"58","PD11","I/O","","","LPUART1_CTS","LCD_SEG31","","","","","",""
"59","PD12","I/O","","","LPUART1_DE/LPUART1_RTS","LCD_SEG32","","","","","",""
"60","PD13","I/O","","","","LCD_SEG33","","","","","",""
"61","PD14","I/O","","","","LCD_SEG34","","","","","",""
"62","PD15","I/O","","","CRS_SYNC","LCD_SEG35","","","","","",""
