"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","VDD","Power","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"5","PH0-OSC_IN","I/O","","","","","","","","","",""
"6","PH1-OSC_OUT","I/O","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","",""
"8","VSSA","Power","","","","","","","","","",""
"9","VDDA","Power","","","","","","","","","",""
"10","PA0","I/O","","","","","TIM2_CH1","","USART2_CTS","TIM2_ETR","USART4_TX","COMP1_OUT"
"11","PA1","I/O","","","EVENTOUT","","TIM2_CH2","","USART2_DE/USART2_RTS","TIM21_ETR","USART4_RX",""
"12","PA2","I/O","","","TIM21_CH1","","TIM2_CH3","","USART2_TX","","LPUART1_TX","COMP2_OUT"
"13","PA3","I/O","","","TIM21_CH2","","TIM2_CH4","","USART2_RX","","LPUART1_RX",""
"14","PA4","I/O","","","SPI1_NSS","","","","USART2_CK","TIM22_ETR","",""
"15","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","","","TIM2_CH1","",""
"16","PA6","I/O","","","SPI1_MISO","","TIM3_CH1","","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"17","PA7","I/O","","","SPI1_MOSI","","TIM3_CH2","","","TIM22_CH2","EVENTOUT","COMP2_OUT"
"18","PB0","I/O","","","EVENTOUT","","TIM3_CH3","","","","",""
"19","PB1","I/O","","","","","TIM3_CH4","","LPUART1_DE/LPUART1_RTS","","",""
"20","PB2","I/O","","","","","LPTIM1_OUT","","","","","I2C3_SMBA"
"21","PB10","I/O","","","","","TIM2_CH3","","LPUART1_TX","SPI2_SCK","I2C2_SCL","LPUART1_RX"
"22","PB11","I/O","","","EVENTOUT","","TIM2_CH4","","LPUART1_RX","","I2C2_SDA","LPUART1_TX"
"23","VSS","Power","","","","","","","","","",""
"24","VDD","Power","","","","","","","","","",""
"25","PB12","I/O","","","I2S2_WS/SPI2_NSS","","LPUART1_DE/LPUART1_RTS","","","","EVENTOUT",""
"26","PB13","I/O","","","I2S2_CK/SPI2_SCK","","RCC_MCO","","LPUART1_CTS","I2C2_SCL","TIM21_CH1",""
"27","PB14","I/O","","","I2S2_MCK/SPI2_MISO","","RTC_OUT_ALARM/RTC_OUT_CALIB","","LPUART1_DE/LPUART1_RTS","I2C2_SDA","TIM21_CH2",""
"28","PB15","I/O","","","I2S2_SD/SPI2_MOSI","","RTC_REFIN","","","","",""
"29","PA8","I/O","","","RCC_MCO","","","EVENTOUT","USART1_CK","","","I2C3_SCL"
"30","PA9","I/O","","","RCC_MCO","","","","USART1_TX","","I2C1_SCL","I2C3_SMBA"
"31","PA10","I/O","","","","","","","USART1_RX","","I2C1_SDA",""
"32","PA11","I/O","","","SPI1_MISO","","EVENTOUT","","USART1_CTS","","","COMP1_OUT"
"33","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","","USART1_DE/USART1_RTS","","","COMP2_OUT"
"34","PA13","I/O","","","SYS_SWDIO","","","","","","LPUART1_RX",""
"35","VSS","Power","","","","","","","","","",""
"36","VDDIO2","Power","","","","","","","","","",""
"37","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","","LPUART1_TX",""
"38","PA15","I/O","","","SPI1_NSS","","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","USART4_DE/USART4_RTS",""
"39","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","","EVENTOUT","USART1_DE/USART1_RTS","USART5_TX",""
"40","PB4","I/O","","","SPI1_MISO","","TIM3_CH1","","TIM22_CH1","USART1_CTS","USART5_RX","I2C3_SDA"
"41","PB5","I/O","","","SPI1_MOSI","","LPTIM1_IN1","I2C1_SMBA","TIM22_CH2/TIM3_CH2","USART1_CK","USART5_CK/USART5_DE/USART5_RTS",""
"42","PB6","I/O","","","USART1_TX","I2C1_SCL","LPTIM1_ETR","","","","",""
"43","PB7","I/O","","","USART1_RX","I2C1_SDA","LPTIM1_IN2","","","","USART4_CTS",""
"44","BOOT0","Boot","","","","","","","","","",""
"45","PB8","I/O","","","","","","","I2C1_SCL","","",""
"46","PB9","I/O","","","","","EVENTOUT","","I2C1_SDA","I2S2_WS/SPI2_NSS","",""
"47","VSS","Power","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","",""
