"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"1","VLCD","Power","","","","","","","","","","","","","","","","",""
"2","PC13-WKUP2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB/RTC_TAMP1/RTC_TS/SYS_WKUP2","","","","","","","","","","","","","","TIMX_IC2"
"3","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","","","","TIMX_IC3"
"4","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","","","","TIMX_IC4"
"5","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","","","",""
"6","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","","","","","","","","","","","","","","TIMX_IC1/TS_G8_IO1"
"9","PC1","I/O","","","","","","","","","","","","","","","","","TIMX_IC2/TS_G8_IO2"
"10","PC2","I/O","","","","","","","","","","","","","","","","","TIMX_IC3/TS_G8_IO3"
"11","PC3","I/O","","","","","","","","","","","","","","","","","TIMX_IC4/TS_G8_IO4"
"12","VSSA","Power","","","","","","","","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","","","","","","","","",""
"14","PA0-WKUP1","I/O","","","RTC_TAMP2/SYS_WKUP1","TIM2_CH1","","","","","","USART2_CTS","","","","","","","TIMX_IC1/TS_G1_IO1"
"15","PA1","I/O","","","","TIM2_CH2","","","","","","USART2_RTS","","","","","","","TIMX_IC2/TS_G1_IO2"
"16","PA2","I/O","","","","TIM2_CH3","","TIM9_CH1","","","","USART2_TX","","","","","","","TIMX_IC3/TS_G1_IO3"
"17","PA3","I/O","","","","TIM2_CH4","","TIM9_CH2","","","","USART2_RX","","","","","","","TIMX_IC4/TS_G1_IO4"
"18","VSS","Power","","","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","","","","SPI1_NSS","","USART2_CK","","","","","","","TIMX_IC1"
"21","PA5","I/O","","","","TIM2_CH1","","","","SPI1_SCK","","","","","","","","","TIMX_IC2"
"22","PA6","I/O","","","","","TIM3_CH1","TIM10_CH1","","SPI1_MISO","","","","","","","","","TIMX_IC3/TS_G2_IO1"
"23","PA7","I/O","","","","","TIM3_CH2","TIM11_CH1","","SPI1_MOSI","","","","","","","","","TIMX_IC4/TS_G2_IO2"
"24","PC4","I/O","","","","","","","","","","","","","","","","","TIMX_IC1/TS_G9_IO1"
"25","PC5","I/O","","","","","","","","","","","","","","","","","TIMX_IC2/TS_G9_IO2"
"26","PB0","I/O","","","","","TIM3_CH3","","","","","","","","","","","","TS_G3_IO1"
"27","PB1","I/O","","","","","TIM3_CH4","","","","","","","","","","","","TS_G3_IO2"
"28","PB2","I/O","","","","","","","","","","","","","","","","","TS_G3_IO3"
"29","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","","","USART3_TX","","","","","","",""
"30","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","","","","",""
"31","VSS","Power","","","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","","","",""
"33","PB12","I/O","","","","","","TIM10_CH1","I2C2_SMBA","SPI2_NSS","","USART3_CK","","","","","","","TS_G7_IO1"
"34","PB13","I/O","","","","","","TIM9_CH1","","SPI2_SCK","","USART3_CTS","","","","","","","TS_G7_IO2"
"35","PB14","I/O","","","","","","TIM9_CH2","","SPI2_MISO","","USART3_RTS","","","","","","","TS_G7_IO3"
"36","PB15","I/O","","","RTC_REFIN","","","TIM11_CH1","","SPI2_MOSI","","","","","","","","","TS_G7_IO4"
"37","PC6","I/O","","","","","TIM3_CH1","","","","","","","","","","","","TIMX_IC3/TS_G10_IO1"
"38","PC7","I/O","","","","","TIM3_CH2","","","","","","","","","","","","TIMX_IC4/TS_G10_IO2"
"39","PC8","I/O","","","","","TIM3_CH3","","","","","","","","","","","","TIMX_IC1/TS_G10_IO3"
"40","PC9","I/O","","","","","TIM3_CH4","","","","","","","","","","","","TIMX_IC2/TS_G10_IO4"
"41","PA8","I/O","","","RCC_MCO","","","","","","","USART1_CK","","","","","","","TIMX_IC1/TS_G4_IO1"
"42","PA9","I/O","","","","","","","","","","USART1_TX","","","","","","","TIMX_IC2/TS_G4_IO2"
"43","PA10","I/O","","","","","","","","","","USART1_RX","","","","","","","TIMX_IC3/TS_G4_IO3"
"44","PA11","I/O","","","","","","","","SPI1_MISO","","USART1_CTS","","","USB_DM","","","","TIMX_IC4"
"45","PA12","I/O","","","","","","","","SPI1_MOSI","","USART1_RTS","","","USB_DP","","","","TIMX_IC1"
"46","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","TIMX_IC2/TS_G5_IO1"
"47","VSS","Power","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","",""
