"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"1","PE2","I/O","","","SYS_TRACECK","","TIM3_ETR","","","","","","","","","","","","TIMX_IC3"
"2","PE3","I/O","","","SYS_TRACED0","","TIM3_CH1","","","","","","","","","","","","TIMX_IC4"
"3","PE4","I/O","","","SYS_TRACED1","","TIM3_CH2","","","","","","","","","","","","TIMX_IC1"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","","","","","","","","","","TIMX_IC2"
"5","PE6-WKUP3","I/O","","","RTC_TAMP3/SYS_TRACED3/SYS_WKUP3","","","TIM9_CH2","","","","","","","","","","","TIMX_IC3"
"6","VLCD","Power","","","","","","","","","","","","","","","","",""
"7","PC13-WKUP2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB/RTC_TAMP1/RTC_TS/SYS_WKUP2","","","","","","","","","","","","","","TIMX_IC2"
"8","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","","","","TIMX_IC3"
"9","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","","","","TIMX_IC4"
"10","VSS","Power","","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","","",""
"12","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","","","",""
"13","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","","","",""
"14","NRST","Reset","","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","","","","","","","","","COMP1_INP/TIMX_IC1/TS_G8_IO1"
"16","PC1","I/O","","","","","","","","","","","","","","","","","COMP1_INP/TIMX_IC2/TS_G8_IO2"
"17","PC2","I/O","","","","","","","","","","","","","","","","","COMP1_INP/TIMX_IC3/TS_G8_IO3"
"18","PC3","I/O","","","","","","","","","","","","","","","","","COMP1_INP/TIMX_IC4/TS_G8_IO4"
"19","VSSA","Power","","","","","","","","","","","","","","","","",""
"20","VREF-","Power","","","","","","","","","","","","","","","","",""
"21","VREF+","Power","","","","","","","","","","","","","","","","",""
"22","VDDA","Power","","","","","","","","","","","","","","","","",""
"23","PA0-WKUP1","I/O","","","RTC_TAMP2/SYS_WKUP1","TIM2_CH1","TIM5_CH1","","","","","USART2_CTS","","","","","","","COMP1_INP/TIMX_IC1/TS_G1_IO1"
"24","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","","","","","","","COMP1_INP/TIMX_IC2/TS_G1_IO2"
