"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","VSS","Power","","","","","","","","","","","","","","","","",""
"A2","PD0","I/O","","","","","","TIM9_CH1","","I2S2_WS/SPI2_NSS","","","","","","","","","TIMX_IC1"
"A3","PD4","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","USART2_RTS","","","","","","","TIMX_IC1"
"A4","PD7","I/O","","","","","","TIM9_CH2","","","","USART2_CK","","","","","","","TIMX_IC4"
"A5","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","","","","","","","","COMP2_INP/TS_G6_IO1"
"A6","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","","","","","","COMP2_INP/TS_G6_IO2"
"A7","BOOT0","Boot","","","","","","","","","","","","","","","","",""
"A8","PE1","I/O","","","","","","TIM11_CH1","","","","","","","","","","","TIMX_IC2"
"A9","VDD","Power","","","","","","","","","","","","","","","","",""
"B1","PA15","I/O","","","SYS_JTDI","TIM2_CH1","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","","","","TIMX_IC4/TS_G5_IO3"
"B2","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","","","TIMX_IC1"
"B3","PD5","I/O","","","","","","","","","","USART2_TX","","","","","","","TIMX_IC2"
"B4","PD6","I/O","","","","","","","","","","USART2_RX","","","","","","","TIMX_IC3"
"B5","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","","","COMP2_INM"
"B6","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","","","COMP2_INP/SYS_PVD_IN/TS_G6_IO4"
"B7","PE0","I/O","","","","","TIM4_ETR","TIM10_CH1","","","","","","","","","","","TIMX_IC1"
"B8","VDD","Power","","","","","","","","","","","","","","","","",""
"B9","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","","","","","","","","","","TIMX_IC2"
"C1","VDD","Power","","","","","","","","","","","","","","","","",""
"C2","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","","","","","","TIMX_IC4"
"C3","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","","","TIMX_IC3"
"C4","PD3","I/O","","","","","","","","SPI2_MISO","","USART2_CTS","","","","","","","TIMX_IC4"
"C5","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","","","","","","COMP2_INP/TS_G6_IO3"
"C6","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","","","","","","","","","",""
"C7","VSS","Power","","","","","","","","","","","","","","","","",""
"C8","PE4","I/O","","","SYS_TRACED1","","TIM3_CH2","","","","","","","","","","","","TIMX_IC1"
"C9","PC13-WKUP2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB/RTC_TAMP1/RTC_TS/SYS_WKUP2","","","","","","","","","","","","","","TIMX_IC2"
"D1","PH2","I/O","","","","","","","","","","","","","","","","",""
"D2","VSS","Power","","","","","","","","","","","","","","","","",""
"D3","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","TIMX_IC3/TS_G5_IO2"
"D4","PD1","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","","","","TIMX_IC2"
"D5","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","","","","","",""
"D6","PE2","I/O","","","SYS_TRACECK","","TIM3_ETR","","","","","","","","","","","","TIMX_IC3"
"D7","PE3","I/O","","","SYS_TRACED0","","TIM3_CH1","","","","","","","","","","","","TIMX_IC4"
"D8","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","","","","TIMX_IC3"
