"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","VDD","Power","","","","","","","","","","","","","","","","",""
"A2","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","","","LCD_COM4/LCD_SEG28/LCD_SEG40","SDIO_D2","","TIMX_IC3"
"A3","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","LCD_COM7/LCD_SEG31/LCD_SEG43","SDIO_CMD","","TIMX_IC3"
"A4","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","LCD_SEG7","","",""
"A5","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","","","LCD_SEG9","","","TS_G6_IO2"
"A6","BOOT0","Boot","","","","","","","","","","","","","","","","",""
"A7","VSS","Power","","","","","","","","","","","","","","","","",""
"A8","VDD","Power","","","","","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","","","","","",""
"B2","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","TIMX_IC3/TS_G5_IO2"
"B3","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","","","LCD_COM5/LCD_SEG29/LCD_SEG41","SDIO_D3","","TIMX_IC4"
"B4","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","","","","","LCD_SEG8","","","TS_G6_IO1"
"B5","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","","","","","","TS_G6_IO3"
"B6","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","","","","","","","LCD_COM3","SDIO_D5","",""
"B7","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","","","","TIMX_IC4"
"B8","PC14-OSC32_IN","I/O","","","RCC_OSC32_IN","","","","","","","","","","","","","","TIMX_IC3"
"C1","PA11","I/O","","","","","","","","SPI1_MISO","","USART1_CTS","","","USB_DM","","","","TIMX_IC4"
"C2","PA12","I/O","","","","","","","","SPI1_MOSI","","USART1_RTS","","","USB_DP","","","","TIMX_IC1"
"C3","PA15","I/O","","","SYS_JTDI","TIM2_CH1","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","LCD_SEG17","","","TIMX_IC4/TS_G5_IO3"
"C4","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","LCD_COM6/LCD_SEG30/LCD_SEG42","SDIO_CK","","TIMX_IC1"
"C5","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","","","TS_G6_IO4"
"C6","VLCD","Power","","","","","","","","","","","","","","","","",""
"C7","NRST","Reset","","","","","","","","","","","","","","","","",""
"C8","PC13-WKUP2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB/RTC_TAMP1/RTC_TS/SYS_WKUP2","","","","","","","","","","","","","","TIMX_IC2"
"D1","PC9","I/O","","","","","TIM3_CH4","","","","","","","","","LCD_SEG27","SDIO_D1","","TIMX_IC2/TS_G10_IO4"
"D2","PA9","I/O","","","","","","","","","","USART1_TX","","","","LCD_COM1","","","TIMX_IC2/TS_G4_IO2"
"D3","PA10","I/O","","","","","","","","","","USART1_RX","","","","LCD_COM2","","","TIMX_IC3/TS_G4_IO3"
"D4","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","TIMX_IC2/TS_G5_IO1"
"D5","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","","","LCD_SEG16","SDIO_D4","",""
"D6","PC2","I/O","","","","","","","","","","","","","","LCD_SEG20","","","TIMX_IC3/TS_G8_IO3"
"D7","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","","","",""
"D8","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","","","",""
"E1","PC6","I/O","","","","","TIM3_CH1","","","I2S2_MCK","","","","","","LCD_SEG24","SDIO_D6","","TIMX_IC3/TS_G10_IO1"
"E2","PC7","I/O","","","","","TIM3_CH2","","","","I2S3_MCK","","","","","LCD_SEG25","SDIO_D7","","TIMX_IC4/TS_G10_IO2"
"E3","PC8","I/O","","","","","TIM3_CH3","","","","","","","","","LCD_SEG26","SDIO_D0","","TIMX_IC1/TS_G10_IO3"
"E4","PA8","I/O","","","RCC_MCO","","","","","","","USART1_CK","","","","LCD_COM0","","","TIMX_IC1/TS_G4_IO1"
"E5","PA5","I/O","","","","TIM2_CH1","","","","SPI1_SCK","","","","","","","","","TIMX_IC2"
"E6","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","","","","LCD_SEG0","","","TIMX_IC2/TS_G1_IO2"
"E7","VSSA","Power","","","","","","","","","","","","","","","","",""
"E8","PC0","I/O","","","","","","","","","","","","","","LCD_SEG18","","","TIMX_IC1/TS_G8_IO1"
"F1","PB15","I/O","","","RTC_REFIN","","","TIM11_CH1","","I2S2_SD/SPI2_MOSI","","","","","","LCD_SEG15","","","TS_G7_IO4"
"F2","PB14","I/O","","","","","","TIM9_CH2","","SPI2_MISO","","USART3_RTS","","","","LCD_SEG14","","","TS_G7_IO3"
"F3","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","","LCD_SEG11","","",""
"F4","PB1","I/O","","","","","TIM3_CH4","","","","","","","","","LCD_SEG6","","","TS_G3_IO2"
"F5","VSS","Power","","","","","","","","","","","","","","","","",""
"F6","PA0-WKUP1","I/O","","","RTC_TAMP2/SYS_WKUP1","TIM2_CH1","TIM5_CH1","","","","","USART2_CTS","","","","","","","TIMX_IC1/TS_G1_IO1"
"F7","PC3","I/O","","","","","","","","","","","","","","LCD_SEG21","","","TIMX_IC4/TS_G8_IO4"
"F8","PC1","I/O","","","","","","","","","","","","","","LCD_SEG19","","","TIMX_IC2/TS_G8_IO2"
"G1","PB13","I/O","","","","","","TIM9_CH1","","I2S2_CK/SPI2_SCK","","USART3_CTS","","","","LCD_SEG13","","","TS_G7_IO2"
"G2","PB12","I/O","","","","","","TIM10_CH1","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","","","LCD_SEG12","","","TS_G7_IO1"
"G3","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","","","USART3_TX","","","","LCD_SEG10","","",""
"G4","PA7","I/O","","","","","TIM3_CH2","TIM11_CH1","","SPI1_MOSI","","","","","","LCD_SEG4","","","TIMX_IC4/TS_G2_IO2"
"G5","PA6","I/O","","","","","TIM3_CH1","TIM10_CH1","","SPI1_MISO","","","","","","LCD_SEG3","","","TIMX_IC3/TS_G2_IO1"
"G6","VDD","Power","","","","","","","","","","","","","","","","",""
"G7","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","","LCD_SEG2","","","TIMX_IC4/TS_G1_IO4"
"G8","VDDA","Power","","","","","","","","","","","","","","","","",""
"H1","VDD","Power","","","","","","","","","","","","","","","","",""
"H2","VSS","Power","","","","","","","","","","","","","","","","",""
