"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"A2","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"A3","PB9","I/O","","","","IR_OUT","","","I2C1_SDA","SPI2_NSS","","","","CAN1_TX","","","SDMMC1_D5","SAI1_FS_A","","EVENTOUT"
"A4","PB4 (NJTRST)","I/O","","","SYS_JTRST","","","","I2C3_SDA","SPI1_MISO","SPI3_MISO","USART1_CTS","","TSC_G2_IO1","","","","SAI1_MCLK_B","","EVENTOUT"
"A5","PB3 (JTDO-TRACESWO)","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","SPI3_SCK","USART1_DE/USART1_RTS","","","","","","SAI1_SCK_B","","EVENTOUT"
"A6","PA15 (JTDI)","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","USART2_RX","","SPI1_NSS","SPI3_NSS","USART3_DE/USART3_RTS","","TSC_G3_IO1","","","SWPMI1_SUSPEND","","","EVENTOUT"
"A7","PA14 (JTCK-SWCLK)","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","","SWPMI1_RX","SAI1_FS_B","","EVENTOUT"
"A8","PA13 (JTMS-SWDIO)","I/O","","","SYS_JTMS-SWDIO","IR_OUT","","","","","","","","","","","SWPMI1_TX","SAI1_SD_B","","EVENTOUT"
"B1","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B2","VBAT","Power","","","","","","","","","","","","","","","","","",""
"B3","PB8","I/O","","","","","","","I2C1_SCL","","","","","CAN1_RX","","","SDMMC1_D4","SAI1_MCLK_A","TIM16_CH1","EVENTOUT"
"B4","PH3-BOOT0","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B5","PD2","I/O","","","","","","","","","","USART3_DE/USART3_RTS","","TSC_SYNC","","","SDMMC1_CMD","","","EVENTOUT"
"B6","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","","TSC_G3_IO3","","","SDMMC1_D3","","","EVENTOUT"
"B7","PC10","I/O","","","","","","","","","SPI3_SCK","USART3_TX","","TSC_G3_IO2","","","SDMMC1_D2","","","EVENTOUT"
"B8","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","","CAN1_TX","","","","","","EVENTOUT"
"C1","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C2","VSS","Power","","","","","","","","","","","","","","","","","",""
"C3","PB7","I/O","","","","LPTIM1_IN2","","","I2C1_SDA","","","USART1_RX","","TSC_G2_IO4","","","","","","EVENTOUT"
"C4","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK","","TSC_G2_IO2","","","COMP2_OUT","SAI1_SD_B","TIM16_BKIN","EVENTOUT"
"C5","PC12","I/O","","","","","","","","","SPI3_MOSI","USART3_CK","","TSC_G3_IO4","","","SDMMC1_CK","","","EVENTOUT"
"C6","PA10","I/O","","","","TIM1_CH3","","","I2C1_SDA","","","USART1_RX","","","","","","SAI1_SD_A","","EVENTOUT"
"C7","PA9","I/O","","","","TIM1_CH2","","","I2C1_SCL","","","USART1_TX","","","","","","SAI1_FS_A","TIM15_BKIN","EVENTOUT"
"C8","PA11","I/O","","","","TIM1_CH4","TIM1_BKIN2","","","SPI1_MISO","COMP1_OUT","USART1_CTS","","CAN1_RX","","","TIM1_BKIN2_COMP1","","","EVENTOUT"
"D1","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D2","VDD","Power","","","","","","","","","","","","","","","","","",""
"D3","PB6","I/O","","","","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","TSC_G2_IO3","","","","SAI1_FS_B","TIM16_CH1N","EVENTOUT"
"D4","VSS","Power","","","","","","","","","","","","","","","","","",""
"D5","VSS","Power","","","","","","","","","","","","","","","","","",""
"D6","VSS","Power","","","","","","","","","","","","","","","","","",""
"D7","PA8","I/O","","","RCC_MCO","TIM1_CH1","","","","","","USART1_CK","","","","","SWPMI1_IO","SAI1_SCK_A","LPTIM2_OUT","EVENTOUT"
"D8","PC9","I/O","","","","","","","","","","","","TSC_G4_IO4","","","SDMMC1_D1","","","EVENTOUT"
"E1","NRST","Reset","","","","","","","","","","","","","","","","","",""
"E2","PC1","I/O","","","","LPTIM1_OUT","","","I2C3_SDA","","","","LPUART1_TX","","","","","","","EVENTOUT"
"E3","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","","","LPUART1_RX","","","","","","LPTIM2_IN1","EVENTOUT"
"E4","VDD","Power","","","","","","","","","","","","","","","","","",""
"E5","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"E6","VDD","Power","","","","","","","","","","","","","","","","","",""
"E7","PC7","I/O","","","","","","","","","","","","TSC_G4_IO2","","","SDMMC1_D7","","","EVENTOUT"
"E8","PC8","I/O","","","","","","","","","","","","TSC_G4_IO3","","","SDMMC1_D0","","","EVENTOUT"
"F1","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"F2","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","","","","","","","","","","EVENTOUT"
"F3","PA2","I/O","","","","TIM2_CH3","","","","","","USART2_TX","LPUART1_TX","","QUADSPI_BK1_NCS","","COMP2_OUT","","TIM15_CH1","EVENTOUT"
"F4","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","","","SPI1_SCK","","","","","","","","","LPTIM2_ETR","EVENTOUT"
"F5","PB0","I/O","","","","TIM1_CH2N","","","","SPI1_NSS","","USART3_CK","","","QUADSPI_BK1_IO1","","COMP1_OUT","SAI1_EXTCLK","","EVENTOUT"
"F6","PC6","I/O","","","","","","","","","","","","TSC_G4_IO1","","","SDMMC1_D6","","","EVENTOUT"
