"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VSS","Power","","","","","","","","","","","","","","","","","",""
"A2","PE0","I/O","","","","","TIM4_ETR","","","","","","","","","","FMC_NBL0","","TIM16_CH1","EVENTOUT"
"A3","PB8","I/O","","","","","TIM4_CH3","","I2C1_SCL","","DFSDM1_DATIN6","","","CAN1_RX","","","SDMMC1_D4","SAI1_MCLK_A","TIM16_CH1","EVENTOUT"
"A4","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A5","PB7","I/O","","","","LPTIM1_IN2","TIM4_CH2","TIM8_BKIN","I2C1_SDA","","DFSDM1_CKIN5","USART1_RX","UART4_CTS","TSC_G2_IO4","","","FMC_NL","TIM8_BKIN_COMP1","TIM17_CH1N","EVENTOUT"
"A6","PG14","I/O","","","","","","","I2C1_SCL","","","","","","","","FMC_A25","","","EVENTOUT"
"A7","PG12","I/O","","","","LPTIM1_ETR","","","","","SPI3_NSS","USART1_DE/USART1_RTS","","","","","FMC_NE4","SAI2_SD_A","","EVENTOUT"
"A8","PD7","I/O","","","","","","","","","DFSDM1_CKIN1","USART2_CK","","","","","FMC_NE1","","","EVENTOUT"
"A9","PD6","I/O","","","","","","","","","DFSDM1_DATIN1","USART2_RX","","","","","FMC_NWAIT","SAI1_SD_A","","EVENTOUT"
"A10","PD1","I/O","","","","","","","","SPI2_SCK","DFSDM1_CKIN7","","","CAN1_TX","","","FMC_D3/FMC_DA3","","","EVENTOUT"
"A11","PD0","I/O","","","","","","","","SPI2_NSS","DFSDM1_DATIN7","","","CAN1_RX","","","FMC_D2/FMC_DA2","","","EVENTOUT"
"A12","VSS","Power","","","","","","","","","","","","","","","","","",""
"B1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"B2","PE4","I/O","","","SYS_TRACED1","","TIM3_CH2","","","","DFSDM1_DATIN3","","","TSC_G7_IO3","","","FMC_A20","SAI1_FS_A","","EVENTOUT"
"B3","PE3","I/O","","","SYS_TRACED0","","TIM3_CH1","","","","","","","TSC_G7_IO2","","","FMC_A19","SAI1_SD_B","","EVENTOUT"
"B4","PE1","I/O","","","","","","","","","","","","","","","FMC_NBL1","","TIM17_CH1","EVENTOUT"
"B5","PB6","I/O","","","","LPTIM1_ETR","TIM4_CH1","TIM8_BKIN2","I2C1_SCL","","DFSDM1_DATIN5","USART1_TX","","TSC_G2_IO3","","","TIM8_BKIN2_COMP2","SAI1_FS_B","TIM16_CH1N","EVENTOUT"
"B6","PG15","I/O","","","","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","","","","","EVENTOUT"
"B7","PG11","I/O","","","","LPTIM1_IN2","","","","","SPI3_MOSI","USART1_CTS","","","","","","SAI2_MCLK_A","TIM15_CH2","EVENTOUT"
"B8","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FMC_NWE","","","EVENTOUT"
"B9","PC12","I/O","","","","","","","","","SPI3_MOSI","USART3_CK","UART5_TX","TSC_G3_IO4","","","SDMMC1_CK","SAI2_SD_B","","EVENTOUT"
"B10","PC10","I/O","","","","","","","","","SPI3_SCK","USART3_TX","UART4_TX","TSC_G3_IO2","","","SDMMC1_D2","SAI2_SCK_B","","EVENTOUT"
"B11","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_DE/USART1_RTS","","CAN1_TX","","","","","","EVENTOUT"
"B12","PA11","I/O","","","","TIM1_CH4","TIM1_BKIN2","","","","","USART1_CTS","","CAN1_RX","","","TIM1_BKIN2_COMP1","","","EVENTOUT"
"C1","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C2","PE5","I/O","","","SYS_TRACED2","","TIM3_CH3","","","","DFSDM1_CKIN3","","","TSC_G7_IO4","","","FMC_A21","SAI1_SCK_A","","EVENTOUT"
"C3","PE2","I/O","","","SYS_TRACECLK","","TIM3_ETR","","","","","","","TSC_G7_IO1","","","FMC_A23","SAI1_MCLK_A","","EVENTOUT"
"C4","PB9","I/O","","","","IR_OUT","TIM4_CH4","","I2C1_SDA","SPI2_NSS","DFSDM1_CKIN6","","","CAN1_TX","","","SDMMC1_D5","SAI1_FS_A","TIM17_CH1","EVENTOUT"
"C5","PB5","I/O","","","","LPTIM1_IN1","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK","UART5_CTS","TSC_G2_IO2","","","COMP2_OUT","SAI1_SD_B","TIM16_BKIN","EVENTOUT"
"C6","PB3 (JTDO-TRACESWO)","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","SPI3_SCK","USART1_DE/USART1_RTS","","","","","","SAI1_SCK_B","","EVENTOUT"
"C7","PG9","I/O","","","","","","","","","SPI3_SCK","USART1_TX","","","","","FMC_NCE3/FMC_NE2","SAI2_SCK_A","TIM15_CH1N","EVENTOUT"
"C8","PD4","I/O","","","","","","","","SPI2_MOSI","DFSDM1_CKIN0","USART2_DE/USART2_RTS","","","","","FMC_NOE","","","EVENTOUT"
"C9","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","TSC_G3_IO3","","","SDMMC1_D3","SAI2_MCLK_B","","EVENTOUT"
"C10","PA14 (JTCK-SWCLK)","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"C11","PA13 (JTMS-SWDIO)","I/O","","","SYS_JTMS-SWDIO","IR_OUT","","","","","","","","","","","","","","EVENTOUT"
"C12","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","","","","","TIM17_BKIN","EVENTOUT"
"D1","PF4","I/O","","","","","","","","","","","","","","","FMC_A4","","","EVENTOUT"
"D2","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D3","PE6","I/O","","","SYS_TRACED3","","TIM3_CH4","","","","","","","","","","FMC_A22","SAI1_SD_A","","EVENTOUT"
"D4","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D5","PB4 (NJTRST)","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","USART1_CTS","UART5_DE/UART5_RTS","TSC_G2_IO1","","","","SAI1_MCLK_B","TIM17_BKIN","EVENTOUT"
"D6","PG13","I/O","","","","","","","I2C1_SDA","","","USART1_CK","","","","","FMC_A24","","","EVENTOUT"
"D7","PG10","I/O","","","","LPTIM1_IN1","","","","","SPI3_MISO","USART1_RX","","","","","FMC_NE3","SAI2_FS_A","TIM15_CH1","EVENTOUT"
